Pathway,Alanine Metabolism,Alpha Linolenic Acid and Linoleic Acid Metabolism,Amino Sugar Metabolism,Ammonia Recycling,Androgen and Estrogen Metabolism,Androstenedione Metabolism,Arachidonic Acid Metabolism,Arginine and Proline Metabolism,Aspartate Metabolism,Beta Oxidation of Very Long Chain Fatty Acids,beta-Alanine Metabolism,Betaine Metabolism,Bile Acid Biosynthesis,Biotin Metabolism,Butyrate Metabolism,Caffeine Metabolism,Cardiolipin Biosynthesis,Carnitine Synthesis,Catecholamine Biosynthesis,Citric Acid Cycle,Cysteine Metabolism,D-Arginine and D-Ornithine Metabolism,De Novo Triacylglycerol Biosynthesis,Estrone Metabolism,Ethanol Degradation,Fatty Acid Biosynthesis,Fatty Acid Elongation in Mitochondria,Fatty Acid Metabolism,Folate Metabolism,Fructose and Mannose Degradation,Galactose Metabolism,Gluconeogenesis,Glucose-Alanine Cycle,Glutamate Metabolism,Glutathione Metabolism,Glycerol Phosphate Shuttle,Glycerolipid Metabolism,Glycine and Serine Metabolism,Glycolysis,Histidine Metabolism,Homocysteine Degradation,Inositol Metabolism,Inositol Phosphate Metabolism,Ketone Body Metabolism,Lactose Degradation,Lactose Synthesis,Lysine Degradation,Malate-Aspartate Shuttle,Methionine Metabolism,Methylhistidine Metabolism,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,Mitochondrial Electron Transport Chain,Nicotinate and Nicotinamide Metabolism,Nucleotide Sugars Metabolism,Oxidation of Branched-Chain Fatty Acids,Pantothenate and CoA Biosynthesis,Pentose Phosphate Pathway,Phenylacetate Metabolism,Phenylalanine and Tyrosine Metabolism,Phosphatidylcholine Biosynthesis,Phosphatidylethanolamine Biosynthesis,Phosphatidylinositol Phosphate Metabolism,Phospholipid Biosynthesis,Phytanic Acid Peroxisomal Oxidation,Plasmalogen Synthesis,Porphyrin Metabolism,Propanoate Metabolism,Pterine Biosynthesis,Purine Metabolism,Pyrimidine Metabolism,Pyruvaldehyde Degradation,Pyruvate Metabolism,Retinol Metabolism,Riboflavin Metabolism,Selenoamino Acid Metabolism,Spermidine and Spermine Biosynthesis,Sphingolipid Metabolism,Starch and Sucrose Metabolism,Steroid Biosynthesis,Steroidogenesis,Sulfate_Sulfite Metabolism,Taurine and Hypotaurine Metabolism,Thiamine Metabolism,Threonine and 2-Oxobutanoate Degradation,Thyroid Hormone Synthesis,Transfer of Acetyl Groups into Mitochondria,Trehalose Degradation,Tryptophan Metabolism,Tyrosine Metabolism,Ubiquinone Biosynthesis,Urea Cycle,"Valine, Leucine, and Isoleucine Degradation",Vitamin B6 Metabolism,Vitamin K Metabolism,Warburg Effect
Alanine Metabolism,1.0,-0.24105125324713722,0.8867392124307085,0.8821519943363904,0.7016492807081613,0.7362460779701439,0.1274398709748167,0.9437922399503706,0.9288370593775694,0.7071294557673615,0.8954704554141657,0.8495003239903361,0.5440335681796261,0.8099130281044171,0.8950745790705982,0.6761135327101034,0.8407607885802414,0.9337839262813675,0.4125513906142633,0.9479589666574049,0.954574693572857,0.6365210590852973,0.816094155073341,0.756394764052598,0.8551850473213422,-0.523866344417974,0.8394800022487251,0.7843614047236089,0.8845347022940739,0.875720072556396,0.8394766446906212,0.9010274684117004,0.9144618808686128,0.9566262778729571,0.897778486527195,0.6864646164966098,0.8357549508723416,0.9331676684609262,0.7934375632013954,0.9115749607280478,0.7594379877498365,0.906797170784468,0.9070093651098216,0.847245919097579,0.8045797821868736,0.8669998528945464,0.9104551176000483,0.8827822950133924,0.8535447421581083,0.8049205085551635,0.7824387311873929,0.7736687271052292,0.780435359266259,0.8318188545786579,0.9177085942967255,0.8609622089233788,0.6880350702136216,0.8334689879852217,0.8416151056000745,0.679956831184958,0.8049457298901367,0.6754337416704465,0.7341458183751648,0.8042728242121883,0.6763291263369224,0.8088121059452645,0.5285671925637151,0.9111057660521927,0.9327963165847277,0.35344212166892197,0.9204720240280705,0.9335312025115055,0.8874011383566557,0.9445930246753186,0.7973318830480921,0.653560068025846,0.8762874566936123,0.7675945513764814,0.7534275990416569,0.837829772093837,0.814591166643953,-0.5622064624156301,0.8578588814792283,0.4422663496883486,0.8598072825899296,0.9032222705017127,0.580693037550916,0.9412066106562325,0.8172588968973249,0.7744965521855529,0.5787169937843634,0.7942227924048733,0.9272445691155882,0.9492772843593332,0.5158108959871174,0.5623647207007001,0.9310290363652701
Alpha Linolenic Acid and Linoleic Acid Metabolism,-0.24105125324713722,1.0,-0.3580570505888036,-0.3364796246504736,-0.3135767206179393,-0.32199324181197514,-0.11988780408122265,-0.38523415089669577,-0.4149394963884971,-0.3627678348818241,-0.3313502574248924,-0.2684644786692124,-0.08986464256762546,-0.36589750955882655,-0.09813134666128806,-0.006974569246472672,-0.07841037913802217,-0.05526222818160241,-0.3921982153106257,-0.2387898815438649,-0.14624832945588628,-0.42404782088307524,0.05628159878104589,-0.31322955636371463,-0.2683298429246108,-0.16727493782087657,-0.204766333990089,-0.2761833088473489,-0.2037647601897873,-0.10048442673621524,-0.16351357981620018,-0.16397076394136983,-0.004587889661065479,-0.2716222081052713,-0.1992314824438259,0.11843786747991941,-0.0889266594540399,-0.20572889107029071,-0.1252774651206116,-0.3541108867613237,-0.1371811662546561,-0.336625920367828,-0.26963905171263824,0.06156394258821071,-0.1494400943346018,-0.31917845138033707,-0.29103307078840107,-0.15229007608844095,-0.2922899193718098,-0.3516434572620286,-0.2590491148597035,-0.19985317959061244,-0.18658855150308018,0.06483817426417575,-0.3476508572448957,-0.20818933204251333,-0.2081159229176371,-0.3609783162829338,-0.36059570467354557,-0.5221453011870507,-0.2811382341980522,-0.17282001543693648,-0.2205601720512927,-0.25870875213830635,0.13953617619797848,-0.04197465809997763,-0.10820865121491788,-0.31072377733800577,-0.09933756006331396,-0.22126777266410047,-0.39830261775279724,-0.42574148586902044,-0.11141177035632509,-0.26101258532921323,-0.10566690441529758,-0.23851481648269332,-0.25585826863035754,-0.45057580064316916,-0.03133683506585302,-0.18825707578741352,-0.3512085718068618,0.00531635826073624,-0.1641629797473185,-0.024833729435196364,-0.28624969245142234,-0.12951310596949908,-0.2175890729731198,-0.26495098778559767,-0.20987696662189181,-0.3640975360291056,-0.5036933760321735,-0.1696163413540255,-0.4105236168312553,-0.22584620960760096,-0.3810883502225061,0.19127811982010282,-0.24724631182887966
Amino Sugar Metabolism,0.8867392124307085,-0.3580570505888036,1.0,0.9028124651703864,0.7969607057056545,0.7829582308447416,0.08629499207324973,0.8837402077603671,0.8673882939398884,0.7464071559112756,0.8946335047002396,0.812640375833873,0.5312998178439327,0.8869901686636983,0.8431033385701315,0.6720754503448625,0.8469689555482086,0.8337321276730966,0.5374883092963003,0.8927891663498002,0.9027472094081,0.6573904643766022,0.7819321114733597,0.8430306629415757,0.9011969953036105,-0.39928006390632154,0.9046947775292407,0.8566508001774615,0.8601317259025717,0.9223343141310543,0.8985752784570995,0.9514609727626102,0.8530712432360488,0.9227560345932286,0.875576924539275,0.6948972806140409,0.9105188104164077,0.875258254301105,0.9061769331503589,0.9069848198069396,0.7230487136987497,0.9611225188342548,0.9664169834086612,0.7080044379277042,0.8924032575571467,0.952896328448932,0.8860075668127478,0.6827865804592563,0.8199654841008637,0.7272419498168539,0.8582464560149203,0.8300706486499683,0.8076213310868449,0.7689194495155287,0.9226535093417766,0.9207381947460536,0.7188472929638842,0.8842670657483203,0.9439825451580183,0.8077848069933175,0.7260632490090034,0.6992972611022712,0.790493081281402,0.910929758719423,0.6175783670148283,0.8323979536351795,0.569991959100044,0.8814419786968228,0.83975326294119,0.5147080313717519,0.9203707830530963,0.9503826909006289,0.8331611447148906,0.9272806839176136,0.7951410375502815,0.762224246910248,0.792539942078224,0.7914785418221965,0.8168909338042858,0.9126013717321826,0.8467801014294812,-0.504624151888613,0.781179150118284,0.292900919761661,0.9356754941536287,0.9029500753917793,0.5788700923873863,0.9583162353582229,0.9265832339388843,0.7497936178648207,0.555556062081283,0.7615996194357352,0.8822398937819951,0.8998989490172608,0.5259993353458371,0.407335835206167,0.962309701599306
Ammonia Recycling,0.8821519943363904,-0.3364796246504736,0.9028124651703864,1.0,0.7139231385344742,0.6583622010676807,0.11666267108296773,0.9298253661161514,0.919726894339743,0.7835919747229418,0.9628491630083065,0.8415788721068018,0.630921618193291,0.8177479393638019,0.8300111923182109,0.695401944581394,0.6920965857371171,0.8108923084548166,0.4586134151658525,0.8767883613052098,0.8864169769116357,0.811190721063491,0.7185134468461888,0.7625146958414208,0.8708595057547726,-0.3028152128663947,0.8496464704268536,0.8592079029648056,0.8238634350966201,0.8266564215847573,0.7806142983099513,0.824259187848111,0.801754375358325,0.9061275891832357,0.8751057099593859,0.6160921177346943,0.7690222722045668,0.9555327355422971,0.759359003062973,0.9593360517153765,0.9190608059788875,0.8570335318232642,0.8669419614029504,0.74137537900863,0.8386182532201356,0.8085501033521985,0.885702251329848,0.6301911147019561,0.9502374072821809,0.8194203404415402,0.8327092896042332,0.7849531636550199,0.7946510704685862,0.6882968221212088,0.8341152164820685,0.767715012045189,0.7531930043440033,0.912696429014146,0.8159671270891171,0.8907199512142252,0.7773750149672078,0.47937190651798234,0.6126799043554872,0.8013836711021026,0.5599579429397261,0.7760261551449404,0.349980504939765,0.9231175425055965,0.8533047475485298,0.46238122445963187,0.9264835032543018,0.9301232057953029,0.8482614916400626,0.899453883504613,0.7076991325981257,0.7313982104065304,0.9325762558579945,0.8953621900685864,0.7053128800066292,0.7767266268524896,0.8907382490756804,-0.5358246919140309,0.7729616624629483,0.4427090411461174,0.8506342485117725,0.9018007007159463,0.7099467348059116,0.8691799892835619,0.8098278879814801,0.8496090963765873,0.5705649518699955,0.6546460990113977,0.9617908882210998,0.9091450103230514,0.7331223489927249,0.3899290494999925,0.8815610809126074
Androgen and Estrogen Metabolism,0.7016492807081613,-0.3135767206179393,0.7969607057056545,0.7139231385344742,1.0,0.9036062327212965,0.07151567282013163,0.6970703512755847,0.6264620348357641,0.48423169513882225,0.6508273670252287,0.6748949945220257,0.3330586650076062,0.627987231465392,0.5776474990897366,0.3990495103837136,0.7351200339635674,0.6681808766413065,0.654758705292317,0.6286299600002411,0.6688719513951582,0.4670112941461358,0.603823085553933,0.9452905379180123,0.6439068953022954,-0.1669419870679252,0.6817722382269851,0.5931316241760146,0.7126371177778791,0.722662131254834,0.7355260289713975,0.7484587771592048,0.6540488451787958,0.6637367708560777,0.6058863409379388,0.5242477481116612,0.7165164154695389,0.6609264394658251,0.7367991371217024,0.7279064902798237,0.47941623710257913,0.7790704475865265,0.7603160626314188,0.4516853075396598,0.6278221678525711,0.7833879194107569,0.6294980821572076,0.5987843502698152,0.6435611932150098,0.5978975573017211,0.5974291147632382,0.5542407501223584,0.5107307667352227,0.5403785229390782,0.7486856698793769,0.7743691343175944,0.4504153135570024,0.6955787305796522,0.7210273417278138,0.6113111838110857,0.4462834217061704,0.704728809389445,0.7541460789276301,0.7012027461312692,0.37441720082330193,0.586589203943152,0.46727873201056846,0.7251493385193479,0.5558322258161835,0.5605874838185241,0.6558157079982059,0.7372709148156421,0.5373244765084064,0.6700626948540669,0.6992727311471948,0.47899216274899553,0.5515184220512813,0.5875530471485524,0.6840738796300054,0.7711317209445611,0.5769233845859585,-0.17349299582363395,0.5091856261035863,-0.06460739695869469,0.6794053888903178,0.6083878416031158,0.30141131990819736,0.728932325860746,0.6985758969811626,0.5958528125721635,0.5681491576826413,0.6716224263207738,0.7016791805035346,0.6273322685356089,0.28735724027252324,0.19340945508776414,0.7238333696094038
Androstenedione Metabolism,0.7362460779701439,-0.32199324181197514,0.7829582308447416,0.6583622010676807,0.9036062327212965,1.0,0.08846375644336703,0.7231444607571895,0.6345685936000166,0.38662214679326556,0.6273627025609546,0.7523854481686597,0.275749586249562,0.6979871469605478,0.5775389606467932,0.4129102926813685,0.7991287384027295,0.7080653251880754,0.6456101693447724,0.6332040223089436,0.6848130022960959,0.4701114547923707,0.6390574705221915,0.9058316319483795,0.6955474524538319,-0.41606174616525154,0.6781145280866401,0.5697349254677546,0.7646730383026902,0.7785519587417289,0.8204920560595846,0.78528621094257,0.7061855772305289,0.710177832284779,0.6493697776080177,0.5819991424307922,0.7501562307559843,0.66784727964608,0.7752819890636211,0.7455329741015624,0.4287798857464117,0.7923518720266456,0.7618322508155738,0.47129470007019986,0.6008753746051544,0.8293385618507176,0.6665842167897694,0.7301229496997685,0.6289084447112353,0.5994063254241992,0.6009820928184776,0.5950644572954347,0.5550215947705137,0.598214762282399,0.8305277840535552,0.8723685622949438,0.30750864320074073,0.608833678793862,0.7602984829775657,0.5023075202095706,0.5057942180465694,0.797203758785753,0.8316559528451968,0.6438203093250788,0.39670710253913394,0.49477796023784637,0.5526147594273224,0.751996896548996,0.5686741970214363,0.6128703253784813,0.6541300107105859,0.7433415465746572,0.5666828912638338,0.7044415570851487,0.7757459558551566,0.4400416554400626,0.4999708781045234,0.6345745820493772,0.6549578533460383,0.8496332832578135,0.5473081414764474,-0.19146069791679934,0.5812582217658416,-0.11503235016533557,0.6470049773784843,0.6102006651682575,0.322548697336184,0.7583166988789827,0.7119562387868672,0.5855299064920718,0.608810600126251,0.7802013956060534,0.6851788008624852,0.6463552567317637,0.21184342628669336,0.30083660258399886,0.742667890390918
Arachidonic Acid Metabolism,0.1274398709748167,-0.11988780408122265,0.08629499207324973,0.11666267108296773,0.07151567282013163,0.08846375644336703,1.0,0.17633986345015393,0.21609575856167032,0.2875577287271066,0.1929820693709529,0.22827385518465346,0.5358211658998845,0.16983625428123783,0.03402364067046553,0.3202659587600487,0.07571772599259316,0.14374443287168426,0.37650546859940415,0.10541743985919623,0.14237259414736003,0.28502637616784915,0.13361130373586014,0.1898053137333797,0.27481800752629315,0.13507302267473542,0.22278202491147814,0.2631039416692502,0.1878259647576263,0.05211912697112122,0.010282638786998793,-0.0037216910701559397,0.041524343572663346,0.19815419293936912,0.24925863542779572,-0.013123133365499024,0.14247818719843197,0.14815571677575384,-0.08349656510192383,0.140559403709689,0.06884487093602581,0.05964228452022839,-0.004815786560568335,-0.00498204742155335,-0.017342670910411664,-0.052529511293758685,0.2825673621904097,0.13911815259979093,0.16825440024882757,0.1514296844373011,0.28484293821298473,0.2916388992179501,0.33031600949780643,-0.016247802450882816,0.09943867177666478,0.004805090620559344,0.3320154481301969,0.347118723854148,0.17229290823954535,0.22179718876344576,0.39256798852873515,-0.04698421195250763,-0.07879152236646494,-0.03148623334912324,0.17696644502317532,0.2269593171202196,0.21530258815462547,0.11546909949402193,0.08832557933521046,0.4561176518088348,0.2068867253022394,0.13729745291912887,0.16543732833761537,0.18308448136039132,0.2806064625768286,0.24791129069974158,0.03098448438547632,0.130648133169202,-0.21566156164600325,-0.039801081012663594,0.35575153020180883,0.46647101102251404,-0.06170954682530223,0.22866077940767393,0.07436877321785029,0.0703624543020904,0.3013971735378237,0.11057323393295912,-0.014935133537008856,0.47250203878663705,0.5915444934648486,0.10629116901435333,0.07470470238984825,0.19000222223755123,0.458523820558436,-0.051306448465148806,0.04296387512148373
Arginine and Proline Metabolism,0.9437922399503706,-0.38523415089669577,0.8837402077603671,0.9298253661161514,0.6970703512755847,0.7231444607571895,0.17633986345015393,1.0,0.9747755564392288,0.779129104974149,0.9608604601793649,0.9140394367744586,0.6169334585313648,0.8757602136119476,0.8542426167792828,0.7334681919517665,0.7776162910539917,0.8844383853553538,0.4900375927431982,0.9284668094093661,0.9100903632068037,0.8191827162858631,0.773970499940108,0.7607525427395317,0.9157275377472314,-0.46075351739000936,0.8629488459312771,0.8673439154309818,0.8972824188358939,0.8414721566407826,0.8009028041600315,0.8365520477209194,0.8185122298189605,0.9586793725681236,0.9147597820614916,0.6330243306463943,0.80870957296047,0.9590791775487478,0.7249964334391329,0.9722173131470568,0.8105004512119041,0.8854301610576334,0.8609377119613728,0.7561205717154252,0.7578014078061732,0.831462943029364,0.9299909795304206,0.8053953695909771,0.9360476245029685,0.8837870791215465,0.8586592396431131,0.8371893600730832,0.8483716341522399,0.7540976414909546,0.9118260079189855,0.8279650309919566,0.723098584915052,0.8884313609485395,0.864352965931501,0.8055713947496319,0.8609029076135436,0.5779085976618479,0.6613512675330374,0.760628958672316,0.61344903192924,0.7605470833684038,0.4335591380592591,0.9553845237525713,0.8875008728245316,0.4550277631333958,0.9608463534657559,0.9623368927181233,0.8839439444076612,0.9469900959833125,0.7875029524589601,0.721724637324878,0.9049317389848693,0.899530242682229,0.6664363661204927,0.7998457240994417,0.8889860066964644,-0.5157929327361648,0.8128158734413917,0.5013026831182245,0.8502684975234744,0.9001273031851605,0.7289922910245721,0.9041781300560444,0.7665475150269015,0.890974126885463,0.6593248418261737,0.7745926586549561,0.9651782317012726,0.9505944677526822,0.6513754622302279,0.45146003867722,0.9029494460966572
Aspartate Metabolism,0.9288370593775694,-0.4149394963884971,0.8673882939398884,0.919726894339743,0.6264620348357641,0.6345685936000166,0.21609575856167032,0.9747755564392288,1.0,0.8275785045241891,0.9437289051903959,0.8554247393990182,0.6495639877931778,0.8423897370948903,0.848861022934096,0.7114662324519156,0.7197302071398964,0.847814026531208,0.4546446728609446,0.9315312718627272,0.895373626405268,0.8066000770523636,0.7197816586240263,0.7010713480436226,0.8835756904001221,-0.42124719962728097,0.8303084004028631,0.8693016035712826,0.8455181302202532,0.7979399164926043,0.7545109739902324,0.8022967443100023,0.7748207699190739,0.949658415322234,0.9046684046919957,0.5647316897432301,0.7713280640150996,0.9359015773698626,0.6702568817380279,0.9390595409305764,0.8163338440046767,0.8646958124028464,0.8505367316550737,0.7482086127895897,0.7697965232737837,0.7993482436703379,0.9051800500134617,0.7692582945224696,0.9046072993016118,0.873848051033562,0.8509785294036517,0.8100912283027597,0.8291236842958328,0.717460356473495,0.8710748403206453,0.7637223010604984,0.7572316203227597,0.8800142577866551,0.827923282981996,0.8339774928754792,0.864289711102404,0.5370814754138814,0.621646874217195,0.7834872102853342,0.6386527295322485,0.7641514297621791,0.4316471332194965,0.9179015642256345,0.8885339533445094,0.35951926140649876,0.9628312434160883,0.953295620299523,0.8799155696606878,0.9323234497493991,0.7164837005278589,0.7489635509876642,0.9201006329886641,0.8736491647012447,0.6442541913936168,0.7428177744147029,0.9058542686953097,-0.5527083885723973,0.8253791090318765,0.5802965990691245,0.8659809915367629,0.8946491258484133,0.7477790534112466,0.8874191162437318,0.7585440592056705,0.8761230641073986,0.6433643266927973,0.7138133591422754,0.9601810454210117,0.9497939368010854,0.7133303305341212,0.4236631910816511,0.8758844262181914
Beta Oxidation of Very Long Chain Fatty Acids,0.7071294557673615,-0.3627678348818241,0.7464071559112756,0.7835919747229418,0.48423169513882225,0.38662214679326556,0.2875577287271066,0.779129104974149,0.8275785045241891,1.0,0.8282695315033528,0.7276179150261343,0.8117757020312957,0.7831089799225157,0.7259730585755318,0.7349684932381766,0.5658284827807417,0.6710143337746849,0.528323924057629,0.8018262135219174,0.7095401962127631,0.6462695310766161,0.5943752860906986,0.5328805035308467,0.7812675375961302,-0.12602156227803887,0.7918148794117392,0.8945287415950863,0.7069502748779285,0.6600299584939161,0.5430486548678468,0.6199319323492383,0.5380286885622856,0.7668988292311875,0.7550267479011944,0.42769484675829,0.6668468922587729,0.7340677389071608,0.47733410043346897,0.7719114075731758,0.6599590404863194,0.7596602733142813,0.7320440129296608,0.5520953164199759,0.7013919142481254,0.6527305934022555,0.8051968581650978,0.4906467681635866,0.7812825044225067,0.8006934046018344,0.872569008037226,0.8228994474720901,0.8032746907307189,0.5391769171559442,0.7036413921679314,0.5696252807940325,0.9227070023467117,0.8831379934205359,0.7522575405933671,0.7930327983586032,0.8030380290451293,0.41560006969752,0.4942893954632953,0.7636593415099674,0.6404638328259044,0.808368271453211,0.40834587472334166,0.7148774308738676,0.7297600294395511,0.36162655620770423,0.8688065734334892,0.8074916281483964,0.7270365794905159,0.7721823351583867,0.6334029451324377,0.8382866457567071,0.7627167302447638,0.745250061572424,0.6293386848396393,0.5194659994187322,0.8806590052168025,-0.3738135434401969,0.614054782877817,0.6871100805706823,0.8576412348831169,0.7760294703903703,0.6895236174875753,0.7662272896427522,0.6494868267160647,0.8363369494405211,0.591631988297969,0.5740793433647444,0.7478092778103576,0.8313877140565958,0.6357830009699478,0.14590418390078225,0.7127028012723166
