,Alanine Metabolism,Alpha Linolenic Acid and Linoleic Acid Metabolism,Amino Sugar Metabolism,Ammonia Recycling,Androgen and Estrogen Metabolism,Androstenedione Metabolism,Arachidonic Acid Metabolism,Arginine and Proline Metabolism,Aspartate Metabolism,Beta Oxidation of Very Long Chain Fatty Acids,beta-Alanine Metabolism,Betaine Metabolism,Bile Acid Biosynthesis,Biotin Metabolism,Butyrate Metabolism,Caffeine Metabolism,Cardiolipin Biosynthesis,Carnitine Synthesis,Catecholamine Biosynthesis,Citric Acid Cycle,Cysteine Metabolism,D-Arginine and D-Ornithine Metabolism,De Novo Triacylglycerol Biosynthesis,Estrone Metabolism,Ethanol Degradation,Fatty Acid Biosynthesis,Fatty Acid Elongation in Mitochondria,Fatty Acid Metabolism,Folate Metabolism,Fructose and Mannose Degradation,Galactose Metabolism,Gluconeogenesis,Glucose-Alanine Cycle,Glutamate Metabolism,Glutathione Metabolism,Glycerol Phosphate Shuttle,Glycerolipid Metabolism,Glycine and Serine Metabolism,Glycolysis,Histidine Metabolism,Homocysteine Degradation,Inositol Metabolism,Inositol Phosphate Metabolism,Ketone Body Metabolism,Lactose Degradation,Lactose Synthesis,Lysine Degradation,Malate-Aspartate Shuttle,Methionine Metabolism,Methylhistidine Metabolism,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,Mitochondrial Electron Transport Chain,Nicotinate and Nicotinamide Metabolism,Nucleotide Sugars Metabolism,Oxidation of Branched-Chain Fatty Acids,Pantothenate and CoA Biosynthesis,Pentose Phosphate Pathway,Phenylacetate Metabolism,Phenylalanine and Tyrosine Metabolism,Phosphatidylcholine Biosynthesis,Phosphatidylethanolamine Biosynthesis,Phosphatidylinositol Phosphate Metabolism,Phospholipid Biosynthesis,Phytanic Acid Peroxisomal Oxidation,Plasmalogen Synthesis,Porphyrin Metabolism,Propanoate Metabolism,Pterine Biosynthesis,Purine Metabolism,Pyrimidine Metabolism,Pyruvaldehyde Degradation,Pyruvate Metabolism,Retinol Metabolism,Riboflavin Metabolism,Selenoamino Acid Metabolism,Spermidine and Spermine Biosynthesis,Sphingolipid Metabolism,Starch and Sucrose Metabolism,Steroid Biosynthesis,Steroidogenesis,Sulfate_Sulfite Metabolism,Taurine and Hypotaurine Metabolism,Thiamine Metabolism,Threonine and 2-Oxobutanoate Degradation,Thyroid Hormone Synthesis,Transfer of Acetyl Groups into Mitochondria,Trehalose Degradation,Tryptophan Metabolism,Tyrosine Metabolism,Ubiquinone Biosynthesis,Urea Cycle,"Valine, Leucine, and Isoleucine Degradation",Vitamin B6 Metabolism,Vitamin K Metabolism,Warburg Effect
TL-2-105,-0.806165726309334,0.6419355395696066,-0.6820445930252816,-0.787805660350904,-0.6550012328621116,-0.20349060859329388,0.572894387642737,-0.7675178994963638,-1.04214515707437,-0.6980942303983476,-0.8363413709898437,-0.12876587705334633,0.0794079950508042,-0.41073668629470916,-1.4195851420881174,-0.9795670277324325,-0.5530784722593833,-0.5626506625914798,0.8441072400919258,-1.3235492601326257,-0.5818723879768847,-0.20986703857494307,-0.5613419591157809,0.1184072471227194,-0.3707472884899563,0.6211397860691784,-0.5988033643384136,-0.8777178003306723,-0.5225295306798399,-0.4725714703970405,-0.24776244971652903,-0.7315698315671446,-0.4103457838983674,-0.746626103246115,-0.5448442013470095,-0.7743320103296196,-0.664551786068354,-0.7684575982156784,-0.40376865921254856,-0.4733513360490219,-0.6189231886108373,-0.7346773331853682,-0.7996801253447747,-1.1796064713029224,-0.5397793633308189,-0.6765239315104015,-0.313737942245381,-0.7170034756747174,-0.47509293607480024,-0.23600935739321316,-0.7517241140362425,-0.7684207227426034,-0.8760841884848527,-1.1723331813147733,-0.5680141471388317,-0.3127523899248156,-0.6622130704464327,-0.3433019730474286,-0.34098277184264003,-0.8565161921841826,-0.43933312410261316,-0.2786669670295027,-0.4586152169447014,-1.1951464655613993,-0.9170824838543417,-0.8334287792070196,-0.494142780878078,-0.7855419301183723,-1.1815082368134744,1.2463591197935655,-0.7681247801954489,-0.8997586202222709,-0.956341767282935,-0.8846185027059624,-0.41628278057405527,-1.0200175918747292,-1.0285427779278715,-0.30015782776731353,-0.9509170140252555,-0.42078910227155086,-0.7400560685485629,1.6373575740581303,-0.980252019898394,-0.13087936138120723,-0.8912516024254329,-1.1328471394286328,-0.554961834951396,-0.7752559737422147,-0.44494045544946825,-0.17864695358514715,0.5419482576627843,0.09138515799232613,-0.9457785153835983,-0.8579271778356184,-0.2959423392756733,-1.1404743447346684,-1.0140696026473528
TAK-715,-1.7416931175433847,0.7288724456790774,-1.5950152197637224,-1.8218603279707122,-1.0340950281657464,-1.1685461663198302,0.5420557048658566,-2.0419975539743156,-1.9666336327296599,-1.2218988501322767,-1.9158537058842375,-1.862912470898691,-0.5315465370637629,-1.7291665669216703,-1.7813399121490594,-1.7093006603260092,-1.4743092968447924,-1.7119380259670638,-0.03892522591992627,-1.7589981788865952,-1.6361692961603571,-2.0937910274324656,-1.7868400112643745,-0.9228265906014672,-1.660476410081779,1.3901527473943505,-1.3274557191253609,-1.6853341306363292,-1.8919314676541892,-1.5595666401232644,-1.6485107905323184,-1.7255761832472756,-1.7349946639696598,-1.757024359013494,-1.5023955646291853,-1.4631032798685577,-1.4130529886791625,-2.1385814371934257,-1.6622772781849333,-1.9875845759270685,-1.9164179182805734,-1.587060603870655,-1.6518765423230162,-1.7808678346673723,-1.545944508326695,-1.57072670778644,-1.7337298233910554,-1.2635136293700333,-2.19244117430551,-2.205359690021027,-1.6081646104827623,-1.4136750037363375,-1.6147629941391437,-1.7081199127150253,-1.4128580705881337,-1.530123182263226,-1.0211407526659646,-1.2176988312265482,-1.6517976307037732,-1.2910171238190524,-1.4570425581344641,-0.5213693376325224,-0.668523354725515,-1.2104338165262478,-0.7708312111364642,-1.0458085190734112,0.3014920980207252,-2.003820047866637,-1.9273357318361428,-0.1021810193201017,-1.7227794727059018,-1.7404419938765887,-1.8823195742444823,-1.8284291327218007,-1.413874654273554,-1.0285625343640983,-2.084255612632775,-2.0964783729507834,-1.075591285981811,-1.7178877506254004,-1.353480042841596,1.4275510426834648,-2.112751335566918,-1.3347966689128212,-1.3638787437664839,-1.8368860079903377,-1.6685707602260447,-1.5806845292799172,-1.5842233470178222,-1.5179184416347937,-0.4102344121100346,-1.3809588643585202,-1.937204974370614,-1.8436050149260315,-1.1874348657170866,-1.2363248124939066,-1.867916379257439
CP466722,-1.052510267410052,0.21806973094497953,-1.2809091093083378,-1.1976283121118785,-0.7473578428567589,-0.4217169336324616,2.224224128468237,-0.9368378161152263,-0.8976614338507857,-0.48037072748611226,-0.9130412214141627,-0.38923907334642577,0.02019752662629731,-0.6266722885244375,-1.3874385902829356,-0.12297508870005096,-0.7455259045584816,-0.7616574707654954,0.9082448779815226,-1.1957716201836743,-0.983031946609841,-0.5831784216497888,-0.8841998392325794,-0.5124652185802648,-0.5334032603423556,-0.03738249623547734,-0.6822127162416829,-0.6133764212760728,-0.8380774743781183,-0.8351836878374478,-1.1249300331778092,-1.4046556133779429,-1.3608045416672625,-0.8602427637277503,-0.3635136800265508,-0.6822523051396969,-1.0324952317461968,-1.1661846926954638,-1.5088803155319248,-0.7947550290478579,-1.4714552611498084,-1.066571712341663,-1.283326323401785,-1.5863353454695257,-1.4731957919944125,-1.2319336471735303,-0.669480934424589,-0.32100914006752795,-1.04157038097665,-0.8533368998818049,-0.40773933304307575,-0.20979900506931537,-0.17893709460559615,-1.0899056807964653,-0.6218847093802979,-0.9073617537082735,-0.5609825231272366,-0.5155060607408956,-0.6519758774769986,-0.9096131582356313,-0.046956420370235515,-0.42933871929708217,-0.6289320847138087,-1.3834319724541504,-0.5367326635412627,-0.8040832616152019,0.6041346676138106,-1.2197517136130513,-1.3642560933985783,1.1227183785002746,-0.7553011935362077,-0.8867753764695739,-1.1107653285997374,-0.9332744546289958,-0.32172945906861283,-0.17401197209655064,-1.4390067143103518,-0.6323758503961638,-1.1187241812643332,-1.2378514776260314,-0.47113239883959995,1.7056971618212091,-1.2533808229072532,-0.529812421989325,-0.9740330303101213,-1.1815178972444906,0.09771522144070845,-1.126639460320135,-1.3832496482022054,0.004984338616766311,0.6458570912913716,-0.3061972757028015,-1.2504389069839432,-0.9236420539670477,-0.33000709525218214,-0.9643210413199664,-1.264293807907703
BMS-345541,-0.4476217485495393,1.0776499991371826,-0.6083799983224089,-0.8713877666687168,-0.14129880187367763,-0.33457374083820435,0.7850952658989327,-0.6343769473487707,-0.5445176207027514,-0.15134615200480037,-0.8798616206780663,-0.5714551280716197,0.20614871939082854,-1.0082081715641733,-0.4964108815749404,-0.3394271732263455,-0.03792328893963438,-0.21767766191863935,0.23935037673355458,-0.41724774450613594,-0.3832321306286369,-0.8222908520218183,-0.30007562658027986,0.20678796369509236,-0.532100853561933,0.23858639443435795,-0.22348340610329098,-0.5408056898244537,-0.18937518953239263,-0.3569250255250889,-0.22031349433208658,-0.5281786807371662,-0.5356432639272534,-0.49491353111262587,-0.3396475006812688,-0.3736646974160308,-0.02897249788191272,-0.7162534550524294,-0.8030306751770899,-0.9521747149785544,-0.7570053472440442,-0.3494328083837439,-0.5062430900674922,-0.5729052764634598,-0.5113646636511902,-0.40450586136028915,-0.5300413563207382,-0.10625410329196502,-0.8447919678135721,-0.6872838831868621,-0.524942811331506,-0.4478382202703141,-0.5535591082182395,-0.42662472878501395,-0.4418543877705439,-0.49761330726238345,-0.27285788214214635,-0.37886168897191247,-0.6772607367999312,-0.8229951818250638,-0.8687997893140231,0.5153826420314203,0.18449796182088363,-0.2488319535635,0.7008100019039952,-0.0170720480529631,0.7029105754906804,-0.7561679221974347,-0.37870232921597535,-0.1725685145093375,-0.5095407548146846,-0.5839842940502383,-0.3122466311262212,-0.4520138549730434,-0.06475998792333551,-0.27095912152196755,-0.5922829484257771,-1.4057176891623024,0.03286437976507574,-0.444245443479202,-0.4722856741665809,0.556716461961036,-1.2863022122471202,0.1509164912399773,-0.36162062938626777,-0.5555793465886207,-0.7920242995889395,-0.5124323831295654,-0.4975535885128454,-0.266437035567161,-0.11498341431173045,0.24196731572975347,-0.7972754783138473,-0.4757104368704415,-0.23802526226492438,-0.3969049382993687,-0.736034776572693
Genentech Cpd 10,-0.023355124996544643,-0.8101414159148548,-0.020490979800706327,-0.3276067383517578,-0.15761666671150903,0.39394805354503787,1.4555553203980371,0.05691999040040308,0.14840683198599636,-0.16210167834812955,0.14229315147508792,0.06347969374286014,-0.12330896320168964,-0.02618087766624286,-0.3773380909403709,0.3692886673599437,0.24951830448455142,0.06363496321893795,0.1764068183371833,0.057323558744581164,0.006987473570885683,-0.017924903095630718,-0.3015133064728514,0.17727669124007392,0.31651040838454797,-0.49713245687563384,0.27304270112779405,0.0694583749228953,0.03233380520470431,-0.06590004375357297,-0.12555829892120948,-0.27147087480864524,-0.3542173097540097,0.2194056211853908,0.4123689429585392,-0.18502279752766848,0.057507446242919744,-0.24971373949147108,-0.5181228747766103,-0.029393388117767927,-0.7448544718304038,0.02996699332951831,-0.3255809848078247,-0.6346847243190823,-0.774482394966458,0.038852731215220676,0.51440135116569,0.7038448876588334,-0.47273808763756425,-0.3993225164537421,0.19852906929307093,0.3321940712887703,0.39082743891580046,-0.2084346451338177,0.36137624323488776,0.09005053373576723,0.12777695672689807,0.2337264616419463,0.4838072234292902,-0.10870063692593039,0.6261466392166387,0.4883535689314456,0.3771141342936446,-0.14959554512879208,-0.09978245541736333,-0.06600426014345435,1.3679520052427185,-0.39389629997014286,-0.23295312552752406,0.34145800831401707,0.3759569677578476,0.2535112661440709,-0.10755131951468162,0.17483097213978394,0.39795143118223736,0.43015933663980555,-0.5475162796547026,-0.3568110378522874,-0.44479047844446046,-0.17517700410006487,0.402406957723884,0.5966535575636905,-0.32585118577798433,-0.19914879853755654,-0.04546250461712078,-0.16978277678498177,0.6598521327688455,-0.032155561657505216,-0.4868815987348536,0.13428719096603622,0.6637278224221917,0.5916527780372359,-0.10452800966907932,0.11842037011997643,0.10377611476550377,0.1359059879523692,0.017126683774349713
GSK429286A,-0.3056230771146514,-0.09275561799381146,0.13131147078992048,-0.4234244488384234,0.1415016421868147,0.05186136949231133,0.4483628590534677,-0.19686073723874598,-0.2344315661836588,0.2637175568399159,-0.2537569705198761,-0.5277822733261949,0.24199836117068485,-0.23651581440675606,0.46626687692046703,0.33300070834119827,0.3965742702046953,0.10585463594674532,-0.6058366467881676,0.3048665459972906,0.1787381554873282,-0.33220694435666526,0.03512127839088463,0.29477070827076296,0.1148982590246217,0.1723254383525099,0.5475943061480326,0.05186541368518882,0.26886657564297517,-0.1345298219561045,-0.18559037874987985,-0.03311526873572999,-0.27458301396077245,0.16348693325459704,0.28515090021425066,0.24212320188173955,0.6208120450445398,-0.44948020782363296,-0.19427094111476945,-0.41045673353763484,-0.6530746647773787,-0.05581841757519278,-0.16118114064341216,-0.07564445639583404,-0.41769549436569997,0.11029403101590235,0.09908945079672149,-0.53094853885515,-0.6066395237297849,-0.7767751269920345,-0.0015936671351729132,0.3226770968535112,0.20334140766016195,0.2688641572409304,0.3082450522894972,0.16035065906007007,0.4244579357645602,0.3221034237217032,0.02146311175369778,-0.3805978863576103,-0.533766802018871,0.35897134606633824,0.18116798596883568,0.6224782168612947,0.995067735561564,0.5912108505303603,1.0250853518067256,0.18928095091611738,0.17736109852589022,-0.4550994738369667,0.20582894289698264,0.20816228450329177,0.4003339867343352,0.3025869500682538,0.41947829229469297,0.5413047149277854,-0.4107589077229697,-1.0035885060613332,-0.09010440743874015,-0.13209301968909218,0.5387614982533437,-0.3195091561805637,-0.7558390229542177,0.1681475651668368,0.3048056822779872,0.164669558296304,-0.12595125452035127,0.14148344301255783,-0.3377450892925986,-0.39028488837300734,-0.6383945794500425,0.416505091984839,-0.466655462330804,0.03569154786363676,-0.07210510468700553,0.9082991262722191,0.031041741431555928
Ruxolitinib,-0.4859683607165896,0.03946148092766687,-0.2012309969459281,-0.38837948542995737,0.2928219779148233,0.03548919395780653,-0.962377184055501,-0.5438969458318996,-0.6632287709643633,-0.7370945759817316,-0.8261434980316392,-0.6453231404745519,-0.7368213081495041,-0.805675350694831,-0.8288075609012739,-1.4793669048249385,-0.1252762711104323,-0.46736068137500364,0.24762770618108867,-0.6002866760654167,-0.3339790956198667,-0.5428736799939631,-0.5666136183222699,0.5301239630525055,-0.9089999672487798,0.6369812687072733,-0.7745140659196601,-1.0606843860357869,-0.3523588007702477,-0.30271451227647483,-0.04814052195406824,-0.22404478875066158,-0.43785556104476264,-0.5516082637068365,-0.44095207831063526,-0.24129502449810936,-0.19458233580871967,-0.7222457109776352,-0.14114270810047144,-0.5673070775405961,-0.4181087644930368,-0.18271773924245857,-0.21376012000597175,-0.9043330353397017,-0.12144829137367508,0.04933464481395316,-0.7514744680378497,-0.575616383143514,-0.6307091455658,-0.6673885984930056,-1.1028761388437622,-1.1607984567151362,-1.3483347053172714,-0.489207111064742,-0.25492226154231706,-0.1903585509182437,-0.7428311698398604,-0.3017360278037665,-0.45028804974390674,-0.3903430997006378,-1.2015001942667378,0.5025530540636568,0.42962236888503846,0.023644054225296217,-0.52738219560928,-0.5748321865117934,-0.1060990802276942,-0.4898176417534701,-0.7139318824874832,-0.1635457573875352,-0.5096817194482139,-0.37658532119995536,-0.5043831662143707,-0.5898654642087887,-0.7610497825974181,-0.49856317604347306,-0.4262953286339012,-0.8746597785710717,0.06262171734209701,-0.11618489188611203,-0.6920143505408212,-0.002831663986520093,-0.9185916066760942,-0.8269780626446792,-0.22192943766357487,-0.6177251379425711,-0.9470579044510037,-0.4980624084011775,-0.05074495529952129,-0.8088399154868378,-0.31579462896463,0.02233323722959474,-0.3340507286187121,-0.7508873849588179,-0.4091241651769129,-0.42793857235602323,-0.511562328328431
SB-715992,-0.5733726679563329,0.6879012837033806,-0.7990431028322539,-1.2209847400845544,-0.8023326784108059,-0.5222490061939835,0.7866943443096491,-0.7666390310596564,-0.631169397242991,-0.09144529445054005,-0.8198666448964897,-0.25105074454403187,0.017920736836014712,-0.3447954815475649,-0.5312459452660059,0.3053042796282502,0.05716963119354219,-0.41565213432331494,-0.030857512237271536,-0.4058801876590528,-0.7923198128206536,-1.067355639359126,0.06573649195227309,-0.7539918367300182,-0.38983546188063406,-0.26589960590449074,-0.26393835135966354,-0.19882666224359358,-0.03458856081580035,-0.2861343000647575,-0.37457761679107804,-0.554604616565262,-0.4926077934479145,-0.6248169966601093,-0.6919372261126863,-0.29968190987039967,-0.20027830046673026,-0.8395643179678383,-0.7840412014642825,-0.9363171580091243,-1.347618870518146,-0.3877059514792464,-0.5668236090892182,-0.5630235463335832,-0.6720993493503322,-0.5311090167748425,-0.4019303512815599,0.09316275603568268,-0.8199205967673655,-0.31359288464470836,-0.07089908063759846,0.028406490158599213,-0.06770863307744138,-0.1751785433038367,-0.5068423627969586,-0.47925885993390427,-0.2914049431161544,-0.7872352585397587,-0.3007057711886165,-1.1320275376893796,-0.3560941984433123,0.25981831568689623,-0.21683526603439768,-0.6932928372661249,0.13720914977412474,-0.18684130101736487,0.47019189512250237,-1.0674917582911185,-0.3795124454995365,-0.15748831139161426,-0.5623942599898701,-0.8181081892834952,-0.3769570367580548,-0.4823406740476285,0.2977178843900756,-0.2563993844290309,-0.9279503514500198,-1.215810216596544,-0.15492007572716565,-0.5514938046998062,-0.6624571450174636,0.8309537566126266,-0.8082645989137583,0.343390029042641,-0.49018191095071345,-0.5900950358170722,-0.7512641800443237,-0.46578868266074774,-0.541148928649589,-0.3235211624700513,-0.13360022404726873,0.2683222806533374,-1.178094348563966,-0.47856868282617443,-1.0403187925116193,-0.2410736888169535,-0.6281309853448023
ZSTK474,-0.8931634359846611,0.26701702056492144,-0.7986149316308367,-1.002212439835809,-0.32494876297575015,-0.17664800841163647,2.2749665411563407,-0.7302190618530551,-0.7149610183669602,-0.534246857095805,-0.6676422998554973,-0.10771693426127225,0.46588497922499317,-0.06400810235146834,-1.3642344708474232,0.4400668600294805,-0.5309444204965235,-0.6949900688211628,0.8330060536232498,-1.1092086042160119,-0.6749238195629124,0.296776065049153,-0.3111646560272165,-0.22778402314380794,-0.17248367011980228,0.006994255966521485,-0.7034407920002921,-0.39243734503962113,-0.2944298257937439,-0.605195509449385,-0.586469603419563,-0.8414674233852077,-0.9231753958056025,-0.571770700887064,-0.03565616903112636,-0.1367716210181841,-0.48283642671692517,-0.7381464696129152,-0.6890146484528494,-0.6150351309265552,-1.1554936735221832,-0.6755945936646749,-0.9867438863581536,-1.6373289590436981,-0.5923832720320733,-0.9523119426515468,-0.32475765092866393,-0.797474350882028,-0.6996755713688075,-0.7335074464832366,-0.09425157138096958,0.13248120947691336,0.19197948555637911,-0.6931565034309054,-0.6054283388618936,-0.6489312059117821,-0.19526821830100796,-0.2503197054475687,-0.16122748760287015,-0.4003919466810478,0.10883065989684326,-0.9309345283002243,-1.2622690612272796,-1.4239562301779416,-1.1548496218127537,-0.4512039249171868,0.003232029808562616,-0.9027697630382447,-1.1628943250885813,1.3596922535471456,-0.6896959100470763,-0.8196415544297987,-0.44077834936594107,-0.5596756094972382,-0.09750850871409733,0.41952410348659014,-1.423521211726391,-0.5741458195965136,-1.4354617160431964,-0.5005346356320352,-0.07862503204451433,2.174589115545872,-0.7834444854363471,-0.2407725771108398,-0.7140931125283877,-0.8962299490540424,0.38156450677081083,-0.834224371332823,-0.5410506960422313,0.20822957031490824,0.8306313937879382,-0.14511925789666608,-1.2166650367699343,-0.8228849804809508,0.21232347071731045,-0.6683509244485634,-0.7991245695542858
KIN001-102,-0.6552201456528056,-0.3403106126779642,-0.5445257257731558,-0.9988408259820359,-0.6642019547684216,-0.5402201663497234,0.8013175651471834,-0.7411862387009179,-0.5902438034599281,-0.24757602192292477,-0.8919494208502499,-0.4456421117367748,-0.1796320234537724,-0.012429523773326182,-1.4842852969738172,-0.7324046510643306,-0.598705213098465,-0.9158775266301398,0.4465644741055288,-1.0910835992589916,-0.6634024379106966,-0.19097173108028262,-0.520520260960179,-0.315917213948152,-0.4225030377832189,0.5231646350483597,-0.8476072362570192,-0.5491298138280654,-0.5993331250594081,-0.6994568293648475,-0.37667527878231827,-0.6028147954699171,-0.5658519211350038,-0.7221442271201561,-0.6247727567489321,-1.0196602213439987,-0.8118474413922596,-0.8101289152531996,-0.4607828439479449,-0.7363753452687042,-0.9270097250942091,-0.5516908976855284,-0.6280977405226371,-1.4086564275340183,-0.21933258368355044,-0.7103383741192467,-0.570241017987447,-0.45078531498667795,-0.7724919816173765,-0.5007103713601124,-0.36663784303522984,-0.5791009137967679,-0.6838252792365914,-0.887989171347533,-0.7909826634054594,-0.602968746802488,-0.4551466084185057,-0.48483731879303194,-0.20867156403310533,-0.43981448577522064,-0.5027087483997779,-0.44920991119839654,-0.8438470685229803,-1.2229146462800484,-1.3931333665474137,-0.5785485339086448,-0.510990831250033,-1.2608222203140342,-1.137441646848694,0.7437370904576492,-0.7107353335058937,-0.8866411092472096,-0.6580815863524982,-0.6870116312087649,-0.7470949289213585,-0.6075570405533721,-0.9837443016163744,-0.6390442333704859,-1.075929685679299,-0.4403348725363527,-0.7622935570255766,1.4924249218107701,-0.7441711407946047,0.20220280324618561,-0.5997556850977915,-1.1127937998094533,-0.6202470309145848,-0.7215678826146412,-0.12212568459110912,-0.15650158250344165,0.4713076676640828,-0.23748010274729076,-0.9363309911340413,-0.9278223570766583,-0.23824978896997293,-1.3467049313191943,-0.8273226914349555
