,ionIdx,ionMz,average intensity,mz difference,score,formula,ion,name,Query,KEGG
0,1,57.0340244,7869.672329,0.000560409,100,C3H6O,-H(+),Acetone,HMDB01659,C00207
1,1,57.0340244,7869.672329,0.000560409,100,C3H6O,-H(+),Propanal,HMDB03366,C00479
2,2,58.02921658,2950.367707,0.000617206,100,C2H5NO,-H(+),N-Methylformamide,HMDB01122,C11489
3,2,58.02921658,2950.367707,0.000617206,100,C2H5NO,-H(+),Acetaldehyde oxime,HMDB03656,C02658
4,3,59.01332992,54409.18843,0.000519448,100,C2H4O2,-H(+),Acetic acid,HMDB00042,C00033
5,3,59.01332992,54409.18843,0.000519448,100,C2H4O2,-H(+),Glycolaldehyde,HMDB03344,C00266
6,4,59.02701499,5283.4192,-0.00193223,52,CH4N2O,-H(+),Urea,HMDB00294,C00086
7,5,59.04968797,4792.593708,0.000546904,100,C3H8O,-H(+),Propyl alcohol,HMDB00820,C05979
8,5,59.04968797,4792.593708,0.000546904,100,C3H8O,-H(+),Isopropyl alcohol,HMDB00863,C01845
9,6,60.99228847,6823.387872,0.000825452,100,CH2O3,-H(+),Carbonic acid,HMDB03538,C01353
10,7,67.01857223,3196.048747,0.000362515,100,C4H4O,-H(+),3-Butyn-1-al,HMDB06853,C06145
11,8,67.02900089,2712.348179,0.001167251,86,C3H4N2,-H(+),Imidazole,HMDB01525,C01589
12,9,70.02925644,3980.161317,0.000577347,100,C3H5NO,-H(+),Acrylamide,HMDB04296,C01659
13,10,71.01340427,15355.68738,0.000445099,100,C3H4O2,-H(+),Pyruvaldehyde,HMDB01167,C00546
14,10,71.01340427,15355.68738,0.000445099,100,C3H4O2,-H(+),Malondialdehyde,HMDB06112,C19440
15,11,71.04907523,3608.211813,0.001159644,86,C4H8O,-H(+),Tetrahydrofuran,HMDB00246,
16,11,71.04907523,3608.211813,0.001159644,86,C4H8O,-H(+),Butanone,HMDB00474,C02845
17,11,71.04907523,3608.211813,0.001159644,86,C4H8O,-H(+),Butanal,HMDB03543,C01412
18,12,72.04470309,2742.226128,0.000780757,100,C3H7NO,-H(+),3-Aminopropionaldehyde,HMDB01106,C05665
19,12,72.04470309,2742.226128,0.000780757,100,C3H7NO,-H(+),"N,N-Dimethylformamide",HMDB01888,C03134
20,12,72.04470309,2742.226128,0.000780757,100,C3H7NO,-H(+),Aminoacetone,HMDB02134,C01888
21,13,72.99235474,5449.4184,0.000759179,100,C2H2O3,-H(+),Glyoxylic acid,HMDB00119,C00048
22,14,73.02896288,5585.857221,0.000536551,100,C3H6O2,-H(+),Propionic acid,HMDB00237,C00163
23,14,73.02896288,5585.857221,0.000536551,100,C3H6O2,-H(+),Lactaldehyde,HMDB03052,C00424
24,14,73.02896288,5585.857221,0.000536551,100,C3H6O2,-H(+),3-Hydroxypropanal,HMDB03453,C00969
25,14,73.02896288,5585.857221,0.000536551,100,C3H6O2,-H(+),D-Lactaldehyde,HMDB06458,C00937
26,14,73.02896288,5585.857221,0.000536551,100,C3H6O2,-H(+),Hydroxyacetone,HMDB06961,C05235
27,15,74.02422913,12474.48662,0.00051927,100,C2H5NO2,-H(+),Glycine,HMDB00123,C00037
28,16,75.00825792,5823.512516,0.000506071,100,C2H4O3,-H(+),Glycolic acid,HMDB00115,C03547
29,17,83.04858513,3906.065877,0.001649744,61,C5H8O,-H(+),Methyl propenyl ketone,HMDB01184,
30,17,83.04858513,3906.065877,0.001649744,61,C5H8O,-H(+),3-Methyl-2-butenal,HMDB12157,C15604
31,18,84.04498304,4328.769847,0.00050081,100,C4H7NO,-H(+),2-Pyrrolidinone,HMDB02039,C11118
32,19,85.02910655,27475.42856,0.000392879,100,C4H6O2,-H(+),Gamma-Butyrolactone,HMDB00549,C01770
33,19,85.02910655,27475.42856,0.000392879,100,C4H6O2,-H(+),Oxolan-3-one,HMDB02523,
34,19,85.02910655,27475.42856,0.000392879,100,C4H6O2,-H(+),Diacetyl,HMDB03407,C00741
35,19,85.02910655,27475.42856,0.000392879,100,C4H6O2,-H(+),But-2-enoic acid,HMDB10720,C01771
36,20,86.02379637,7349.080023,0.000952034,100,C3H5NO2,-H(+),2-Aminoacrylic acid,HMDB03609,C02218
37,21,87.00855409,68929.68471,0.000209898,100,C3H4O3,-H(+),Pyruvic acid,HMDB00243,C00022
38,21,87.00855409,68929.68471,0.000209898,100,C3H4O3,-H(+),Malonic semialdehyde,HMDB11111,C00222
39,22,87.04475522,7612.641804,0.000394271,100,C4H8O2,-H(+),Butyric acid,HMDB00039,C00246
40,22,87.04475522,7612.641804,0.000394271,100,C4H8O2,-H(+),Isobutyric acid,HMDB01873,C02632
41,22,87.04475522,7612.641804,0.000394271,100,C4H8O2,-H(+),Acetoin,HMDB03243,C00466
42,23,88.04005788,131018.3108,0.000340588,100,C3H7NO2,-H(+),Beta-Alanine,HMDB00056,C00099
