ionIdx,ionMz,average intensity,mz difference,id,score,formula,ion,name
1,57.0340244,7869.672329,0.000560409,HMDB01659,100,C3H6O,-H(+),Acetone
1,57.0340244,7869.672329,0.000560409,HMDB03366,100,C3H6O,-H(+),Propanal
2,58.02921658,2950.367707,0.000617206,HMDB01122,100,C2H5NO,-H(+),N-Methylformamide
2,58.02921658,2950.367707,0.000617206,HMDB03656,100,C2H5NO,-H(+),Acetaldehyde oxime
3,59.01332992,54409.18843,0.000519448,HMDB00042,100,C2H4O2,-H(+),Acetic acid
3,59.01332992,54409.18843,0.000519448,HMDB03344,100,C2H4O2,-H(+),Glycolaldehyde
4,59.02701499,5283.4192,-0.00193223,HMDB00294,52,CH4N2O,-H(+),Urea
5,59.04968797,4792.593708,0.000546904,HMDB00820,100,C3H8O,-H(+),Propyl alcohol
5,59.04968797,4792.593708,0.000546904,HMDB00863,100,C3H8O,-H(+),Isopropyl alcohol
6,60.99228847,6823.387872,0.000825452,HMDB03538,100,CH2O3,-H(+),Carbonic acid
7,67.01857223,3196.048747,0.000362515,HMDB06853,100,C4H4O,-H(+),3-Butyn-1-al
8,67.02900089,2712.348179,0.001167251,HMDB01525,86,C3H4N2,-H(+),Imidazole
9,70.02925644,3980.161317,0.000577347,HMDB04296,100,C3H5NO,-H(+),Acrylamide
10,71.01340427,15355.68738,0.000445099,HMDB01167,100,C3H4O2,-H(+),Pyruvaldehyde
10,71.01340427,15355.68738,0.000445099,HMDB06112,100,C3H4O2,-H(+),Malondialdehyde
11,71.04907523,3608.211813,0.001159644,HMDB00246,86,C4H8O,-H(+),Tetrahydrofuran
11,71.04907523,3608.211813,0.001159644,HMDB00474,86,C4H8O,-H(+),Butanone
11,71.04907523,3608.211813,0.001159644,HMDB03543,86,C4H8O,-H(+),Butanal
12,72.04470309,2742.226128,0.000780757,HMDB01106,100,C3H7NO,-H(+),3-Aminopropionaldehyde
12,72.04470309,2742.226128,0.000780757,HMDB01888,100,C3H7NO,-H(+),"N,N-Dimethylformamide"
12,72.04470309,2742.226128,0.000780757,HMDB02134,100,C3H7NO,-H(+),Aminoacetone
13,72.99235474,5449.4184,0.000759179,HMDB00119,100,C2H2O3,-H(+),Glyoxylic acid
14,73.02896288,5585.857221,0.000536551,HMDB00237,100,C3H6O2,-H(+),Propionic acid
14,73.02896288,5585.857221,0.000536551,HMDB03052,100,C3H6O2,-H(+),Lactaldehyde
14,73.02896288,5585.857221,0.000536551,HMDB03453,100,C3H6O2,-H(+),3-Hydroxypropanal
14,73.02896288,5585.857221,0.000536551,HMDB06458,100,C3H6O2,-H(+),D-Lactaldehyde
14,73.02896288,5585.857221,0.000536551,HMDB06961,100,C3H6O2,-H(+),Hydroxyacetone
15,74.02422913,12474.48662,0.00051927,HMDB00123,100,C2H5NO2,-H(+),Glycine
16,75.00825792,5823.512516,0.000506071,HMDB00115,100,C2H4O3,-H(+),Glycolic acid
17,83.04858513,3906.065877,0.001649744,HMDB01184,61,C5H8O,-H(+),Methyl propenyl ketone
17,83.04858513,3906.065877,0.001649744,HMDB12157,61,C5H8O,-H(+),3-Methyl-2-butenal
18,84.04498304,4328.769847,0.00050081,HMDB02039,100,C4H7NO,-H(+),2-Pyrrolidinone
19,85.02910655,27475.42856,0.000392879,HMDB00549,100,C4H6O2,-H(+),Gamma-Butyrolactone
19,85.02910655,27475.42856,0.000392879,HMDB02523,100,C4H6O2,-H(+),Oxolan-3-one
