"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"id","NA","NA","NA","NA","NA","NA","NA","0"
"HMDB01659","Propan-2-one","HMDB0001659","180","15347","C00207","3745","CC(C)=O","1"
"HMDB03366","Propanal","HMDB0003366","527","17153","C00479","6906","CCC=O","1"
"HMDB01122","N-Methylformamide","HMDB0001122","31254","7438","C11489",NA,"CNC=O","1"
"HMDB03656","Acetaldehyde oxime","HMDB0003656","5324279","50718","C02658","6972","C\C=N\O","1"
"HMDB00042","Acetic acid","HMDB0000042","176","15366","C00033","3206","CC(=O)O","1"
"HMDB03344","Glycolaldehyde","HMDB0003344","756","17071","C00266","3205","OCC=O","1"
"HMDB00294","Urea","HMDB0000294","1176","16199","C00086","6","NC(N)=O","1"
"HMDB00820","Propyl alcohol","HMDB0000820","1031","28831","C05979","5783","CCCO","1"
"HMDB00863","Isopropyl alcohol","HMDB0000863","3776","17824","C01845","4192","CC(C)O","1"
"HMDB03538","Carbonic acid","HMDB0003538","769","28976","C01353","6944","C(=O)(O)O","1"
"HMDB06853","3-Butyn-1-al","HMDB0006853","142966","28180","C06145",NA,"O=CCC#C","1"
"HMDB01525","Imidazole","HMDB0001525","795","16069","C01589","4190","N1C=CN=C1","1"
"HMDB04296","Acrylamide","HMDB0004296","6579","28619","C01659",NA,"NC(=O)C=C","1"
"HMDB01167","Pyruvaldehyde","HMDB0001167","880","17158","C00546","6049","CC(=O)C=O","1"
"HMDB06112","Malondialdehyde","HMDB0006112","10964","566274","C19440",NA,"O=CCC=O","1"
"HMDB00246","Tetrahydrofuran","HMDB0000246","8028","26911",NA,NA,"C1CCOC1","1"
"HMDB00474","Butanone","HMDB0000474","6569","28398","C02845","5461","CCC(C)=O","1"
"HMDB03543","Butanal","HMDB0003543","261","15743","C01412","6947","CCCC=O","1"
"HMDB01106","3-Aminopropionaldehyde","HMDB0001106","75","18090","C05665","6007","NCCC=O","1"
"HMDB01888","N,N-Dimethylformamide","HMDB0001888","6228","17741","C03134",NA,"CN(C)C=O","1"
"HMDB02134","Aminoacetone","HMDB0002134","215","17906","C01888","6502","CC(=O)CN","1"
"HMDB00119","Glyoxylic acid","HMDB0000119","760","16891","C00048","3213","OC(=O)C=O","1"
"HMDB00237","Propionic acid","HMDB0000237","1032","30768","C00163","3215","CCC(=O)O","1"
"HMDB03052","Lactaldehyde","HMDB0003052","439231","18041","C00424","3214","C[C@H](O)C=O","1"
"HMDB03453","3-Hydroxypropanal","HMDB0003453","75049","17871","C00969","6935","OCCC=O","1"
"HMDB06458","D-Lactaldehyde","HMDB0006458","439350","17167","C00937",NA,"C[C@@H](O)C=O","1"
"HMDB06961","Hydroxyacetone","HMDB0006961","8299","27957","C05235",NA,"CC(=O)CO","1"
"HMDB00123","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"HMDB00115","Glycolic acid","HMDB0000115","757","17497","C03547","3219","OCC(O)=O","1"
"HMDB01184","Methyl propenyl ketone","HMDB0001184","637920","89540",NA,NA,"C/C=C/C(C)=O","1"
"HMDB12157","3-Methyl-2-butenal","HMDB0012157","61020","15825","C15604",NA,"CC(C)=CC=O","1"
"HMDB02039","2-Pyrrolidinone","HMDB0002039","12025","36592","C11118","6452","O=C1CCCN1","1"
"HMDB00549","Gamma-Butyrolactone","HMDB0000549","7302","42639","C01770","5533","O=C1CCCO1","1"
"HMDB02523","Oxolan-3-one","HMDB0002523","529392",NA,NA,"6710","O=C1CCOC1","1"
"HMDB03407","Diacetyl","HMDB0003407","650","16583","C00741","6921","CC(=O)C(C)=O","1"
"HMDB10720","But-2-enoic acid","HMDB0010720","637090","41131","C01771",NA,"C/C=C/C(=O)O","1"
"HMDB03609","2-Aminoacrylic acid","HMDB0003609","123991","17123","C02218",NA,"NC(=C)C(O)=O","1"
"HMDB00243","Pyruvic acid","HMDB0000243","1060","32816","C00022","117","CC(=O)C(=O)O","1"
"HMDB11111","Malonic semialdehyde","HMDB0011111","868","17960","C00222",NA,"OC(=O)CC=O","1"
"HMDB00039","Butyric acid","HMDB0000039","264","30772","C00246","107","CCCC(=O)O","1"
"HMDB01873","Isobutyric acid","HMDB0001873","6590","16135","C02632","106","CC(C)C(=O)O","1"
"HMDB03243","Acetoin","HMDB0003243","4068","15688","C00466","103","CC(O)C(C)=O","1"
"HMDB00056","beta-Alanine","HMDB0000056","239","16958","C00099","5119","NCCC(O)=O","1"
"HMDB00161","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"HMDB00271","Sarcosine","HMDB0000271","1088","15611","C00213","51","CNCC(O)=O","1"
"HMDB01310","D-Alanine","HMDB0001310","71080","15570","C00133",NA,"C[C@@H](N)C(O)=O","1"
"HMDB02329","Oxalic acid","HMDB0002329","971","16995","C00209","113","OC(=O)C(O)=O","1"
"HMDB06804","Propynoic acid","HMDB0006804","10110","33199","C00804",NA,"OC(=O)C#C","1"
"HMDB00190","L-Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"HMDB00700","Hydroxypropionic acid","HMDB0000700","68152","33404","C01013","5668","OCCC(O)=O","1"
"HMDB01051","Glyceraldehyde","HMDB0001051","751","5445","C02154","4176","OCC(O)C=O","1"
"HMDB01311","D-Lactic acid","HMDB0001311","61503","42111","C00256","6150","C[C@@H](O)C(O)=O","1"
"HMDB01882","Dihydroxyacetone","HMDB0001882","670","16016","C00184","6368","OCC(=O)CO","1"
"HMDB00131","Glycerol","HMDB0000131","753","17754","C00116","105","OCC(O)CO","1"
"HMDB03012","Aniline","HMDB0003012","6115","17296","C00292","489","NC1=CC=CC=C1","1"
"HMDB12974","Hypothiocyanite","HMDB0012974","124985","133907",NA,NA,"OSC#N","1"
"HMDB05879","Dimethyldisulfide","HMDB0005879","12232","4608","C08371",NA,"CSSC","1"
"HMDB04983","Dimethyl sulfone","HMDB0004983","6213","9349","C11142","7236","CS(C)(=O)=O","1"
"HMDB01881","Propylene glycol","HMDB0001881","259994","28972","C02912","3220","CC(CO)O","1"
"HMDB06213","(S)-Propane-1,2-diol","HMDB0006213","439846","29002","C02917","3220","C[C@H](O)CO","1"
"HMDB02142","Phosphoric acid","HMDB0002142","57424078","26078","C00009",NA,"OP(O)(O)=O","1"
"HMDB03315","Cyclohexanone","HMDB0003315","7967","17854","C00414",NA,"O=C1CCCCC1","1"
"HMDB00509","Senecioic acid","HMDB0000509","10931","37127",NA,"5495","CC(=CC(=O)O)C","1"
"HMDB01470","Tiglic acid","HMDB0001470","125468","9592","C08279","6261","C/C=C(\C)/C(=O)O","1"
