,T_A1CF,T_ACVR1,T_AFF3,T_AFF4,T_AKT3,T_ALK,T_APC,T_ARHGAP5,T_ARHGEF12,T_ARID1A,T_ASXL1,T_ATM,T_AXIN1,T_BAP1,T_BCL10,T_BCL11A,T_BCL11B,T_BCL6,T_BCL7A,T_BCL9L,T_BCOR,T_BCORL1,T_BCR,T_BIRC6,T_BLM,T_BRCA1,T_BRIP1,T_BUB1B,T_CACNA1D,T_CALR,T_CAMTA1,T_CARD11,T_CARS,T_CASP3,T_CBFA2T3,T_CBL,T_CCND1,T_CCND2,T_CCR4,T_CD79A,T_CDH1,T_CDH10,T_CDK12,T_CDKN2A,T_CDX2,T_CHD4,T_CIC,T_CLIP1,T_CLTCL1,T_COL2A1,T_COL3A1,T_COX6C,T_CREB3L2,T_CREBBP,T_CRTC1,T_CSF3R,T_CSMD3,T_CTCF,T_CTNNA2,T_CUL3,T_CXCR4,T_CYLD,T_CYSLTR2,T_DCC,T_DDR2,T_DDX3X,T_DDX6,T_DICER1,T_DNAJB1,T_DNMT3A,T_DROSHA,T_EGFR,T_EIF3E,T_ELL,T_EP300,T_EPAS1,T_ERBB2,T_ERBB3,T_ERBB4,T_ERCC3,T_EWSR1,T_EZH2,T_FAM47C,T_FANCA,T_FANCG,T_FAT1,T_FAT4,T_FBXO11,T_FBXW7,T_FES,T_FGFR3,T_FLNA,T_FLT3,T_FOXP1,T_FOXR1,T_GATA1,T_GLI1,T_GNA11,T_GOPC,T_GRIN2A,T_HIST1H3B,T_HOXA9,T_HOXD11,T_HRAS,T_JAK1,T_JAK3,T_KDM5A,T_KDM6A,T_KEAP1,T_KMT2A,T_KMT2C,T_KMT2D,T_KRAS,T_LARP4B,T_LASP1,T_LCK,T_LIFR,T_LRIG3,T_LRP1B,T_LZTR1,T_MACC1,T_MAML2,T_MAP2K1,T_MAP2K2,T_MAP3K1,T_MAP3K13,T_MEN1,T_MLH1,T_MLLT3,T_MN1,T_MSH6,T_MTOR,T_MUC1,T_MUC16,T_MUC4,T_MUTYH,T_MYB,T_MYH11,T_MYO5A,T_N4BP2,T_NAB2,T_NCOA2,T_NCOR2,T_NF1,T_NF2,T_NFATC2,T_NFE2L2,T_NOTCH1,T_NOTCH2,T_NRAS,T_NRG1,T_NSD1,T_NUP214,T_PAFAH1B2,T_PALB2,T_PBRM1,T_PCBP1,T_PER1,T_PHOX2B,T_PIK3CB,T_PIK3R1,T_PMS1,T_PMS2,T_POLD1,T_POLE,T_POLQ,T_POT1,T_PPFIBP1,T_PPM1D,T_PREX2,T_PRKACA,T_PRKCB,T_PRPF40B,T_PTCH1,T_PTEN,T_PTPN13,T_PTPN6,T_PTPRC,T_PTPRK,T_RARA,T_RECQL4,T_RNF213,T_RNF43,T_ROS1,T_RPL22,T_SDHA,T_SDHAF2,T_SEPT9,T_SETD1B,T_SF3B1,T_SIRPA,T_SMARCA4,T_SPEN,T_SRSF3,T_STAT3,T_STAT6,T_STIL,T_TCF3,T_TCF7L2,T_TERT,T_THRAP3,T_TNFAIP3,T_TNFRSF17,T_TOP1,T_TP53,T_TPR,T_TRAF7,T_TRRAP,T_TSC1,T_TSC2,T_UBR5,T_USP6,T_ZFHX3,T_ZNF521
1,-3.593,-1.24,-1.24,-3.593,4.1,-1.24,-3.593,-3.593,-3.593,-3.593,-1.523,-3.593,-1.657,-3.593,-1.657,-3.593,-3.593,-3.593,-3.593,-3.593,-3.593,-3.593,-3.593,-1.657,-3.593,-3.593,-1.657,-3.593,-1.657,-3.593,-1.657,4.1,-3.593,-3.593,-3.593,4.1,-1.24,0.994,-1.24,-3.593,0.994,-1.24,-3.593,-1.912,0.994,-1.657,-3.774,-1.912,-3.593,-1.24,-1.24,-3.593,4.1,-3.593,-3.593,-3.593,-1.523,-3.593,4.1,-1.24,-3.593,-3.593,-3.593,4.1,-1.24,-1.24,-3.593,-3.593,-3.593,-3.593,-3.593,-1.981,-1.24,-3.593,-3.593,4.1,-3.593,-3.774,-3.593,-3.593,-3.593,-1.24,-1.24,-1.657,-3.593,-3.774,-3.593,-3.593,-1.24,-3.593,-3.593,-3.593,-1.657,-1.912,-3.593,-1.24,-1.657,-3.593,-1.657,-1.24,-3.593,4.1,4.1,-3.593,-3.593,0.994,-3.593,0.994,-3.593,-1.657,-1.24,-1.657,-0.512,-3.593,-3.593,-3.593,-3.593,-1.24,-1.657,-3.593,-1.24,-1.24,-3.593,-3.593,-1.6,-3.593,-3.593,-1.24,-3.593,4.1,-3.593,-3.593,-3.359,4.163,-1.657,0.994,-3.593,-1.657,-3.593,-3.593,-3.593,-3.593,-1.657,-1.24,-3.593,-1.24,4.1,-2.399,-1.657,2.57,-3.593,-1.24,-3.593,0.994,-1.657,-1.24,-3.593,-1.24,-3.593,-1.24,-3.593,-3.593,-1.657,-3.593,-3.593,0.994,-3.593,-3.593,-1.24,-3.593,-3.593,-3.537,-1.657,0.994,-3.593,-3.359,-3.593,-3.593,2.57,-3.593,-1.6,-3.593,-3.593,-3.774,-3.593,-1.24,-3.593,-3.593,-3.593,-3.593,-1.24,-3.593,-3.359,-3.593,-3.593,-3.593,-3.593,-3.359,-1.24,-3.593,-3.593,-3.593,-3.593,-3.593,-2.484,-3.593,-3.593,-3.774,-3.593,-3.593,-3.593,-3.593,4.1,0.994
2,2.119,0,0,2.119,-2.323,0,2.119,2.119,2.119,2.119,-2.43,2.119,3.591,2.119,3.591,2.119,2.119,2.119,2.119,2.119,2.119,2.119,2.119,3.591,2.119,2.119,3.591,2.119,3.591,2.119,3.591,-2.323,2.119,2.119,2.119,-2.323,0,0.222,0,2.119,0.222,0,2.119,3.471,0.222,3.591,0.549,3.471,2.119,0,0,2.119,-2.323,2.119,2.119,2.119,-2.43,2.119,-2.323,0,2.119,2.119,2.119,-2.323,0,0,2.119,2.119,2.119,2.119,2.119,-3.875,0,2.119,2.119,-2.323,2.119,0.549,2.119,2.119,2.119,0,0,3.591,2.119,0.549,2.119,2.119,0,2.119,2.119,2.119,3.591,3.471,2.119,0,3.591,2.119,3.591,0,2.119,-2.323,-2.323,2.119,2.119,0.222,2.119,0.222,2.119,3.591,0,3.591,-2.467,2.119,2.119,2.119,2.119,0,3.591,2.119,0,0,2.119,2.119,-0.399,2.119,2.119,0,2.119,-2.323,2.119,2.119,-0.855,-1.09,3.591,0.222,2.119,3.591,2.119,2.119,2.119,2.119,3.591,0,2.119,0,-2.323,-1.774,3.591,0,2.119,0,2.119,0.222,3.591,0,2.119,0,2.119,0,2.119,2.119,3.591,2.119,2.119,0.222,2.119,2.119,0,2.119,2.119,1.054,3.591,0.222,2.119,-0.855,2.119,2.119,0,2.119,-0.399,2.119,2.119,0.549,2.119,0,2.119,2.119,2.119,2.119,0,2.119,-0.855,2.119,2.119,2.119,2.119,-0.855,0,2.119,2.119,2.119,2.119,2.119,-2.054,2.119,2.119,0.549,2.119,2.119,2.119,2.119,-2.323,0.222
3,0.218,2.225,2.225,0.218,4.013,2.225,0.218,0.218,0.218,0.218,-3.211,0.218,3.63,0.218,3.63,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,3.63,0.218,0.218,3.63,0.218,3.63,0.218,3.63,4.013,0.218,0.218,0.218,4.013,2.225,-1.502,2.225,0.218,-1.502,2.225,0.218,-1.525,-1.502,3.63,0.099,-1.525,0.218,2.225,2.225,0.218,4.013,0.218,0.218,0.218,-3.211,0.218,4.013,2.225,0.218,0.218,0.218,4.013,2.225,2.225,0.218,0.218,0.218,0.218,0.218,0.907,2.225,0.218,0.218,4.013,0.218,0.099,0.218,0.218,0.218,2.225,2.225,3.63,0.218,0.099,0.218,0.218,2.225,0.218,0.218,0.218,3.63,-1.525,0.218,2.225,3.63,0.218,3.63,2.225,0.218,4.013,4.013,0.218,0.218,-1.502,0.218,-1.502,0.218,3.63,2.225,3.63,-4.425,0.218,0.218,0.218,0.218,2.225,3.63,0.218,2.225,2.225,0.218,0.218,-0.521,0.218,0.218,2.225,0.218,4.013,0.218,0.218,4.319,1.893,3.63,-1.502,0.218,3.63,0.218,0.218,0.218,0.218,3.63,2.225,0.218,2.225,4.013,-2.94,3.63,-2.853,0.218,2.225,0.218,-1.502,3.63,2.225,0.218,2.225,0.218,2.225,0.218,0.218,3.63,0.218,0.218,-1.502,0.218,0.218,2.225,0.218,0.218,3.179,3.63,-1.502,0.218,4.319,0.218,0.218,-2.853,0.218,-0.521,0.218,0.218,0.099,0.218,2.225,0.218,0.218,0.218,0.218,2.225,0.218,4.319,0.218,0.218,0.218,0.218,4.319,2.225,0.218,0.218,0.218,0.218,0.218,-1.732,0.218,0.218,0.099,0.218,0.218,0.218,0.218,4.013,-1.502
4,3.035,3.839,3.839,3.035,3.043,3.839,3.035,3.035,3.035,3.035,-1.813,3.035,-4.045,3.035,-4.045,3.035,3.035,3.035,3.035,3.035,3.035,3.035,3.035,-4.045,3.035,3.035,-4.045,3.035,-4.045,3.035,-4.045,3.043,3.035,3.035,3.035,3.043,3.839,-1.615,3.839,3.035,-1.615,3.839,3.035,-0.527,-1.615,-4.045,0.436,-0.527,3.035,3.839,3.839,3.035,3.043,3.035,3.035,3.035,-1.813,3.035,3.043,3.839,3.035,3.035,3.035,3.043,3.839,3.839,3.035,3.035,3.035,3.035,3.035,2.886,3.839,3.035,3.035,3.043,3.035,0.436,3.035,3.035,3.035,3.839,3.839,-4.045,3.035,0.436,3.035,3.035,3.839,3.035,3.035,3.035,-4.045,-0.527,3.035,3.839,-4.045,3.035,-4.045,3.839,3.035,3.043,3.043,3.035,3.035,-1.615,3.035,-1.615,3.035,-4.045,3.839,-4.045,-4.141,3.035,3.035,3.035,3.035,3.839,-4.045,3.035,3.839,3.839,3.035,3.035,-0.827,3.035,3.035,3.839,3.035,3.043,3.035,3.035,2.247,-1.278,-4.045,-1.615,3.035,-4.045,3.035,3.035,3.035,3.035,-4.045,3.839,3.035,3.839,3.043,0.344,-4.045,-1.27,3.035,3.839,3.035,-1.615,-4.045,3.839,3.035,3.839,3.035,3.839,3.035,3.035,-4.045,3.035,3.035,-1.615,3.035,3.035,3.839,3.035,3.035,0.333,-4.045,-1.615,3.035,2.247,3.035,3.035,-1.27,3.035,-0.827,3.035,3.035,0.436,3.035,3.839,3.035,3.035,3.035,3.035,3.839,3.035,2.247,3.035,3.035,3.035,3.035,2.247,3.839,3.035,3.035,3.035,3.035,3.035,1.423,3.035,3.035,0.436,3.035,3.035,3.035,3.035,3.043,-1.615
5,-3.887,-3.17,-3.17,-3.887,-3.662,-3.17,-3.887,-3.887,-3.887,-3.887,-1.595,-3.887,3.208,-3.887,3.208,-3.887,-3.887,-3.887,-3.887,-3.887,-3.887,-3.887,-3.887,3.208,-3.887,-3.887,3.208,-3.887,3.208,-3.887,3.208,-3.662,-3.887,-3.887,-3.887,-3.662,-3.17,4.365,-3.17,-3.887,4.365,-3.17,-3.887,0.533,4.365,3.208,-0.783,0.533,-3.887,-3.17,-3.17,-3.887,-3.662,-3.887,-3.887,-3.887,-1.595,-3.887,-3.662,-3.17,-3.887,-3.887,-3.887,-3.662,-3.17,-3.17,-3.887,-3.887,-3.887,-3.887,-3.887,1.897,-3.17,-3.887,-3.887,-3.662,-3.887,-0.783,-3.887,-3.887,-3.887,-3.17,-3.17,3.208,-3.887,-0.783,-3.887,-3.887,-3.17,-3.887,-3.887,-3.887,3.208,0.533,-3.887,-3.17,3.208,-3.887,3.208,-3.17,-3.887,-3.662,-3.662,-3.887,-3.887,4.365,-3.887,4.365,-3.887,3.208,-3.17,3.208,4.092,-3.887,-3.887,-3.887,-3.887,-3.17,3.208,-3.887,-3.17,-3.17,-3.887,-3.887,4.082,-3.887,-3.887,-3.17,-3.887,-3.662,-3.887,-3.887,-1.774,3.824,3.208,4.365,-3.887,3.208,-3.887,-3.887,-3.887,-3.887,3.208,-3.17,-3.887,-3.17,-3.662,2.681,3.208,-2.182,-3.887,-3.17,-3.887,4.365,3.208,-3.17,-3.887,-3.17,-3.887,-3.17,-3.887,-3.887,3.208,-3.887,-3.887,4.365,-3.887,-3.887,-3.17,-3.887,-3.887,-2.875,3.208,4.365,-3.887,-1.774,-3.887,-3.887,-2.182,-3.887,4.082,-3.887,-3.887,-0.783,-3.887,-3.17,-3.887,-3.887,-3.887,-3.887,-3.17,-3.887,-1.774,-3.887,-3.887,-3.887,-3.887,-1.774,-3.17,-3.887,-3.887,-3.887,-3.887,-3.887,-1.499,-3.887,-3.887,-0.783,-3.887,-3.887,-3.887,-3.887,-3.662,4.365
6,3.736,0.775,0.775,3.736,0.323,0.775,3.736,3.736,3.736,3.736,-0.628,3.736,-2.394,3.736,-2.394,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,-2.394,3.736,3.736,-2.394,3.736,-2.394,3.736,-2.394,0.323,3.736,3.736,3.736,0.323,0.775,-2.012,0.775,3.736,-2.012,0.775,3.736,1.409,-2.012,-2.394,-2.004,1.409,3.736,0.775,0.775,3.736,0.323,3.736,3.736,3.736,-0.628,3.736,0.323,0.775,3.736,3.736,3.736,0.323,0.775,0.775,3.736,3.736,3.736,3.736,3.736,-2.252,0.775,3.736,3.736,0.323,3.736,-2.004,3.736,3.736,3.736,0.775,0.775,-2.394,3.736,-2.004,3.736,3.736,0.775,3.736,3.736,3.736,-2.394,1.409,3.736,0.775,-2.394,3.736,-2.394,0.775,3.736,0.323,0.323,3.736,3.736,-2.012,3.736,-2.012,3.736,-2.394,0.775,-2.394,-3.179,3.736,3.736,3.736,3.736,0.775,-2.394,3.736,0.775,0.775,3.736,3.736,-0.499,3.736,3.736,0.775,3.736,0.323,3.736,3.736,-2.976,-0.107,-2.394,-2.012,3.736,-2.394,3.736,3.736,3.736,3.736,-2.394,0.775,3.736,0.775,0.323,-1.769,-2.394,-2.529,3.736,0.775,3.736,-2.012,-2.394,0.775,3.736,0.775,3.736,0.775,3.736,3.736,-2.394,3.736,3.736,-2.012,3.736,3.736,0.775,3.736,3.736,0.51,-2.394,-2.012,3.736,-2.976,3.736,3.736,-2.529,3.736,-0.499,3.736,3.736,-2.004,3.736,0.775,3.736,3.736,3.736,3.736,0.775,3.736,-2.976,3.736,3.736,3.736,3.736,-2.976,0.775,3.736,3.736,3.736,3.736,3.736,0.777,3.736,3.736,-2.004,3.736,3.736,3.736,3.736,0.323,-2.012
7,1.736,3.21,3.21,1.736,1.764,3.21,1.736,1.736,1.736,1.736,1.37,1.736,-1.638,1.736,-1.638,1.736,1.736,1.736,1.736,1.736,1.736,1.736,1.736,-1.638,1.736,1.736,-1.638,1.736,-1.638,1.736,-1.638,1.764,1.736,1.736,1.736,1.764,3.21,0.267,3.21,1.736,0.267,3.21,1.736,2.326,0.267,-1.638,-2.415,2.326,1.736,3.21,3.21,1.736,1.764,1.736,1.736,1.736,1.37,1.736,1.764,3.21,1.736,1.736,1.736,1.764,3.21,3.21,1.736,1.736,1.736,1.736,1.736,-0.977,3.21,1.736,1.736,1.764,1.736,-2.415,1.736,1.736,1.736,3.21,3.21,-1.638,1.736,-2.415,1.736,1.736,3.21,1.736,1.736,1.736,-1.638,2.326,1.736,3.21,-1.638,1.736,-1.638,3.21,1.736,1.764,1.764,1.736,1.736,0.267,1.736,0.267,1.736,-1.638,3.21,-1.638,-3.023,1.736,1.736,1.736,1.736,3.21,-1.638,1.736,3.21,3.21,1.736,1.736,3.4,1.736,1.736,3.21,1.736,1.764,1.736,1.736,0.926,-1.384,-1.638,0.267,1.736,-1.638,1.736,1.736,1.736,1.736,-1.638,3.21,1.736,3.21,1.764,1.97,-1.638,-2.241,1.736,3.21,1.736,0.267,-1.638,3.21,1.736,3.21,1.736,3.21,1.736,1.736,-1.638,1.736,1.736,0.267,1.736,1.736,3.21,1.736,1.736,-1.776,-1.638,0.267,1.736,0.926,1.736,1.736,-2.241,1.736,3.4,1.736,1.736,-2.415,1.736,3.21,1.736,1.736,1.736,1.736,3.21,1.736,0.926,1.736,1.736,1.736,1.736,0.926,3.21,1.736,1.736,1.736,1.736,1.736,-0.49,1.736,1.736,-2.415,1.736,1.736,1.736,1.736,1.764,0.267
8,2.336,1.257,1.257,2.336,1.769,1.257,2.336,2.336,2.336,2.336,3.911,2.336,0.399,2.336,0.399,2.336,2.336,2.336,2.336,2.336,2.336,2.336,2.336,0.399,2.336,2.336,0.399,2.336,0.399,2.336,0.399,1.769,2.336,2.336,2.336,1.769,1.257,-0.824,1.257,2.336,-0.824,1.257,2.336,-0.404,-0.824,0.399,-2.475,-0.404,2.336,1.257,1.257,2.336,1.769,2.336,2.336,2.336,3.911,2.336,1.769,1.257,2.336,2.336,2.336,1.769,1.257,1.257,2.336,2.336,2.336,2.336,2.336,0.368,1.257,2.336,2.336,1.769,2.336,-2.475,2.336,2.336,2.336,1.257,1.257,0.399,2.336,-2.475,2.336,2.336,1.257,2.336,2.336,2.336,0.399,-0.404,2.336,1.257,0.399,2.336,0.399,1.257,2.336,1.769,1.769,2.336,2.336,-0.824,2.336,-0.824,2.336,0.399,1.257,0.399,-3.213,2.336,2.336,2.336,2.336,1.257,0.399,2.336,1.257,1.257,2.336,2.336,-1.748,2.336,2.336,1.257,2.336,1.769,2.336,2.336,0.425,-2.872,0.399,-0.824,2.336,0.399,2.336,2.336,2.336,2.336,0.399,1.257,2.336,1.257,1.769,3.968,0.399,0.79,2.336,1.257,2.336,-0.824,0.399,1.257,2.336,1.257,2.336,1.257,2.336,2.336,0.399,2.336,2.336,-0.824,2.336,2.336,1.257,2.336,2.336,-0.133,0.399,-0.824,2.336,0.425,2.336,2.336,0.79,2.336,-1.748,2.336,2.336,-2.475,2.336,1.257,2.336,2.336,2.336,2.336,1.257,2.336,0.425,2.336,2.336,2.336,2.336,0.425,1.257,2.336,2.336,2.336,2.336,2.336,-3.177,2.336,2.336,-2.475,2.336,2.336,2.336,2.336,1.769,-0.824
9,3.362,-4,-4,3.362,0.316,-4,3.362,3.362,3.362,3.362,-0.489,3.362,-0.975,3.362,-0.975,3.362,3.362,3.362,3.362,3.362,3.362,3.362,3.362,-0.975,3.362,3.362,-0.975,3.362,-0.975,3.362,-0.975,0.316,3.362,3.362,3.362,0.316,-4,-3.886,-4,3.362,-3.886,-4,3.362,-0.534,-3.886,-0.975,0,-0.534,3.362,-4,-4,3.362,0.316,3.362,3.362,3.362,-0.489,3.362,0.316,-4,3.362,3.362,3.362,0.316,-4,-4,3.362,3.362,3.362,3.362,3.362,2.931,-4,3.362,3.362,0.316,3.362,0,3.362,3.362,3.362,-4,-4,-0.975,3.362,0,3.362,3.362,-4,3.362,3.362,3.362,-0.975,-0.534,3.362,-4,-0.975,3.362,-0.975,-4,3.362,0.316,0.316,3.362,3.362,-3.886,3.362,-3.886,3.362,-0.975,-4,-0.975,-4.184,3.362,3.362,3.362,3.362,-4,-0.975,3.362,-4,-4,3.362,3.362,-4.513,3.362,3.362,-4,3.362,0.316,3.362,3.362,-4.018,0.651,-0.975,-3.886,3.362,-0.975,3.362,3.362,3.362,3.362,-0.975,-4,3.362,-4,0.316,3.29,-0.975,-0.552,3.362,-4,3.362,-3.886,-0.975,-4,3.362,-4,3.362,-4,3.362,3.362,-0.975,3.362,3.362,-3.886,3.362,3.362,-4,3.362,3.362,3.209,-0.975,-3.886,3.362,-4.018,3.362,3.362,-0.552,3.362,-4.513,3.362,3.362,0,3.362,-4,3.362,3.362,3.362,3.362,-4,3.362,-4.018,3.362,3.362,3.362,3.362,-4.018,-4,3.362,3.362,3.362,3.362,3.362,3.474,3.362,3.362,0,3.362,3.362,3.362,3.362,0.316,-3.886
10,4.052,4.486,4.486,4.052,0.632,4.486,4.052,4.052,4.052,4.052,2.921,4.052,-3.498,4.052,-3.498,4.052,4.052,4.052,4.052,4.052,4.052,4.052,4.052,-3.498,4.052,4.052,-3.498,4.052,-3.498,4.052,-3.498,0.632,4.052,4.052,4.052,0.632,4.486,-3.847,4.486,4.052,-3.847,4.486,4.052,-0.316,-3.847,-3.498,-0.629,-0.316,4.052,4.486,4.486,4.052,0.632,4.052,4.052,4.052,2.921,4.052,0.632,4.486,4.052,4.052,4.052,0.632,4.486,4.486,4.052,4.052,4.052,4.052,4.052,0.691,4.486,4.052,4.052,0.632,4.052,-0.629,4.052,4.052,4.052,4.486,4.486,-3.498,4.052,-0.629,4.052,4.052,4.486,4.052,4.052,4.052,-3.498,-0.316,4.052,4.486,-3.498,4.052,-3.498,4.486,4.052,0.632,0.632,4.052,4.052,-3.847,4.052,-3.847,4.052,-3.498,4.486,-3.498,-2.865,4.052,4.052,4.052,4.052,4.486,-3.498,4.052,4.486,4.486,4.052,4.052,-4.049,4.052,4.052,4.486,4.052,0.632,4.052,4.052,3.18,-1.655,-3.498,-3.847,4.052,-3.498,4.052,4.052,4.052,4.052,-3.498,4.486,4.052,4.486,0.632,-3.593,-3.498,0.498,4.052,4.486,4.052,-3.847,-3.498,4.486,4.052,4.486,4.052,4.486,4.052,4.052,-3.498,4.052,4.052,-3.847,4.052,4.052,4.486,4.052,4.052,4.6,-3.498,-3.847,4.052,3.18,4.052,4.052,0.498,4.052,-4.049,4.052,4.052,-0.629,4.052,4.486,4.052,4.052,4.052,4.052,4.486,4.052,3.18,4.052,4.052,4.052,4.052,3.18,4.486,4.052,4.052,4.052,4.052,4.052,0.886,4.052,4.052,-0.629,4.052,4.052,4.052,4.052,0.632,-3.847
