,T_AKAP9,T_AMER1,T_APC,T_ARID2,T_BCOR,T_BMP5,T_CACNA1D,T_CARD11,T_CHD2,T_CLP1,T_CREBBP,T_CRNKL1,T_CSMD3,T_DCTN1,T_DDX10,T_DNMT3A,T_EGFR,T_ELN,T_EP300,T_FANCA,T_HIST1H3B,T_KAT6B,T_KMT2C,T_KMT2D,T_LARP4B,T_MACC1,T_MAP3K1,T_MTOR,T_MUTYH,T_NACA,T_NBN,T_NCOR2,T_NSD1,T_PCM1,T_PDE4DIP,T_PIK3R1,T_PML,T_PTEN,T_PTPN13,T_RB1,T_RECQL4,T_STAG2,T_TAF15,T_VTI1A
1,1.6640000000000001,-3.989,-1.6230000000000002,-1.6640000000000001,1.6640000000000001,1.6640000000000001,-1.6230000000000002,-1.6230000000000002,1.6640000000000001,1.6640000000000001,-1.6640000000000001,-1.6640000000000001,-3.605,-1.6640000000000001,-1.6640000000000001,-3.989,-3.989,-1.6640000000000001,-1.6640000000000001,1.6640000000000001,1.6640000000000001,-3.989,-3.989,-3.989,-1.6640000000000001,-1.6640000000000001,1.6640000000000001,-1.6230000000000002,1.6640000000000001,1.6640000000000001,-1.6230000000000002,1.6640000000000001,-1.6230000000000002,-3.989,1.6640000000000001,-1.6640000000000001,-1.6640000000000001,1.6640000000000001,-1.6640000000000001,-1.6230000000000002,1.6640000000000001,-1.6230000000000002,1.6640000000000001,-3.989
2,1.035,-1.224,-1.827,-1.035,1.035,1.035,-1.827,-1.827,1.035,1.035,-1.035,-1.035,-3.676,-1.035,-1.035,-1.224,-1.224,-1.035,-1.035,1.035,1.035,-1.224,-1.224,-1.224,-1.035,-1.035,1.035,-1.827,1.035,1.035,-1.827,1.035,-1.827,-1.224,1.035,-1.035,-1.035,1.035,-1.035,-1.827,1.035,-1.827,1.035,-1.224
3,1.8,0.731,-1.304,-1.8,1.8,1.8,-1.304,-1.304,1.8,1.8,-1.8,-1.8,-0.568,-1.8,-1.8,0.731,0.731,-1.8,-1.8,1.8,1.8,0.731,0.731,0.731,-1.8,-1.8,1.8,-1.304,1.8,1.8,-1.304,1.8,-1.304,0.731,1.8,-1.8,-1.8,1.8,-1.8,-1.304,1.8,-1.304,1.8,0.731
4,1.5390000000000001,-0.45299999999999996,-1.1,-1.5390000000000001,1.5390000000000001,1.5390000000000001,-1.1,-1.1,1.5390000000000001,1.5390000000000001,-1.5390000000000001,-1.5390000000000001,-1.21,-1.5390000000000001,-1.5390000000000001,-0.45299999999999996,-0.45299999999999996,-1.5390000000000001,-1.5390000000000001,1.5390000000000001,1.5390000000000001,-0.45299999999999996,-0.45299999999999996,-0.45299999999999996,-1.5390000000000001,-1.5390000000000001,1.5390000000000001,-1.1,1.5390000000000001,1.5390000000000001,-1.1,1.5390000000000001,-1.1,-0.45299999999999996,1.5390000000000001,-1.5390000000000001,-1.5390000000000001,1.5390000000000001,-1.5390000000000001,-1.1,1.5390000000000001,-1.1,1.5390000000000001,-0.45299999999999996
5,2.278,-2.6839999999999997,-3.615,-2.278,2.278,2.278,-3.615,-3.615,2.278,2.278,-2.278,-2.278,-2.536,-2.278,-2.278,-2.6839999999999997,-2.6839999999999997,-2.278,-2.278,2.278,2.278,-2.6839999999999997,-2.6839999999999997,-2.6839999999999997,-2.278,-2.278,2.278,-3.615,2.278,2.278,-3.615,2.278,-3.615,-2.6839999999999997,2.278,-2.278,-2.278,2.278,-2.278,-3.615,2.278,-3.615,2.278,-2.6839999999999997
6,1.514,1.088,-0.983,-1.514,1.514,1.514,-0.983,-0.983,1.514,1.514,-1.514,-1.514,0.7859999999999999,-1.514,-1.514,1.088,1.088,-1.514,-1.514,1.514,1.514,1.088,1.088,1.088,-1.514,-1.514,1.514,-0.983,1.514,1.514,-0.983,1.514,-0.983,1.088,1.514,-1.514,-1.514,1.514,-1.514,-0.983,1.514,-0.983,1.514,1.088
7,0.97,-4.206,-3.353,-0.97,0.97,0.97,-3.353,-3.353,0.97,0.97,-0.97,-0.97,-4.128,-0.97,-0.97,-4.206,-4.206,-0.97,-0.97,0.97,0.97,-4.206,-4.206,-4.206,-0.97,-0.97,0.97,-3.353,0.97,0.97,-3.353,0.97,-3.353,-4.206,0.97,-0.97,-0.97,0.97,-0.97,-3.353,0.97,-3.353,0.97,-4.206
8,0.40299999999999997,-0.615,-0.953,-0.40299999999999997,0.40299999999999997,0.40299999999999997,-0.953,-0.953,0.40299999999999997,0.40299999999999997,-0.40299999999999997,-0.40299999999999997,2.508,-0.40299999999999997,-0.40299999999999997,-0.615,-0.615,-0.40299999999999997,-0.40299999999999997,0.40299999999999997,0.40299999999999997,-0.615,-0.615,-0.615,-0.40299999999999997,-0.40299999999999997,0.40299999999999997,-0.953,0.40299999999999997,0.40299999999999997,-0.953,0.40299999999999997,-0.953,-0.615,0.40299999999999997,-0.40299999999999997,-0.40299999999999997,0.40299999999999997,-0.40299999999999997,-0.953,0.40299999999999997,-0.953,0.40299999999999997,-0.615
9,2.443,-3.04,1.185,-2.443,2.443,2.443,1.185,1.185,2.443,2.443,-2.443,-2.443,0.624,-2.443,-2.443,-3.04,-3.04,-2.443,-2.443,2.443,2.443,-3.04,-3.04,-3.04,-2.443,-2.443,2.443,1.185,2.443,2.443,1.185,2.443,1.185,-3.04,2.443,-2.443,-2.443,2.443,-2.443,1.185,2.443,1.185,2.443,-3.04
10,-0.633,1.598,4.079,0.633,-0.633,-0.633,4.079,4.079,-0.633,-0.633,0.633,0.633,3.41,0.633,0.633,1.598,1.598,0.633,0.633,-0.633,-0.633,1.598,1.598,1.598,0.633,0.633,-0.633,4.079,-0.633,-0.633,4.079,-0.633,4.079,1.598,-0.633,0.633,0.633,-0.633,0.633,4.079,-0.633,4.079,-0.633,1.598
