"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"LysoPE(0:0/22:4(7Z,10Z,13Z,16Z))","LysoPE(0:0/22:4(7Z,10Z,13Z,16Z))","HMDB0011493","53480942",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN","1"
"LysoPE(22:4(7Z,10Z,13Z,16Z)/0:0)","LysoPE(22:4(7Z,10Z,13Z,16Z)/0:0)","HMDB0011523","52925133",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O","1"
"LysoPE(0:0/22:0)","LysoPE(0:0/22:0)","HMDB0011490","53480939",NA,"CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN","1"
"LysoPE(22:0/0:0)","LysoPE(22:0/0:0)","HMDB0011520","52925144",NA,"CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O","1"
"PI(16:0/18:2(9Z,12Z))","PI(16:0/18:2(9Z,12Z))","HMDB0009784",NA,"C00626","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"PI(16:1(9Z)/18:1(11Z))","PI(16:1(9Z)/18:1(11Z))","HMDB0009800",NA,"C00626","[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCCCC\C=C/CCCCCC","1"
"PI(16:1(9Z)/18:1(9Z))","PI(16:1(9Z)/18:1(9Z))","HMDB0009801",NA,"C00626","[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"PI(16:2(9Z,12Z)/18:0)","PI(16:2(9Z,12Z)/18:0)","HMDB0009803",NA,"C00626","[H][C@@](COC(=O)CCCCCCC\C=C/C\C=C/CCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCCCCCCCCCCCC","1"
"PI(18:0/16:2(9Z,12Z))","PI(18:0/16:2(9Z,12Z))","HMDB0009807",NA,"C00626","[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCC","1"
"PI(18:1(11Z)/16:1(9Z))","PI(18:1(11Z)/16:1(9Z))","HMDB0009823",NA,"C00626","[H][C@@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCC\C=C/CCCCCC","1"
"PI(18:1(9Z)/16:1(9Z))","PI(18:1(9Z)/16:1(9Z))","HMDB0009835",NA,"C00626","[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCC\C=C/CCCCCC","1"
"PI(18:2(9Z,12Z)/16:0)","PI(18:2(9Z,12Z)/16:0)","HMDB0009846",NA,"C00626","[H][C@@](COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCCCCCCCCCC","1"
"Lipoyl-GMP","Lipoyl-GMP","HMDB0013617","53481910",NA,"C1CSSC1CCCCC(=O)NC2=NC(=O)C3=C(N2)N(C=N3)[C@H]4[C@@H]([C@@H]([C@H](O4)COP(=O)(O)O)O)O","1"
"Aspartylglycosamine","Aspartylglycosamine","HMDB0000489","123826","C04540","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1NC(=O)C[C@@H](C(=O)O)N)CO)O)O","1"
"PC(14:0/18:4(6Z,9Z,12Z,15Z))","PC(14:0/18:4(6Z,9Z,12Z,15Z))","HMDB0007877","24778627","C00157","CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(14:1(9Z)/18:3(6Z,9Z,12Z))","PC(14:1(9Z)/18:3(6Z,9Z,12Z))","HMDB0007908","52922266","C00157","CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(14:1(9Z)/18:3(9Z,12Z,15Z))","PC(14:1(9Z)/18:3(9Z,12Z,15Z))","HMDB0007909","52922268","C00157","CCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC","1"
"PC(18:3(6Z,9Z,12Z)/14:1(9Z))","PC(18:3(6Z,9Z,12Z)/14:1(9Z))","HMDB0008164","52922765","C00157","CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCC","1"
"PC(18:3(9Z,12Z,15Z)/14:1(9Z))","PC(18:3(9Z,12Z,15Z)/14:1(9Z))","HMDB0008197","52922827","C00157","CCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(18:4(6Z,9Z,12Z,15Z)/14:0)","PC(18:4(6Z,9Z,12Z,15Z)/14:0)","HMDB0008229","52922883","C00157","CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PE(15:0/20:4(5Z,8Z,11Z,14Z))","PE(15:0/20:4(5Z,8Z,11Z,14Z))","HMDB0008904","52924170","C00350","CCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PE(15:0/20:4(8Z,11Z,14Z,17Z))","PE(15:0/20:4(8Z,11Z,14Z,17Z))","HMDB0008905","53479577","C00350","CCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PE(20:4(5Z,8Z,11Z,14Z)/15:0)","PE(20:4(5Z,8Z,11Z,14Z)/15:0)","HMDB0009384","52924638","C00350","CCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(O)OCCN","1"
"PE(20:4(8Z,11Z,14Z,17Z)/15:0)","PE(20:4(8Z,11Z,14Z,17Z)/15:0)","HMDB0009417","53479801","C00350","CCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCCN","1"
"Behenic acid","Behenic acid","HMDB0000944","8215","C08281","CCCCCCCCCCCCCCCCCCCCCC(=O)O","1"
"Heptadecanoic acid","Heptadecanoic acid","HMDB0002259","10465",NA,"CCCCCCCCCCCCCCCCC(=O)O","1"
"CPA(18:0/0:0)","CPA(18:0/0:0)","HMDB0007004","51040919",NA,"CCCCCCCCCCCCCCCCCC(=O)OCC1COP(=O)(O1)O","1"
"Menthol","Menthol","HMDB0003352","16666","C00400","C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C","1"
"Decanal","Decanal","HMDB0011623","8175","C12307","CCCCCCCCCC=O","1"
"Uridine diphosphate glucose","Uridine diphosphate glucose","HMDB0000286","53477679","C00029","C1=CN(C(=O)NC1=O)[C@@H]2[C@H]([C@H]([C@@H](O2)COP(=O)(O)OP(=O)(O)OC3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)O)O)O","1"
