"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Beta-Alanyl-CoA","Beta-Alanyl-CoA","HMDB0006805","439708","C02335","CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCN)O","1"
"Famotidine","Famotidine","HMDB0001919","3325",NA,"C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N","1"
"PC(16:0/24:1(15Z))","PC(16:0/24:1(15Z))","HMDB0007993","24778745","C00157","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC","1"
"PC(16:1(9Z)/24:0)","PC(16:1(9Z)/24:0)","HMDB0008025","53478689","C00157","CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(18:0/22:1(13Z))","PC(18:0/22:1(13Z))","HMDB0008052","24778866","C00157","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC","1"
"PC(18:1(11Z)/22:0)","PC(18:1(11Z)/22:0)","HMDB0008084","24778899","C00157","CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(18:1(9Z)/22:0)","PC(18:1(9Z)/22:0)","HMDB0008117","24778951","C00157","CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(20:0/20:1(11Z))","PC(20:0/20:1(11Z))","HMDB0008275","24779042","C00157","CCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\CCCCCCCC","1"
"PC(20:1(11Z)/20:0)","PC(20:1(11Z)/20:0)","HMDB0008307","52923127","C00157","CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(22:0/18:1(11Z))","PC(22:0/18:1(11Z))","HMDB0008531","24779108","C00157","CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\CCCCCC","1"
"PC(22:0/18:1(9Z))","PC(22:0/18:1(9Z))","HMDB0008532","24779113","C00157","CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"PC(22:1(13Z)/18:0)","PC(22:1(13Z)/18:0)","HMDB0008563","53479175","C00157","CCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(24:0/15:0)","PC(24:0/15:0)","HMDB0008757","53479435","C00157","CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@](C)(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCC","1"
"PC(24:0/16:1(9Z))","PC(24:0/16:1(9Z))","HMDB0008759","53479437","C00157","CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"PC(24:1(15Z)/16:0)","PC(24:1(15Z)/16:0)","HMDB0008791","53479493","C00157","CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"Riboflavin reduced","Riboflavin reduced","HMDB0001557","22833571","C01007","C1=CC=C2C(=C1)N=C3C(=O)NC(=O)N=C3N2C[C@H]([C@H]([C@@H](CO)O)O)O","1"
"MG(0:0/18:2(9Z,12Z)/0:0)","MG(0:0/18:2(9Z,12Z)/0:0)","HMDB0011538","5365676",NA,"CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC(CO)CO","1"
"MG(18:2(9Z,12Z)/0:0/0:0)","MG(18:2(9Z,12Z)/0:0/0:0)","HMDB0011568","6436630",NA,"CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CO)O","1"
"3-O-Sulfogalactosylceramide (d18:1/24:1(15Z))","3-O-Sulfogalactosylceramide (d18:1/24:1(15Z))","HMDB0012318","24779587","C06125","CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO[C@H]1C(C([C@H]([C@H](O1)CO)O)OS(=O)(=O)O)O)NC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC)O","1"
"Tetracosahexaenoic acid","Tetracosahexaenoic acid","HMDB0002007","11792612",NA,"CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O","1"
"Pantetheine 4'-phosphate","Pantetheine 4'-phosphate","HMDB0001416","987","C01134","CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O","1"
"2-Phenylaminoadenosine","2-Phenylaminoadenosine","HMDB0001069","1585",NA,"C1=CC=C(C=C1)NC2=NC3=C(C(=N2)N)N=CN3C4C(C(C(O4)CO)O)O","1"
"1-Pyrroline-5-carboxylic acid","1-Pyrroline-5-carboxylic acid","HMDB0001301","6642","C03912","C1CC(N=C1)C(=O)O","1"
"1-Pyrroline-2-carboxylic acid","1-Pyrroline-2-carboxylic acid","HMDB0006875","440046","C03564","C1CC(=NC1)C(=O)O","1"
"Dynorphin A 1-8","Dynorphin A 1-8","HMDB0012933","53481552",NA,"CC[C@H](C)[C@@H](C(=O)O)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)[C@H](CC2=CC=C(C=C2)O)N","1"
"Benzamide","Benzamide","HMDB0004461","2331","C09815","C1=CC=C(C=C1)C(=O)N","1"
"Benzoic acid","Benzoic acid","HMDB0001870","243","C00539","C1=CC=C(C=C1)C(=O)O","1"
"4-Hydroxybenzaldehyde","4-Hydroxybenzaldehyde","HMDB0011718","126","C00633","C1=CC(=CC=C1C=O)O","1"
"PIP(16:0/22:2(13Z,16Z))","PIP(16:0/22:2(13Z,16Z))","HMDB0009933","131750484","C00626","CCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](OP(=O)(O)O)C1O)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC","1"
