,T_ABL1,T_ACVR1,T_ACVR2A,T_AKAP9,T_AMER1,T_APC,T_AR,T_ARHGEF12,T_ARID1A,T_ARNT,T_ASXL1,T_ATM,T_BCL3,T_BCL6,T_BCL9,T_BCORL1,T_BIRC6,T_BRCA1,T_BRCA2,T_BRD3,T_CACNA1D,T_CAMTA1,T_CASP8,T_CBL,T_CCNB1IP1,T_CDH11,T_CDKN2A,T_CDKN2C,T_CDX2,T_CHEK2,T_CHIC2,T_CIC,T_CLIP1,T_CLTCL1,T_CREB3L2,T_CREBBP,T_CRNKL1,T_CTCF,T_CTNNB1,T_CUL3,T_CUX1,T_DCC,T_DCTN1,T_DICER1,T_DNM2,T_EIF3E,T_EIF4A2,T_EP300,T_EPAS1,T_ERBB2,T_ERBB3,T_FAM47C,T_FAT1,T_FAT3,T_FAT4,T_FGFR1OP,T_FH,T_FHIT,T_FKBP9,T_FLNA,T_FLT4,T_GATA3,T_GOPC,T_HERPUD1,T_HLF,T_HSP90AA1,T_ITK,T_JAK1,T_JAK3,T_KAT6B,T_KDR,T_KIAA1549,T_KLF4,T_KMT2A,T_KMT2C,T_KMT2D,T_KRAS,T_LATS2,T_LIFR,T_LRP1B,T_MAP3K1,T_MECOM,T_MED12,T_MLH1,T_MNX1,T_MSH6,T_MSN,T_MUC16,T_MYB,T_NBEA,T_NCOA2,T_NCOR1,T_NCOR2,T_NF2,T_NFATC2,T_NKX2-1,T_NOTCH1,T_NOTCH2,T_NUP214,T_NUP98,T_PALB2,T_PAX5,T_PBRM1,T_PCM1,T_PDE4DIP,T_PICALM,T_PIK3CA,T_PIK3CB,T_PML,T_PMS1,T_POLE,T_POLQ,T_PPP2R1A,T_PRDM1,T_PREX2,T_PTEN,T_PTPN11,T_PTPN13,T_PTPRB,T_PTPRD,T_QKI,T_RB1,T_RECQL4,T_RET,T_RGS7,T_RHOA,T_RNF213,T_RNF43,T_RPL22,T_RUNX1T1,T_SEPT6,T_SEPT9,T_SETDB1,T_SF3B1,T_SIRPA,T_SMAD2,T_SMAD4,T_SMARCA4,T_SOX21,T_SPEN,T_SPOP,T_STAG1,T_STAG2,T_TBX3,T_TCF3,T_TGFBR2,T_TP53,T_TSC2,T_UBR5,T_USP6,T_VAV1,T_WNK2,T_XPC,T_ZMYM3,T_ZNF429,T_ZNF521
1,-0.745,-0.745,-0.745,-0.745,-2.101,-2.101,-0.745,-0.745,-0.745,-1.775,-1.775,-3.4539999999999997,-0.745,-0.745,-0.745,-0.745,-0.745,-0.745,-1.775,-0.745,4.18,-1.775,-0.745,-0.745,-0.745,-0.444,-1.775,-0.745,-0.745,-1.775,-0.745,-0.745,-0.745,-0.745,0.444,-2.346,-1.775,-0.745,-2.101,-0.745,-0.745,4.18,-1.775,-0.745,-0.745,-2.101,-1.775,-4.18,-0.745,-2.101,-0.745,-0.745,-0.745,-0.745,-2.101,-1.775,-0.745,-0.745,-0.745,-2.101,-1.775,-0.745,-0.745,-0.745,-0.745,-0.745,-0.745,-0.745,-0.745,-0.745,-0.745,-0.745,-0.745,-0.745,-1.775,-0.745,-2.346,-0.745,-0.745,-0.444,0.444,-1.775,-0.745,-0.745,-2.101,-2.101,-0.745,-2.101,-0.745,-0.745,-2.101,-0.745,-0.745,-0.745,-0.745,-0.745,-2.101,-0.745,-2.101,-0.745,-0.745,-0.745,-0.444,-0.745,-2.101,-2.101,-0.745,-1.775,-0.745,-0.745,-1.775,-0.745,4.18,-0.745,-0.745,-0.745,-0.745,1.646,-0.745,-0.444,-0.745,-0.745,2.346,-0.444,4.18,-0.745,-0.745,-0.444,-0.745,4.18,-0.745,-0.745,-0.444,-0.745,-0.444,-0.745,-0.745,-0.745,-0.745,-0.745,-1.775,-0.745,-0.745,-2.101,-0.745,-0.444,2.346,-0.745,-2.101,-0.745,-1.775,-0.745,-2.101,-0.745,-1.775,-1.775
2,-0.134,-0.134,-0.134,-0.134,-0.48700000000000004,-0.48700000000000004,-0.134,-0.134,-0.134,-0.672,-0.672,-0.909,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.672,-0.134,0.598,-0.672,-0.134,-0.134,-0.134,0.40399999999999997,-0.672,-0.134,-0.134,-0.672,-0.134,-0.134,-0.134,-0.134,-0.40399999999999997,-0.135,-0.672,-0.134,-0.48700000000000004,-0.134,-0.134,0.598,-0.672,-0.134,-0.134,-0.48700000000000004,-0.672,-0.598,-0.134,-0.48700000000000004,-0.134,-0.134,-0.134,-0.134,-0.48700000000000004,-0.672,-0.134,-0.134,-0.134,-0.48700000000000004,-0.672,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.672,-0.134,-0.135,-0.134,-0.134,0.40399999999999997,-0.40399999999999997,-0.672,-0.134,-0.134,-0.48700000000000004,-0.48700000000000004,-0.134,-0.48700000000000004,-0.134,-0.134,-0.48700000000000004,-0.134,-0.134,-0.134,-0.134,-0.134,-0.48700000000000004,-0.134,-0.48700000000000004,-0.134,-0.134,-0.134,0.40399999999999997,-0.134,-0.48700000000000004,-0.48700000000000004,-0.134,-0.672,-0.134,-0.134,-0.672,-0.134,0.598,-0.134,-0.134,-0.134,-0.134,0.13699999999999998,-0.134,0.40399999999999997,-0.134,-0.134,0.135,0.40399999999999997,0.598,-0.134,-0.134,0.40399999999999997,-0.134,0.598,-0.134,-0.134,0.40399999999999997,-0.134,0.40399999999999997,-0.134,-0.134,-0.134,-0.134,-0.134,-0.672,-0.134,-0.134,-0.48700000000000004,-0.134,0.40399999999999997,0.135,-0.134,-0.48700000000000004,-0.134,-0.672,-0.134,-0.48700000000000004,-0.134,-0.672,-0.672
3,-1.158,-1.158,-1.158,-1.158,-2.365,-2.365,-1.158,-1.158,-1.158,4.35,4.35,0.285,-1.158,-1.158,-1.158,-1.158,-1.158,-1.158,4.35,-1.158,-2.9160000000000004,4.35,-1.158,-1.158,-1.158,3.301,4.35,-1.158,-1.158,4.35,-1.158,-1.158,-1.158,-1.158,-3.301,0.215,4.35,-1.158,-2.365,-1.158,-1.158,-2.9160000000000004,4.35,-1.158,-1.158,-2.365,4.35,2.9160000000000004,-1.158,-2.365,-1.158,-1.158,-1.158,-1.158,-2.365,4.35,-1.158,-1.158,-1.158,-2.365,4.35,-1.158,-1.158,-1.158,-1.158,-1.158,-1.158,-1.158,-1.158,-1.158,-1.158,-1.158,-1.158,-1.158,4.35,-1.158,0.215,-1.158,-1.158,3.301,-3.301,4.35,-1.158,-1.158,-2.365,-2.365,-1.158,-2.365,-1.158,-1.158,-2.365,-1.158,-1.158,-1.158,-1.158,-1.158,-2.365,-1.158,-2.365,-1.158,-1.158,-1.158,3.301,-1.158,-2.365,-2.365,-1.158,4.35,-1.158,-1.158,4.35,-1.158,-2.9160000000000004,-1.158,-1.158,-1.158,-1.158,-8.905,-1.158,3.301,-1.158,-1.158,-0.215,3.301,-2.9160000000000004,-1.158,-1.158,3.301,-1.158,-2.9160000000000004,-1.158,-1.158,3.301,-1.158,3.301,-1.158,-1.158,-1.158,-1.158,-1.158,4.35,-1.158,-1.158,-2.365,-1.158,3.301,-0.215,-1.158,-2.365,-1.158,4.35,-1.158,-2.365,-1.158,4.35,4.35
4,-2.105,-2.105,-2.105,-2.105,-1.5530000000000002,-1.5530000000000002,-2.105,-2.105,-2.105,2.346,2.346,0.051,-2.105,-2.105,-2.105,-2.105,-2.105,-2.105,2.346,-2.105,-0.919,2.346,-2.105,-2.105,-2.105,1.08,2.346,-2.105,-2.105,2.346,-2.105,-2.105,-2.105,-2.105,-1.08,-0.5660000000000001,2.346,-2.105,-1.5530000000000002,-2.105,-2.105,-0.919,2.346,-2.105,-2.105,-1.5530000000000002,2.346,0.919,-2.105,-1.5530000000000002,-2.105,-2.105,-2.105,-2.105,-1.5530000000000002,2.346,-2.105,-2.105,-2.105,-1.5530000000000002,2.346,-2.105,-2.105,-2.105,-2.105,-2.105,-2.105,-2.105,-2.105,-2.105,-2.105,-2.105,-2.105,-2.105,2.346,-2.105,-0.5660000000000001,-2.105,-2.105,1.08,-1.08,2.346,-2.105,-2.105,-1.5530000000000002,-1.5530000000000002,-2.105,-1.5530000000000002,-2.105,-2.105,-1.5530000000000002,-2.105,-2.105,-2.105,-2.105,-2.105,-1.5530000000000002,-2.105,-1.5530000000000002,-2.105,-2.105,-2.105,1.08,-2.105,-1.5530000000000002,-1.5530000000000002,-2.105,2.346,-2.105,-2.105,2.346,-2.105,-0.919,-2.105,-2.105,-2.105,-2.105,-2.693,-2.105,1.08,-2.105,-2.105,0.5660000000000001,1.08,-0.919,-2.105,-2.105,1.08,-2.105,-0.919,-2.105,-2.105,1.08,-2.105,1.08,-2.105,-2.105,-2.105,-2.105,-2.105,2.346,-2.105,-2.105,-1.5530000000000002,-2.105,1.08,0.5660000000000001,-2.105,-1.5530000000000002,-2.105,2.346,-2.105,-1.5530000000000002,-2.105,2.346,2.346
5,-3.388,-3.388,-3.388,-3.388,-0.608,-0.608,-3.388,-3.388,-3.388,-2.48,-2.48,-2.234,-3.388,-3.388,-3.388,-3.388,-3.388,-3.388,-2.48,-3.388,4.052,-2.48,-3.388,-3.388,-3.388,-1.54,-2.48,-3.388,-3.388,-2.48,-3.388,-3.388,-3.388,-3.388,1.54,-1.8019999999999998,-2.48,-3.388,-0.608,-3.388,-3.388,4.052,-2.48,-3.388,-3.388,-0.608,-2.48,-4.052,-3.388,-0.608,-3.388,-3.388,-3.388,-3.388,-0.608,-2.48,-3.388,-3.388,-3.388,-0.608,-2.48,-3.388,-3.388,-3.388,-3.388,-3.388,-3.388,-3.388,-3.388,-3.388,-3.388,-3.388,-3.388,-3.388,-2.48,-3.388,-1.8019999999999998,-3.388,-3.388,-1.54,1.54,-2.48,-3.388,-3.388,-0.608,-0.608,-3.388,-0.608,-3.388,-3.388,-0.608,-3.388,-3.388,-3.388,-3.388,-3.388,-0.608,-3.388,-0.608,-3.388,-3.388,-3.388,-1.54,-3.388,-0.608,-0.608,-3.388,-2.48,-3.388,-3.388,-2.48,-3.388,4.052,-3.388,-3.388,-3.388,-3.388,3.307,-3.388,-1.54,-3.388,-3.388,1.8019999999999998,-1.54,4.052,-3.388,-3.388,-1.54,-3.388,4.052,-3.388,-3.388,-1.54,-3.388,-1.54,-3.388,-3.388,-3.388,-3.388,-3.388,-2.48,-3.388,-3.388,-0.608,-3.388,-1.54,1.8019999999999998,-3.388,-0.608,-3.388,-2.48,-3.388,-0.608,-3.388,-2.48,-2.48
6,2.003,2.003,2.003,2.003,-1.0859999999999999,-1.0859999999999999,2.003,2.003,2.003,-1.129,-1.129,-1.817,2.003,2.003,2.003,2.003,2.003,2.003,-1.129,2.003,1.34,-1.129,2.003,2.003,2.003,0.59,-1.129,2.003,2.003,-1.129,2.003,2.003,2.003,2.003,-0.59,-0.534,-1.129,2.003,-1.0859999999999999,2.003,2.003,1.34,-1.129,2.003,2.003,-1.0859999999999999,-1.129,-1.34,2.003,-1.0859999999999999,2.003,2.003,2.003,2.003,-1.0859999999999999,-1.129,2.003,2.003,2.003,-1.0859999999999999,-1.129,2.003,2.003,2.003,2.003,2.003,2.003,2.003,2.003,2.003,2.003,2.003,2.003,2.003,-1.129,2.003,-0.534,2.003,2.003,0.59,-0.59,-1.129,2.003,2.003,-1.0859999999999999,-1.0859999999999999,2.003,-1.0859999999999999,2.003,2.003,-1.0859999999999999,2.003,2.003,2.003,2.003,2.003,-1.0859999999999999,2.003,-1.0859999999999999,2.003,2.003,2.003,0.59,2.003,-1.0859999999999999,-1.0859999999999999,2.003,-1.129,2.003,2.003,-1.129,2.003,1.34,2.003,2.003,2.003,2.003,0.298,2.003,0.59,2.003,2.003,0.534,0.59,1.34,2.003,2.003,0.59,2.003,1.34,2.003,2.003,0.59,2.003,0.59,2.003,2.003,2.003,2.003,2.003,-1.129,2.003,2.003,-1.0859999999999999,2.003,0.59,0.534,2.003,-1.0859999999999999,2.003,-1.129,2.003,-1.0859999999999999,2.003,-1.129,-1.129
7,-1.327,-1.327,-1.327,-1.327,-2.395,-2.395,-1.327,-1.327,-1.327,-0.386,-0.386,-2.536,-1.327,-1.327,-1.327,-1.327,-1.327,-1.327,-0.386,-1.327,3.7510000000000003,-0.386,-1.327,-1.327,-1.327,-0.98,-0.386,-1.327,-1.327,-0.386,-1.327,-1.327,-1.327,-1.327,0.98,-3.197,-0.386,-1.327,-2.395,-1.327,-1.327,3.7510000000000003,-0.386,-1.327,-1.327,-2.395,-0.386,-3.7510000000000003,-1.327,-2.395,-1.327,-1.327,-1.327,-1.327,-2.395,-0.386,-1.327,-1.327,-1.327,-2.395,-0.386,-1.327,-1.327,-1.327,-1.327,-1.327,-1.327,-1.327,-1.327,-1.327,-1.327,-1.327,-1.327,-1.327,-0.386,-1.327,-3.197,-1.327,-1.327,-0.98,0.98,-0.386,-1.327,-1.327,-2.395,-2.395,-1.327,-2.395,-1.327,-1.327,-2.395,-1.327,-1.327,-1.327,-1.327,-1.327,-2.395,-1.327,-2.395,-1.327,-1.327,-1.327,-0.98,-1.327,-2.395,-2.395,-1.327,-0.386,-1.327,-1.327,-0.386,-1.327,3.7510000000000003,-1.327,-1.327,-1.327,-1.327,1.107,-1.327,-0.98,-1.327,-1.327,3.197,-0.98,3.7510000000000003,-1.327,-1.327,-0.98,-1.327,3.7510000000000003,-1.327,-1.327,-0.98,-1.327,-0.98,-1.327,-1.327,-1.327,-1.327,-1.327,-0.386,-1.327,-1.327,-2.395,-1.327,-0.98,3.197,-1.327,-2.395,-1.327,-0.386,-1.327,-2.395,-1.327,-0.386,-0.386
8,-4.263,-4.263,-4.263,-4.263,-1.15,-1.15,-4.263,-4.263,-4.263,-0.45799999999999996,-0.45799999999999996,-1.3969999999999998,-4.263,-4.263,-4.263,-4.263,-4.263,-4.263,-0.45799999999999996,-4.263,3.012,-0.45799999999999996,-4.263,-4.263,-4.263,-1.663,-0.45799999999999996,-4.263,-4.263,-0.45799999999999996,-4.263,-4.263,-4.263,-4.263,1.663,-2.492,-0.45799999999999996,-4.263,-1.15,-4.263,-4.263,3.012,-0.45799999999999996,-4.263,-4.263,-1.15,-0.45799999999999996,-3.012,-4.263,-1.15,-4.263,-4.263,-4.263,-4.263,-1.15,-0.45799999999999996,-4.263,-4.263,-4.263,-1.15,-0.45799999999999996,-4.263,-4.263,-4.263,-4.263,-4.263,-4.263,-4.263,-4.263,-4.263,-4.263,-4.263,-4.263,-4.263,-0.45799999999999996,-4.263,-2.492,-4.263,-4.263,-1.663,1.663,-0.45799999999999996,-4.263,-4.263,-1.15,-1.15,-4.263,-1.15,-4.263,-4.263,-1.15,-4.263,-4.263,-4.263,-4.263,-4.263,-1.15,-4.263,-1.15,-4.263,-4.263,-4.263,-1.663,-4.263,-1.15,-1.15,-4.263,-0.45799999999999996,-4.263,-4.263,-0.45799999999999996,-4.263,3.012,-4.263,-4.263,-4.263,-4.263,1.746,-4.263,-1.663,-4.263,-4.263,2.492,-1.663,3.012,-4.263,-4.263,-1.663,-4.263,3.012,-4.263,-4.263,-1.663,-4.263,-1.663,-4.263,-4.263,-4.263,-4.263,-4.263,-0.45799999999999996,-4.263,-4.263,-1.15,-4.263,-1.663,2.492,-4.263,-1.15,-4.263,-0.45799999999999996,-4.263,-1.15,-4.263,-0.45799999999999996,-0.45799999999999996
9,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.514,-1.514,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-0.35200000000000004,-0.35200000000000004,-1.6680000000000001,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-0.35200000000000004,-1.7280000000000002,6.382000000000001,-0.35200000000000004,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-4.0489999999999995,-0.35200000000000004,-1.7280000000000002,-1.7280000000000002,-0.35200000000000004,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,4.0489999999999995,-5.351,-0.35200000000000004,-1.7280000000000002,-1.514,-1.7280000000000002,-1.7280000000000002,6.382000000000001,-0.35200000000000004,-1.7280000000000002,-1.7280000000000002,-1.514,-0.35200000000000004,-6.382000000000001,-1.7280000000000002,-1.514,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.514,-0.35200000000000004,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.514,-0.35200000000000004,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-0.35200000000000004,-1.7280000000000002,-5.351,-1.7280000000000002,-1.7280000000000002,-4.0489999999999995,4.0489999999999995,-0.35200000000000004,-1.7280000000000002,-1.7280000000000002,-1.514,-1.514,-1.7280000000000002,-1.514,-1.7280000000000002,-1.7280000000000002,-1.514,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.514,-1.7280000000000002,-1.514,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-4.0489999999999995,-1.7280000000000002,-1.514,-1.514,-1.7280000000000002,-0.35200000000000004,-1.7280000000000002,-1.7280000000000002,-0.35200000000000004,-1.7280000000000002,6.382000000000001,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,3.583,-1.7280000000000002,-4.0489999999999995,-1.7280000000000002,-1.7280000000000002,5.351,-4.0489999999999995,6.382000000000001,-1.7280000000000002,-1.7280000000000002,-4.0489999999999995,-1.7280000000000002,6.382000000000001,-1.7280000000000002,-1.7280000000000002,-4.0489999999999995,-1.7280000000000002,-4.0489999999999995,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-1.7280000000000002,-0.35200000000000004,-1.7280000000000002,-1.7280000000000002,-1.514,-1.7280000000000002,-4.0489999999999995,5.351,-1.7280000000000002,-1.514,-1.7280000000000002,-0.35200000000000004,-1.7280000000000002,-1.514,-1.7280000000000002,-0.35200000000000004,-0.35200000000000004
10,-1.319,-1.319,-1.319,-1.319,-3.505,-3.505,-1.319,-1.319,-1.319,4.93,4.93,-0.293,-1.319,-1.319,-1.319,-1.319,-1.319,-1.319,4.93,-1.319,2.576,4.93,-1.319,-1.319,-1.319,-2.8360000000000003,4.93,-1.319,-1.319,4.93,-1.319,-1.319,-1.319,-1.319,2.8360000000000003,-8.17,4.93,-1.319,-3.505,-1.319,-1.319,2.576,4.93,-1.319,-1.319,-3.505,4.93,-2.576,-1.319,-3.505,-1.319,-1.319,-1.319,-1.319,-3.505,4.93,-1.319,-1.319,-1.319,-3.505,4.93,-1.319,-1.319,-1.319,-1.319,-1.319,-1.319,-1.319,-1.319,-1.319,-1.319,-1.319,-1.319,-1.319,4.93,-1.319,-8.17,-1.319,-1.319,-2.8360000000000003,2.8360000000000003,4.93,-1.319,-1.319,-3.505,-3.505,-1.319,-3.505,-1.319,-1.319,-3.505,-1.319,-1.319,-1.319,-1.319,-1.319,-3.505,-1.319,-3.505,-1.319,-1.319,-1.319,-2.8360000000000003,-1.319,-3.505,-3.505,-1.319,4.93,-1.319,-1.319,4.93,-1.319,2.576,-1.319,-1.319,-1.319,-1.319,-0.551,-1.319,-2.8360000000000003,-1.319,-1.319,8.17,-2.8360000000000003,2.576,-1.319,-1.319,-2.8360000000000003,-1.319,2.576,-1.319,-1.319,-2.8360000000000003,-1.319,-2.8360000000000003,-1.319,-1.319,-1.319,-1.319,-1.319,4.93,-1.319,-1.319,-3.505,-1.319,-2.8360000000000003,8.17,-1.319,-3.505,-1.319,4.93,-1.319,-3.505,-1.319,4.93,4.93
