,T_AKAP9,T_AKT3,T_ALDH2,T_APC,T_ARID1A,T_ATM,T_ATP2B3,T_AXIN2,T_BCL9L,T_BCR,T_BIRC3,T_BIRC6,T_BLM,T_BRAF,T_CDH1,T_CDH10,T_CDKN2A,T_CLTCL1,T_CNOT3,T_CREB3L2,T_CREBBP,T_CRNKL1,T_CSMD3,T_CTNNA2,T_CTNND1,T_CTNND2,T_CYP2C8,T_DAXX,T_DNM2,T_EIF3E,T_EP300,T_EZH2,T_EZR,T_FAM131B,T_FAT3,T_FBXW7,T_FES,T_FKBP9,T_HEY1,T_HLA-A,T_HOOK3,T_HOXA13,T_HOXA9,T_IL21R,T_KAT6B,T_KIF5B,T_KLF6,T_KMT2A,T_KMT2C,T_KRAS,T_LARP4B,T_LEF1,T_LMNA,T_LRIG3,T_LRP1B,T_MACC1,T_MAML2,T_MAP3K1,T_MLH1,T_MSH6,T_NAB2,T_NBEA,T_NCOA2,T_NCOR2,T_NF1,T_NKX2-1,T_NOTCH2,T_NTRK1,T_NTRK3,T_PALB2,T_PAX3,T_PBX1,T_PDE4DIP,T_PHOX2B,T_PIK3CA,T_PREX2,T_PRPF40B,T_PTK6,T_PTPRB,T_PTPRC,T_PWWP2A,T_RALGDS,T_RANBP2,T_RECQL4,T_RNF213,T_RNF43,T_RPL5,T_RSPO2,T_RUNX1T1,T_SETDB1,T_SLC45A3,T_SMAD4,T_STIL,T_TBX3,T_TEC,T_TNC,T_TP53,T_TPR,T_TRIP11,T_USP6,T_ZBTB16,T_ZFHX3,T_ZMYM2,T_ZNF384
1,-0.063,-0.243,0.063,0.493,-0.514,-0.614,0.18,-0.45399999999999996,5.577999999999999,-0.45399999999999996,-0.45399999999999996,5.577999999999999,0.18,-0.4,5.577999999999999,-0.9740000000000001,0.21100000000000002,-0.45399999999999996,0.18,0.071,-0.873,0.493,-0.113,-0.45399999999999996,0.18,-0.243,-0.243,0.063,0.063,-0.45399999999999996,-0.4,5.577999999999999,-0.243,1.416,-0.45399999999999996,1.416,0.063,-0.243,1.416,-0.243,-0.243,5.577999999999999,-0.45399999999999996,5.577999999999999,-0.45399999999999996,1.416,-0.243,1.416,-0.113,0.273,5.577999999999999,0.493,-0.45399999999999996,0.18,-0.873,0.18,-0.873,-0.884,-0.45399999999999996,0.493,-0.45399999999999996,0.493,0.493,0.493,-0.45399999999999996,-0.873,0.18,0.063,0.493,-0.45399999999999996,0.18,-0.45399999999999996,0.28800000000000003,5.577999999999999,-0.243,-0.8170000000000001,5.577999999999999,-0.243,0.493,5.577999999999999,0.063,-0.243,0.40299999999999997,-0.302,0.063,0.764,-0.243,-0.873,-0.873,0.063,-0.4,0.201,0.063,-0.45399999999999996,5.577999999999999,-0.45399999999999996,0.491,-0.243,5.577999999999999,-0.4,-0.873,-0.259,-0.45399999999999996,0.063
2,0.6990000000000001,0.29100000000000004,-0.6990000000000001,-2.3,2.628,-0.746,0.40700000000000003,2.908,-3.283,2.908,2.908,-3.283,0.40700000000000003,-0.32299999999999995,-3.283,-0.536,-1.501,2.908,0.40700000000000003,-1.994,-0.37799999999999995,-2.3,1.2,2.908,0.40700000000000003,0.29100000000000004,0.29100000000000004,-0.6990000000000001,-0.6990000000000001,2.908,-0.32299999999999995,-3.283,0.29100000000000004,-0.848,2.908,-0.848,-0.6990000000000001,0.29100000000000004,-0.848,0.29100000000000004,0.29100000000000004,-3.283,2.908,-3.283,2.908,-0.848,0.29100000000000004,-0.848,1.2,0.439,-3.283,-2.3,2.908,0.40700000000000003,-0.37799999999999995,0.40700000000000003,-0.37799999999999995,0.309,2.908,-2.3,2.908,-2.3,-2.3,-2.3,2.908,-0.37799999999999995,0.40700000000000003,-0.6990000000000001,-2.3,2.908,0.40700000000000003,2.908,1.9280000000000002,-3.283,0.29100000000000004,-0.09300000000000001,-3.283,0.29100000000000004,-2.3,-3.283,-0.6990000000000001,0.29100000000000004,-0.9390000000000001,0.508,-0.6990000000000001,-0.8959999999999999,0.29100000000000004,-0.37799999999999995,-0.37799999999999995,-0.6990000000000001,-0.32299999999999995,-0.616,-0.6990000000000001,2.908,-3.283,2.908,0.79,0.29100000000000004,-3.283,-0.32299999999999995,-0.37799999999999995,-0.7040000000000001,2.908,-0.6990000000000001
3,-1.0659999999999998,-2.046,1.0659999999999998,-4.452,3.5639999999999996,-0.11599999999999999,0.934,6.309,1.196,6.309,6.309,1.196,0.934,-1.113,1.196,-1.7009999999999998,-4.98,6.309,0.934,-4.334,-1.0859999999999999,-4.452,2.333,6.309,0.934,-2.046,-2.046,1.0659999999999998,1.0659999999999998,6.309,-1.113,1.196,-2.046,0.7290000000000001,6.309,0.7290000000000001,1.0659999999999998,-2.046,0.7290000000000001,-2.046,-2.046,1.196,6.309,1.196,6.309,0.7290000000000001,-2.046,0.7290000000000001,2.333,2.4219999999999997,1.196,-4.452,6.309,0.934,-1.0859999999999999,0.934,-1.0859999999999999,1.374,6.309,-4.452,6.309,-4.452,-4.452,-4.452,6.309,-1.0859999999999999,0.934,1.0659999999999998,-4.452,6.309,0.934,6.309,5.462999999999999,1.196,-2.046,-2.191,1.196,-2.046,-4.452,1.196,1.0659999999999998,-2.046,-0.268,1.936,1.0659999999999998,-0.28800000000000003,-2.046,-1.0859999999999999,-1.0859999999999999,1.0659999999999998,-1.113,-1.341,1.0659999999999998,6.309,1.196,6.309,1.347,-2.046,1.196,-1.113,-1.0859999999999999,-0.136,6.309,1.0659999999999998
4,0.87,1.939,-0.87,-1.189,3.582,-0.478,-1.0290000000000001,2.853,2.307,2.853,2.853,2.307,-1.0290000000000001,-0.322,2.307,-0.153,0.354,2.853,-1.0290000000000001,-1.156,0.121,-1.189,1.876,2.853,-1.0290000000000001,1.939,1.939,-0.87,-0.87,2.853,-0.322,2.307,1.939,-0.539,2.853,-0.539,-0.87,1.939,-0.539,1.939,1.939,2.307,2.853,2.307,2.853,-0.539,1.939,-0.539,1.876,1.838,2.307,-1.189,2.853,-1.0290000000000001,0.121,-1.0290000000000001,0.121,1.161,2.853,-1.189,2.853,-1.189,-1.189,-1.189,2.853,0.121,-1.0290000000000001,-0.87,-1.189,2.853,-1.0290000000000001,2.853,1.301,2.307,1.939,1.35,2.307,1.939,-1.189,2.307,-0.87,1.939,-0.318,0.997,-0.87,-0.659,1.939,0.121,0.121,-0.87,-0.322,0.785,-0.87,2.853,2.307,2.853,1.7269999999999999,1.939,2.307,-0.322,0.121,-0.815,2.853,-0.87
5,-1.253,-2.968,1.253,0.324,-1.3230000000000002,1.15,1.578,0.142,-5.642,0.142,0.142,-5.642,1.578,0.184,-5.642,0.47100000000000003,-1.621,0.142,1.578,0.38799999999999996,0.43200000000000005,0.324,0.35200000000000004,0.142,1.578,-2.968,-2.968,1.253,1.253,0.142,0.184,-5.642,-2.968,-0.359,0.142,-0.359,1.253,-2.968,-0.359,-2.968,-2.968,-5.642,0.142,-5.642,0.142,-0.359,-2.968,-0.359,0.35200000000000004,0.461,-5.642,0.324,0.142,1.578,0.43200000000000005,1.578,0.43200000000000005,1.4369999999999998,0.142,0.324,0.142,0.324,0.324,0.324,0.142,0.43200000000000005,1.578,1.253,0.324,0.142,1.578,0.142,0.8170000000000001,-5.642,-2.968,-1.535,-5.642,-2.968,0.324,-5.642,1.253,-2.968,0.055,1.063,1.253,-0.134,-2.968,0.43200000000000005,0.43200000000000005,1.253,0.184,-1.527,1.253,0.142,-5.642,0.142,-0.461,-2.968,-5.642,0.184,0.43200000000000005,0.96,0.142,1.253
6,1.535,0.008,-1.535,-1.3159999999999998,0.509,-1.48,1.526,0.588,-1.916,0.588,0.588,-1.916,1.526,-2.29,-1.916,-2.234,-0.981,0.588,1.526,-2.8339999999999996,-0.618,-1.3159999999999998,-0.29100000000000004,0.588,1.526,0.008,0.008,-1.535,-1.535,0.588,-2.29,-1.916,0.008,1.5719999999999998,0.588,1.5719999999999998,-1.535,0.008,1.5719999999999998,0.008,0.008,-1.916,0.588,-1.916,0.588,1.5719999999999998,0.008,1.5719999999999998,-0.29100000000000004,0.37200000000000005,-1.916,-1.3159999999999998,0.588,1.526,-0.618,1.526,-0.618,-3.115,0.588,-1.3159999999999998,0.588,-1.3159999999999998,-1.3159999999999998,-1.3159999999999998,0.588,-0.618,1.526,-1.535,-1.3159999999999998,0.588,1.526,0.588,0.89,-1.916,0.008,-0.46,-1.916,0.008,-1.3159999999999998,-1.916,-1.535,0.008,0.711,-2.425,-1.535,-0.506,0.008,-0.618,-0.618,-1.535,-2.29,0.595,-1.535,0.588,-1.916,0.588,0.13699999999999998,0.008,-1.916,-2.29,-0.618,-2.806,0.588,-1.535
7,0.821,4.1610000000000005,-0.821,-0.8240000000000001,1.077,0.33899999999999997,-3.089,-0.973,4.813,-0.973,-0.973,4.813,-3.089,3.073,4.813,3.332,1.865,-0.973,-3.089,1.599,1.1740000000000002,-0.8240000000000001,-1.5030000000000001,-0.973,-3.089,4.1610000000000005,4.1610000000000005,-0.821,-0.821,-0.973,3.073,4.813,4.1610000000000005,-1.421,-0.973,-1.421,-0.821,4.1610000000000005,-1.421,4.1610000000000005,4.1610000000000005,4.813,-0.973,4.813,-0.973,-1.421,4.1610000000000005,-1.421,-1.5030000000000001,-1.9409999999999998,4.813,-0.8240000000000001,-0.973,-3.089,1.1740000000000002,-3.089,1.1740000000000002,0.695,-0.973,-0.8240000000000001,-0.973,-0.8240000000000001,-0.8240000000000001,-0.8240000000000001,-0.973,1.1740000000000002,-3.089,-0.821,-0.8240000000000001,-0.973,-3.089,-0.973,-1.466,4.813,4.1610000000000005,3.6260000000000003,4.813,4.1610000000000005,-0.8240000000000001,4.813,-0.821,4.1610000000000005,-0.182,-0.042,-0.821,1.137,4.1610000000000005,1.1740000000000002,1.1740000000000002,-0.821,3.073,1.9580000000000002,-0.821,-0.973,4.813,-0.973,-0.028999999999999998,4.1610000000000005,4.813,3.073,1.1740000000000002,1.662,-0.973,-0.821
8,-0.024,2.7460000000000004,0.024,-1.4880000000000002,1.202,0.726,-2.7739999999999996,-0.16699999999999998,-7.257999999999999,-0.16699999999999998,-0.16699999999999998,-7.257999999999999,-2.7739999999999996,3.839,-7.257999999999999,3.701,0.61,-0.16699999999999998,-2.7739999999999996,1.561,0.945,-1.4880000000000002,-1.141,-0.16699999999999998,-2.7739999999999996,2.7460000000000004,2.7460000000000004,0.024,0.024,-0.16699999999999998,3.839,-7.257999999999999,2.7460000000000004,-2.025,-0.16699999999999998,-2.025,0.024,2.7460000000000004,-2.025,2.7460000000000004,2.7460000000000004,-7.257999999999999,-0.16699999999999998,-7.257999999999999,-0.16699999999999998,-2.025,2.7460000000000004,-2.025,-1.141,-2.16,-7.257999999999999,-1.4880000000000002,-0.16699999999999998,-2.7739999999999996,0.945,-2.7739999999999996,0.945,1.771,-0.16699999999999998,-1.4880000000000002,-0.16699999999999998,-1.4880000000000002,-1.4880000000000002,-1.4880000000000002,-0.16699999999999998,0.945,-2.7739999999999996,0.024,-1.4880000000000002,-0.16699999999999998,-2.7739999999999996,-0.16699999999999998,-0.606,-7.257999999999999,2.7460000000000004,2.533,-7.257999999999999,2.7460000000000004,-1.4880000000000002,-7.257999999999999,0.024,2.7460000000000004,-0.787,1.055,0.024,1.162,2.7460000000000004,0.945,0.945,0.024,3.839,0.795,0.024,-0.16699999999999998,-7.257999999999999,-0.16699999999999998,-0.141,2.7460000000000004,-7.257999999999999,3.839,0.945,2.78,-0.16699999999999998,0.024
9,2.388,3.045,-2.388,-1.5019999999999998,2.8819999999999997,-2.314,-0.561,1.4869999999999999,4.547,1.4869999999999999,1.4869999999999999,4.547,-0.561,3.2119999999999997,4.547,1.581,0.7659999999999999,1.4869999999999999,-0.561,1.165,-0.961,-1.5019999999999998,0.44,1.4869999999999999,-0.561,3.045,3.045,-2.388,-2.388,1.4869999999999999,3.2119999999999997,4.547,3.045,-1.735,1.4869999999999999,-1.735,-2.388,3.045,-1.735,3.045,3.045,4.547,1.4869999999999999,4.547,1.4869999999999999,-1.735,3.045,-1.735,0.44,-1.545,4.547,-1.5019999999999998,1.4869999999999999,-0.561,-0.961,-0.561,-0.961,0.44299999999999995,1.4869999999999999,-1.5019999999999998,1.4869999999999999,-1.5019999999999998,-1.5019999999999998,-1.5019999999999998,1.4869999999999999,-0.961,-0.561,-2.388,-1.5019999999999998,1.4869999999999999,-0.561,1.4869999999999999,1.767,4.547,3.045,1.168,4.547,3.045,-1.5019999999999998,4.547,-2.388,3.045,-2.0909999999999997,0.976,-2.388,0.993,3.045,-0.961,-0.961,-2.388,3.2119999999999997,-0.10300000000000001,-2.388,1.4869999999999999,4.547,1.4869999999999999,2.642,3.045,4.547,3.2119999999999997,-0.961,0.747,1.4869999999999999,-2.388
10,3.384,0.784,-3.384,-1.419,-1.361,-1.178,2.447,-2.094,7.537999999999999,-2.094,-2.094,7.537999999999999,2.447,2.069,7.537999999999999,2.549,-0.541,-2.094,2.447,0.46399999999999997,1.192,-1.419,-3.09,-2.094,2.447,0.784,0.784,-3.384,-3.384,-2.094,2.069,7.537999999999999,0.784,2.079,-2.094,2.079,-3.384,0.784,2.079,0.784,0.784,7.537999999999999,-2.094,7.537999999999999,-2.094,2.079,0.784,2.079,-3.09,-0.902,7.537999999999999,-1.419,-2.094,2.447,1.192,2.447,1.192,-2.609,-2.094,-1.419,-2.094,-1.419,-1.419,-1.419,-2.094,1.192,2.447,-3.384,-1.419,-2.094,2.447,-2.094,1.8630000000000002,7.537999999999999,0.784,1.423,7.537999999999999,0.784,-1.419,7.537999999999999,-3.384,0.784,2.557,-3.21,-3.384,3.315,0.784,1.192,1.192,-3.384,2.069,2.5839999999999996,-3.384,-2.094,7.537999999999999,-2.094,1.5390000000000001,0.784,7.537999999999999,2.069,1.192,-0.545,-2.094,-3.384
