,T_ABL1,T_AKAP9,T_ALK,T_APC,T_ARHGEF12,T_ARID1A,T_ARID2,T_ATP1A1,T_ATP2B3,T_ATR,T_ATRX,T_BARD1,T_BAZ1A,T_BCL11B,T_BCR,T_BIRC6,T_BMP5,T_BRAF,T_BRCA1,T_BRCA2,T_BRD3,T_BRD4,T_CACNA1D,T_CARD11,T_CASP8,T_CCND1,T_CDH17,T_CDKN2A,T_CHD2,T_CHD4,T_CIC,T_CNBD1,T_CNTNAP2,T_COL1A1,T_CREB3L1,T_CREB3L2,T_CREBBP,T_CRNKL1,T_CSF1R,T_CSMD3,T_CTNND1,T_CYLD,T_DCC,T_DICER1,T_EPHA3,T_EPHA7,T_ERBB4,T_ERC1,T_EZR,T_FANCC,T_FAT3,T_FAT4,T_FLI1,T_FLT3,T_FNBP1,T_FOXP1,T_FOXR1,T_HSP90AA1,T_IGF2BP2,T_IL21R,T_ISX,T_JAK3,T_KAT6B,T_KDM5A,T_KDR,T_KMT2C,T_KMT2D,T_LATS1,T_LIFR,T_LRP1B,T_LZTR1,T_MAML2,T_MAP3K1,T_MECOM,T_MGMT,T_MPL,T_MSH2,T_MTCP1,T_MUC16,T_MYH11,T_NACA,T_NCOR1,T_NF1,T_NIN,T_NOTCH2,T_NRAS,T_NTRK1,T_NUMA1,T_NUTM2B,T_PDE4DIP,T_PDGFRB,T_PIK3CB,T_PML,T_POLE,T_POLQ,T_POT1,T_PREX2,T_PRRX1,T_PTCH1,T_PTEN,T_PTPRC,T_PTPRK,T_PTPRT,T_RANBP2,T_RECQL4,T_RGPD3,T_RGS7,T_RHOH,T_RNF43,T_ROS1,T_RPL22,T_RPL5,T_SALL4,T_SDHA,T_SEPT6,T_SETBP1,T_SETD2,T_SMARCA4,T_SMARCB1,T_SND1,T_SPEN,T_STAG1,T_TAF15,T_TAL1,T_TET1,T_TET2,T_TNC,T_TP53,T_TP63,T_TRIM24,T_TRIM27,T_TRIP11,T_TRRAP,T_TSC2,T_UBR5,T_USP6,T_WRN,T_XPA,T_ZBTB16,T_ZEB1,T_ZFHX3,T_ZMYM2
1,3.5610000000000004,1.038,-2.528,-2.662,1.645,0.8009999999999999,0.8009999999999999,-2.528,0.8009999999999999,1.645,-2.528,3.5610000000000004,-2.832,-0.145,1.645,-1.1340000000000001,-2.662,4.112,-0.659,3.5610000000000004,1.645,-2.528,0.8009999999999999,2.8539999999999996,-2.528,0.8009999999999999,-0.659,3.5610000000000004,-2.528,0.8009999999999999,-2.528,3.5610000000000004,-0.659,1.645,0.8009999999999999,1.6869999999999998,-2.528,3.5610000000000004,0.8009999999999999,0.8009999999999999,0.8009999999999999,1.645,0.8009999999999999,3.5610000000000004,2.8539999999999996,-0.145,-0.34700000000000003,1.645,-2.528,-2.528,3.5610000000000004,3.5610000000000004,0.8009999999999999,1.645,-2.662,0.8009999999999999,-2.528,-2.528,-2.528,1.645,0.8009999999999999,-0.145,3.5610000000000004,1.645,3.5610000000000004,-2.528,3.065,0.8009999999999999,1.645,3.722,-0.659,-0.145,1.645,-2.528,0.8009999999999999,-2.528,-2.528,-0.659,0.6679999999999999,1.645,-2.3,0.8009999999999999,0.8009999999999999,-2.662,-2.528,-2.528,3.065,-2.662,-2.528,2.381,0.8009999999999999,1.645,-2.662,-1.499,-2.528,-2.662,1.645,-0.659,-2.528,-0.659,0.8009999999999999,-2.528,-2.662,-2.662,2.474,0.8009999999999999,0.8009999999999999,1.645,3.5610000000000004,-0.659,-2.528,3.5610000000000004,-2.528,0.8009999999999999,1.645,-2.528,-1.1340000000000001,-2.662,-0.145,-0.659,1.645,-2.528,1.645,-0.145,-2.528,-2.662,0.8009999999999999,-0.34700000000000003,0.8009999999999999,1.645,0.8009999999999999,2.8539999999999996,2.3,0.8009999999999999,-2.528,0.8009999999999999,3.5610000000000004,1.645,1.645,0.8009999999999999,-2.528,-2.528
2,-1.274,-3.043,1.314,6.25,2.489,-2.517,-2.517,1.314,-2.517,2.489,1.314,-1.274,2.659,-1.6640000000000001,2.489,-0.768,6.25,-0.6759999999999999,1.6230000000000002,-1.274,2.489,1.314,-2.517,0.34,1.314,-2.517,1.6230000000000002,-1.274,1.314,-2.517,1.314,-1.274,1.6230000000000002,2.489,-2.517,0.743,1.314,-1.274,-2.517,-2.517,-2.517,2.489,-2.517,-1.274,0.34,-1.6640000000000001,2.821,2.489,1.314,1.314,-1.274,-1.274,-2.517,2.489,6.25,-2.517,1.314,1.314,1.314,2.489,-2.517,-1.6640000000000001,-1.274,2.489,-1.274,1.314,-2.75,-2.517,2.489,0.963,1.6230000000000002,-1.6640000000000001,2.489,1.314,-2.517,1.314,1.314,1.6230000000000002,-0.5329999999999999,2.489,-0.285,-2.517,-2.517,6.25,1.314,1.314,-2.75,6.25,1.314,0.247,-2.517,2.489,6.25,0.32899999999999996,1.314,6.25,2.489,1.6230000000000002,1.314,1.6230000000000002,-2.517,1.314,6.25,6.25,-0.8859999999999999,-2.517,-2.517,2.489,-1.274,1.6230000000000002,1.314,-1.274,1.314,-2.517,2.489,1.314,-0.768,6.25,-1.6640000000000001,1.6230000000000002,2.489,1.314,2.489,-1.6640000000000001,1.314,6.25,-2.517,2.821,-2.517,2.489,-2.517,0.34,0.285,-2.517,1.314,-2.517,-1.274,2.489,2.489,-2.517,1.314,1.314
3,-3.0039999999999996,1.107,0.7609999999999999,-6.0729999999999995,-0.537,1.886,1.886,0.7609999999999999,1.886,-0.537,0.7609999999999999,-3.0039999999999996,0.9009999999999999,1.787,-0.537,1.8869999999999998,-6.0729999999999995,0.317,0.276,-3.0039999999999996,-0.537,0.7609999999999999,1.886,1.222,0.7609999999999999,1.886,0.276,-3.0039999999999996,0.7609999999999999,1.886,0.7609999999999999,-3.0039999999999996,0.276,-0.537,1.886,-0.588,0.7609999999999999,-3.0039999999999996,1.886,1.886,1.886,-0.537,1.886,-3.0039999999999996,1.222,1.787,0.09,-0.537,0.7609999999999999,0.7609999999999999,-3.0039999999999996,-3.0039999999999996,1.886,-0.537,-6.0729999999999995,1.886,0.7609999999999999,0.7609999999999999,0.7609999999999999,-0.537,1.886,1.787,-3.0039999999999996,-0.537,-3.0039999999999996,0.7609999999999999,-0.669,1.886,-0.537,-2.332,0.276,1.787,-0.537,0.7609999999999999,1.886,0.7609999999999999,0.7609999999999999,0.276,0.063,-0.537,2.263,1.886,1.886,-6.0729999999999995,0.7609999999999999,0.7609999999999999,-0.669,-6.0729999999999995,0.7609999999999999,-0.528,1.886,-0.537,-6.0729999999999995,1.9380000000000002,0.7609999999999999,-6.0729999999999995,-0.537,0.276,0.7609999999999999,0.276,1.886,0.7609999999999999,-6.0729999999999995,-6.0729999999999995,0.659,1.886,1.886,-0.537,-3.0039999999999996,0.276,0.7609999999999999,-3.0039999999999996,0.7609999999999999,1.886,-0.537,0.7609999999999999,1.8869999999999998,-6.0729999999999995,1.787,0.276,-0.537,0.7609999999999999,-0.537,1.787,0.7609999999999999,-6.0729999999999995,1.886,0.09,1.886,-0.537,1.886,1.222,-2.263,1.886,0.7609999999999999,1.886,-3.0039999999999996,-0.537,-0.537,1.886,0.7609999999999999,0.7609999999999999
4,3.7,1.944,-0.198,-5.6739999999999995,0.866,1.1340000000000001,1.1340000000000001,-0.198,1.1340000000000001,0.866,-0.198,3.7,-1.531,-1.588,0.866,0.655,-5.6739999999999995,1.679,-1.568,3.7,0.866,-0.198,1.1340000000000001,2.213,-0.198,1.1340000000000001,-1.568,3.7,-0.198,1.1340000000000001,-0.198,3.7,-1.568,0.866,1.1340000000000001,1.699,-0.198,3.7,1.1340000000000001,1.1340000000000001,1.1340000000000001,0.866,1.1340000000000001,3.7,2.213,-1.588,0.522,0.866,-0.198,-0.198,3.7,3.7,1.1340000000000001,0.866,-5.6739999999999995,1.1340000000000001,-0.198,-0.198,-0.198,0.866,1.1340000000000001,-1.588,3.7,0.866,3.7,-0.198,3.4619999999999997,1.1340000000000001,0.866,3.0439999999999996,-1.568,-1.588,0.866,-0.198,1.1340000000000001,-0.198,-0.198,-1.568,1.959,0.866,-1.5490000000000002,1.1340000000000001,1.1340000000000001,-5.6739999999999995,-0.198,-0.198,3.4619999999999997,-5.6739999999999995,-0.198,3.877,1.1340000000000001,0.866,-5.6739999999999995,-0.39899999999999997,-0.198,-5.6739999999999995,0.866,-1.568,-0.198,-1.568,1.1340000000000001,-0.198,-5.6739999999999995,-5.6739999999999995,2.766,1.1340000000000001,1.1340000000000001,0.866,3.7,-1.568,-0.198,3.7,-0.198,1.1340000000000001,0.866,-0.198,0.655,-5.6739999999999995,-1.588,-1.568,0.866,-0.198,0.866,-1.588,-0.198,-5.6739999999999995,1.1340000000000001,0.522,1.1340000000000001,0.866,1.1340000000000001,2.213,1.5490000000000002,1.1340000000000001,-0.198,1.1340000000000001,3.7,0.866,0.866,1.1340000000000001,-0.198,-0.198
5,-0.024,0.401,-1.5219999999999998,-6.2170000000000005,0.9309999999999999,1.382,1.382,-1.5219999999999998,1.382,0.9309999999999999,-1.5219999999999998,-0.024,-0.607,0.726,0.9309999999999999,-0.09300000000000001,-6.2170000000000005,3.005,0.794,-0.024,0.9309999999999999,-1.5219999999999998,1.382,2.5789999999999997,-1.5219999999999998,1.382,0.794,-0.024,-1.5219999999999998,1.382,-1.5219999999999998,-0.024,0.794,0.9309999999999999,1.382,0.18100000000000002,-1.5219999999999998,-0.024,1.382,1.382,1.382,0.9309999999999999,1.382,-0.024,2.5789999999999997,0.726,-0.276,0.9309999999999999,-1.5219999999999998,-1.5219999999999998,-0.024,-0.024,1.382,0.9309999999999999,-6.2170000000000005,1.382,-1.5219999999999998,-1.5219999999999998,-1.5219999999999998,0.9309999999999999,1.382,0.726,-0.024,0.9309999999999999,-0.024,-1.5219999999999998,0.951,1.382,0.9309999999999999,0.6859999999999999,0.794,0.726,0.9309999999999999,-1.5219999999999998,1.382,-1.5219999999999998,-1.5219999999999998,0.794,0.449,0.9309999999999999,-0.6659999999999999,1.382,1.382,-6.2170000000000005,-1.5219999999999998,-1.5219999999999998,0.951,-6.2170000000000005,-1.5219999999999998,0.598,1.382,0.9309999999999999,-6.2170000000000005,0.431,-1.5219999999999998,-6.2170000000000005,0.9309999999999999,0.794,-1.5219999999999998,0.794,1.382,-1.5219999999999998,-6.2170000000000005,-6.2170000000000005,1.171,1.382,1.382,0.9309999999999999,-0.024,0.794,-1.5219999999999998,-0.024,-1.5219999999999998,1.382,0.9309999999999999,-1.5219999999999998,-0.09300000000000001,-6.2170000000000005,0.726,0.794,0.9309999999999999,-1.5219999999999998,0.9309999999999999,0.726,-1.5219999999999998,-6.2170000000000005,1.382,-0.276,1.382,0.9309999999999999,1.382,2.5789999999999997,0.6659999999999999,1.382,-1.5219999999999998,1.382,-0.024,0.9309999999999999,0.9309999999999999,1.382,-1.5219999999999998,-1.5219999999999998
6,-0.047,0.22,-0.512,-5.513,-0.03,0.22399999999999998,0.22399999999999998,-0.512,0.22399999999999998,-0.03,-0.512,-0.047,-0.519,0.647,-0.03,-0.203,-5.513,0.49700000000000005,-0.087,-0.047,-0.03,-0.512,0.22399999999999998,0.19,-0.512,0.22399999999999998,-0.087,-0.047,-0.512,0.22399999999999998,-0.512,-0.047,-0.087,-0.03,0.22399999999999998,0.034,-0.512,-0.047,0.22399999999999998,0.22399999999999998,0.22399999999999998,-0.03,0.22399999999999998,-0.047,0.19,0.647,-0.35700000000000004,-0.03,-0.512,-0.512,-0.047,-0.047,0.22399999999999998,-0.03,-5.513,0.22399999999999998,-0.512,-0.512,-0.512,-0.03,0.22399999999999998,0.647,-0.047,-0.03,-0.047,-0.512,0.125,0.22399999999999998,-0.03,-0.053,-0.087,0.647,-0.03,-0.512,0.22399999999999998,-0.512,-0.512,-0.087,-0.298,-0.03,0.11599999999999999,0.22399999999999998,0.22399999999999998,-5.513,-0.512,-0.512,0.125,-5.513,-0.512,-0.24100000000000002,0.22399999999999998,-0.03,-5.513,-0.245,-0.512,-5.513,-0.03,-0.087,-0.512,-0.087,0.22399999999999998,-0.512,-5.513,-5.513,0.196,0.22399999999999998,0.22399999999999998,-0.03,-0.047,-0.087,-0.512,-0.047,-0.512,0.22399999999999998,-0.03,-0.512,-0.203,-5.513,0.647,-0.087,-0.03,-0.512,-0.03,0.647,-0.512,-5.513,0.22399999999999998,-0.35700000000000004,0.22399999999999998,-0.03,0.22399999999999998,0.19,-0.11599999999999999,0.22399999999999998,-0.512,0.22399999999999998,-0.047,-0.03,-0.03,0.22399999999999998,-0.512,-0.512
7,0.9540000000000001,0.868,0.005,-2.557,0.078,1.147,1.147,0.005,1.147,0.078,0.005,0.9540000000000001,-0.07,-0.871,0.078,0.809,-2.557,0.867,-0.086,0.9540000000000001,0.078,0.005,1.147,1.2409999999999999,0.005,1.147,-0.086,0.9540000000000001,0.005,1.147,0.005,0.9540000000000001,-0.086,0.078,1.147,0.11599999999999999,0.005,0.9540000000000001,1.147,1.147,1.147,0.078,1.147,0.9540000000000001,1.2409999999999999,-0.871,0.063,0.078,0.005,0.005,0.9540000000000001,0.9540000000000001,1.147,0.078,-2.557,1.147,0.005,0.005,0.005,0.078,1.147,-0.871,0.9540000000000001,0.078,0.9540000000000001,0.005,1.501,1.147,0.078,0.6809999999999999,-0.086,-0.871,0.078,0.005,1.147,0.005,0.005,-0.086,1.44,0.078,-0.748,1.147,1.147,-2.557,0.005,0.005,1.501,-2.557,0.005,1.452,1.147,0.078,-2.557,0.691,0.005,-2.557,0.078,-0.086,0.005,-0.086,1.147,0.005,-2.557,-2.557,0.9329999999999999,1.147,1.147,0.078,0.9540000000000001,-0.086,0.005,0.9540000000000001,0.005,1.147,0.078,0.005,0.809,-2.557,-0.871,-0.086,0.078,0.005,0.078,-0.871,0.005,-2.557,1.147,0.063,1.147,0.078,1.147,1.2409999999999999,0.748,1.147,0.005,1.147,0.9540000000000001,0.078,0.078,1.147,0.005,0.005
8,0.48100000000000004,1.087,-0.125,6.699,-0.175,0.98,0.98,-0.125,0.98,-0.175,-0.125,0.48100000000000004,-0.585,0.193,-0.175,0.6,6.699,0.635,-0.55,0.48100000000000004,-0.175,-0.125,0.98,0.774,-0.125,0.98,-0.55,0.48100000000000004,-0.125,0.98,-0.125,0.48100000000000004,-0.55,-0.175,0.98,0.22699999999999998,-0.125,0.48100000000000004,0.98,0.98,0.98,-0.175,0.98,0.48100000000000004,0.774,0.193,-0.214,-0.175,-0.125,-0.125,0.48100000000000004,0.48100000000000004,0.98,-0.175,6.699,0.98,-0.125,-0.125,-0.125,-0.175,0.98,0.193,0.48100000000000004,-0.175,0.48100000000000004,-0.125,1.037,0.98,-0.175,0.182,-0.55,0.193,-0.175,-0.125,0.98,-0.125,-0.125,-0.55,0.552,-0.175,0.059000000000000004,0.98,0.98,6.699,-0.125,-0.125,1.037,6.699,-0.125,0.74,0.98,-0.175,6.699,0.195,-0.125,6.699,-0.175,-0.55,-0.125,-0.55,0.98,-0.125,6.699,6.699,0.94,0.98,0.98,-0.175,0.48100000000000004,-0.55,-0.125,0.48100000000000004,-0.125,0.98,-0.175,-0.125,0.6,6.699,0.193,-0.55,-0.175,-0.125,-0.175,0.193,-0.125,6.699,0.98,-0.214,0.98,-0.175,0.98,0.774,-0.059000000000000004,0.98,-0.125,0.98,0.48100000000000004,-0.175,-0.175,0.98,-0.125,-0.125
9,0.374,-0.138,-0.107,5.252999999999999,1.084,-0.237,-0.237,-0.107,-0.237,1.084,-0.107,0.374,-0.129,-0.225,1.084,-0.243,5.252999999999999,0.7879999999999999,-0.040999999999999995,0.374,1.084,-0.107,-0.237,1.011,-0.107,-0.237,-0.040999999999999995,0.374,-0.107,-0.237,-0.107,0.374,-0.040999999999999995,1.084,-0.237,0.843,-0.107,0.374,-0.237,-0.237,-0.237,1.084,-0.237,0.374,1.011,-0.225,0.7440000000000001,1.084,-0.107,-0.107,0.374,0.374,-0.237,1.084,5.252999999999999,-0.237,-0.107,-0.107,-0.107,1.084,-0.237,-0.225,0.374,1.084,0.374,-0.107,0.09699999999999999,-0.237,1.084,1.0659999999999998,-0.040999999999999995,-0.225,1.084,-0.107,-0.237,-0.107,-0.107,-0.040999999999999995,-0.008,1.084,-0.28800000000000003,-0.237,-0.237,5.252999999999999,-0.107,-0.107,0.09699999999999999,5.252999999999999,-0.107,0.835,-0.237,1.084,5.252999999999999,-0.252,-0.107,5.252999999999999,1.084,-0.040999999999999995,-0.107,-0.040999999999999995,-0.237,-0.107,5.252999999999999,5.252999999999999,0.741,-0.237,-0.237,1.084,0.374,-0.040999999999999995,-0.107,0.374,-0.107,-0.237,1.084,-0.107,-0.243,5.252999999999999,-0.225,-0.040999999999999995,1.084,-0.107,1.084,-0.225,-0.107,5.252999999999999,-0.237,0.7440000000000001,-0.237,1.084,-0.237,1.011,0.28800000000000003,-0.237,-0.107,-0.237,0.374,1.084,1.084,-0.237,-0.107,-0.107
10,1.061,-0.26,0.21899999999999997,-1.4680000000000002,2.497,-0.726,-0.726,0.21899999999999997,-0.726,2.497,0.21899999999999997,1.061,-0.11699999999999999,-0.922,2.497,-0.35600000000000004,-1.4680000000000002,1.2770000000000001,-0.355,1.061,2.497,0.21899999999999997,-0.726,2.081,0.21899999999999997,-0.726,-0.355,1.061,0.21899999999999997,-0.726,0.21899999999999997,1.061,-0.355,2.497,-0.726,2.0980000000000003,0.21899999999999997,1.061,-0.726,-0.726,-0.726,2.497,-0.726,1.061,2.081,-0.922,1.999,2.497,0.21899999999999997,0.21899999999999997,1.061,1.061,-0.726,2.497,-1.4680000000000002,-0.726,0.21899999999999997,0.21899999999999997,0.21899999999999997,2.497,-0.726,-0.922,1.061,2.497,1.061,0.21899999999999997,0.23199999999999998,-0.726,2.497,2.6319999999999997,-0.355,-0.922,2.497,0.21899999999999997,-0.726,0.21899999999999997,0.21899999999999997,-0.355,0.136,2.497,-0.604,-0.726,-0.726,-1.4680000000000002,0.21899999999999997,0.21899999999999997,0.23199999999999998,-1.4680000000000002,0.21899999999999997,2.2430000000000003,-0.726,2.497,-1.4680000000000002,-0.563,0.21899999999999997,-1.4680000000000002,2.497,-0.355,0.21899999999999997,-0.355,-0.726,0.21899999999999997,-1.4680000000000002,-1.4680000000000002,1.71,-0.726,-0.726,2.497,1.061,-0.355,0.21899999999999997,1.061,0.21899999999999997,-0.726,2.497,0.21899999999999997,-0.35600000000000004,-1.4680000000000002,-0.922,-0.355,2.497,0.21899999999999997,2.497,-0.922,0.21899999999999997,-1.4680000000000002,-0.726,1.999,-0.726,2.497,-0.726,2.081,0.604,-0.726,0.21899999999999997,-0.726,1.061,2.497,2.497,-0.726,0.21899999999999997,0.21899999999999997
