"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Homophytanic acid","Homophytanic acid","HMDB0002337","3080668",NA,"CC(C)CCCC(C)CCCC(C)CCCC(C)CCC(=O)O","1"
"Heneicosanoic acid","Heneicosanoic acid","HMDB0002345","16898",NA,"CCCCCCCCCCCCCCCCCCCCC(=O)O","1"
"Acetaminophen glucuronide","Acetaminophen glucuronide","HMDB0010316","83944",NA,"CC(=O)NC1=CC=C(C=C1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O","1"
"Propyl alcohol","Propyl alcohol","HMDB0000820","1031","C05979","CCCO","1"
"Isopropyl alcohol","Isopropyl alcohol","HMDB0000863","3776","C01845","CC(C)O","1"
"Olanzapine","Olanzapine","HMDB0005012","135398745","C07322","CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2","1"
"Acrylamide","Acrylamide","HMDB0004296","6579","C01659","C=CC(=O)N","1"
"PS(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PS(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0012395","52925155",NA,"CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PS(20:3(8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))","PS(20:3(8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0012427","52925722",NA,"CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PS(20:4(5Z,8Z,11Z,14Z)/20:3(8Z,11Z,14Z))","PS(20:4(5Z,8Z,11Z,14Z)/20:3(8Z,11Z,14Z))","HMDB0012437","52925751",NA,"CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(O)OC[C@@H](C(=O)O)N","1"
"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z))","PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z))","HMDB0012445","52925938",NA,"CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OC[C@@H](C(=O)O)N","1"
"PS(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PS(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0010167","24779546","C02737","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PS(20:3(8Z,11Z,14Z)/20:3(8Z,11Z,14Z))","PS(20:3(8Z,11Z,14Z)/20:3(8Z,11Z,14Z))","HMDB0012426","52925721",NA,"CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC","1"
