"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"2-O-a-L-Fucopyranosyl-galactose","2-O-a-L-Fucopyranosyl-galactose","HMDB0006590","9548873",NA,"C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H](C=O)[C@H]([C@H]([C@@H](CO)O)O)O)O)O)O","1"
"3-O-a-L-Fucopyranosyl-D-glucose","3-O-a-L-Fucopyranosyl-D-glucose","HMDB0006701","53477882",NA,"CC1C(C([C@@H]([C@@H](O1)OC([C@H](C=O)O)[C@@H](C(CO)O)O)O)O)O","1"
"PS(18:3(9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PS(18:3(9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0012417","52925534",NA,"CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z))","PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z))","HMDB0012447","52925941",NA,"CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OC[C@@H](C(=O)O)N","1"
"PC(16:0/22:4(7Z,10Z,13Z,16Z))","PC(16:0/22:4(7Z,10Z,13Z,16Z))","HMDB0007988","24778732","C00157","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PC(18:0/20:4(5Z,8Z,11Z,14Z))","PC(18:0/20:4(5Z,8Z,11Z,14Z))","HMDB0008048","16219824","C00157","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PC(18:0/20:4(8Z,11Z,14Z,17Z))","PC(18:0/20:4(8Z,11Z,14Z,17Z))","HMDB0008049","53478701","C00157","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(18:1(11Z)/20:3(5Z,8Z,11Z))","PC(18:1(11Z)/20:3(5Z,8Z,11Z))","HMDB0008079","53478737","C00157","CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(18:1(11Z)/20:3(8Z,11Z,14Z))","PC(18:1(11Z)/20:3(8Z,11Z,14Z))","HMDB0008080","53478739","C00157","CCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"PC(18:1(9Z)/20:3(5Z,8Z,11Z))","PC(18:1(9Z)/20:3(5Z,8Z,11Z))","HMDB0008112","24778947","C00157","CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC","1"
"PC(18:1(9Z)/20:3(8Z,11Z,14Z))","PC(18:1(9Z)/20:3(8Z,11Z,14Z))","HMDB0008113","52922697","C00157","CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"PC(18:2(9Z,12Z)/20:2(11Z,14Z))","PC(18:2(9Z,12Z)/20:2(11Z,14Z))","HMDB0008145","52922743","C00157","CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(18:3(6Z,9Z,12Z)/20:1(11Z))","PC(18:3(6Z,9Z,12Z)/20:1(11Z))","HMDB0008176","52922799","C00157","CCCCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(18:3(9Z,12Z,15Z)/20:1(11Z))","PC(18:3(9Z,12Z,15Z)/20:1(11Z))","HMDB0008209","52922857","C00157","CCCCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(18:4(6Z,9Z,12Z,15Z)/20:0)","PC(18:4(6Z,9Z,12Z,15Z)/20:0)","HMDB0008241","52922917","C00157","CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(20:0/18:4(6Z,9Z,12Z,15Z))","PC(20:0/18:4(6Z,9Z,12Z,15Z))","HMDB0008273","52923071","C00157","CCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(20:1(11Z)/18:3(6Z,9Z,12Z))","PC(20:1(11Z)/18:3(6Z,9Z,12Z))","HMDB0008304","52923117","C00157","CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"PC(20:1(11Z)/18:3(9Z,12Z,15Z))","PC(20:1(11Z)/18:3(9Z,12Z,15Z))","HMDB0008305","52923119","C00157","CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC","1"
"PC(20:2(11Z,14Z)/18:2(9Z,12Z))","PC(20:2(11Z,14Z)/18:2(9Z,12Z))","HMDB0008336","52923175","C00157","CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"PC(20:3(5Z,8Z,11Z)/18:1(11Z))","PC(20:3(5Z,8Z,11Z)/18:1(11Z))","HMDB0008367","53478955","C00157","CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\CCCCCC","1"
"PC(20:3(5Z,8Z,11Z)/18:1(9Z))","PC(20:3(5Z,8Z,11Z)/18:1(9Z))","HMDB0008368","53478957","C00157","CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(20:3(8Z,11Z,14Z)/18:1(11Z))","PC(20:3(8Z,11Z,14Z)/18:1(11Z))","HMDB0008400","53479009","C00157","CCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(20:3(8Z,11Z,14Z)/18:1(9Z))","PC(20:3(8Z,11Z,14Z)/18:1(9Z))","HMDB0008401","52923233","C00157","CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(20:4(5Z,8Z,11Z,14Z)/18:0)","PC(20:4(5Z,8Z,11Z,14Z)/18:0)","HMDB0008431","52923291","C00157","CCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(20:4(8Z,11Z,14Z,17Z)/18:0)","PC(20:4(8Z,11Z,14Z,17Z)/18:0)","HMDB0008464","53479067","C00157","CCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(22:4(7Z,10Z,13Z,16Z)/16:0)","PC(22:4(7Z,10Z,13Z,16Z)/16:0)","HMDB0008626","52923621","C00157","CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"9,12,13-TriHOME","9,12,13-TriHOME","HMDB0004708","9858729","C14833","CCCCC[C@@H]([C@H](/C=C/[C@H](CCCCCCCC(=O)O)O)O)O","1"
"9,10,13-TriHOME","9,10,13-TriHOME","HMDB0004710","14968868","C14835","CCCCC[C@@H](/C=C/[C@H]([C@H](CCCCCCCC(=O)O)O)O)O","1"
"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0008057","24778876","C00157","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
