"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"PC(14:0/P-16:0)","PC(14:0/P-16:0)","HMDB0007895","53478615","C00157","CCCCCCCCCCCCCC/C=C\OC(COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PE(15:0/P-18:0)","PE(15:0/P-18:0)","HMDB0008917","53479584","C00350","CCCCCCCCCCCCCCCC/C=C\O[C@H](COC(=O)CCCCCCCCCCCCCC)COP(=O)(O)OCCN","1"
"PC(P-16:0/14:0)","PC(P-16:0/14:0)","HMDB0011203","52923874",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC","1"
"PE(P-18:0/15:0)","PE(P-18:0/15:0)","HMDB0011370","52925071",NA,"CCCCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCC","1"
"PC(o-14:0/16:1(9Z))","PC(o-14:0/16:1(9Z))","HMDB0013402","24779277",NA,"CCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"PC(o-16:0/14:1(9Z))","PC(o-16:0/14:1(9Z))","HMDB0013403","52923736",NA,"CCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCC","1"
"LysoPE(0:0/22:1(13Z))","LysoPE(0:0/22:1(13Z))","HMDB0011491","53480940",NA,"CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN","1"
"LysoPE(22:1(13Z)/0:0)","LysoPE(22:1(13Z)/0:0)","HMDB0011521","53480953",NA,"CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O","1"
"PE(18:4(6Z,9Z,12Z,15Z)/P-18:1(11Z))","PE(18:4(6Z,9Z,12Z,15Z)/P-18:1(11Z))","HMDB0009215","53479707","C00350","CCCCCC/C=C\CCCCCCCC/C=C\O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCCN","1"
"PE(18:4(6Z,9Z,12Z,15Z)/P-18:1(9Z))","PE(18:4(6Z,9Z,12Z,15Z)/P-18:1(9Z))","HMDB0009216","53479708","C00350","CCCCCCCC/C=C\CCCCCC/C=C\O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCCN","1"
"PE(20:5(5Z,8Z,11Z,14Z,17Z)/P-16:0)","PE(20:5(5Z,8Z,11Z,14Z,17Z)/P-16:0)","HMDB0009477","53479839","C00350","CCCCCCCCCCCCCC/C=C\O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCCN","1"
"PE(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))","PE(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))","HMDB0011354","52925061",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PE(P-18:1(11Z)/18:4(6Z,9Z,12Z,15Z))","PE(P-18:1(11Z)/18:4(6Z,9Z,12Z,15Z))","HMDB0011412","53480872",NA,"CCCCCC/C=C\CCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PE(P-18:1(9Z)/18:4(6Z,9Z,12Z,15Z))","PE(P-18:1(9Z)/18:4(6Z,9Z,12Z,15Z))","HMDB0011445","53480901",NA,"CCCCCCCC/C=C\CCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"2-Aminomuconic acid","2-Aminomuconic acid","HMDB0001241","5280499","C02220","C(=C\C(=O)O)\C=C(/C(=O)O)\N","1"
"Kinetensin 4-7","Kinetensin 4-7","HMDB0012986","71351622",NA,"C1C[C@@H](N(C1)C(=O)[C@H](CC2=CN=CN2)NC(=O)[C@@H](CCCN=C(N)N)N)C(=O)N[C@H](CC3=CC=C(C=C3)O)C(=O)O","1"
"Inosinic acid","Inosinic acid","HMDB0000175","8582","C00130","C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O","1"
"Inosine 2'-phosphate","Inosine 2'-phosphate","HMDB0011681","18601915",NA,"C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)OP(=O)(O)O","1"
"Cholic acid glucuronide","Cholic acid glucuronide","HMDB0002577","21252309",NA,"C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O)C)O)O)C","1"
"DG(14:0/18:2(9Z,12Z)/0:0)","DG(14:0/18:2(9Z,12Z)/0:0)","HMDB0007016","14275352",NA,"CCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"DG(14:1(9Z)/18:1(11Z)/0:0)","DG(14:1(9Z)/18:1(11Z)/0:0)","HMDB0007043","53477978",NA,"CCCCCC/C=C\CCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\CCCC","1"
"DG(14:1(9Z)/18:1(9Z)/0:0)","DG(14:1(9Z)/18:1(9Z)/0:0)","HMDB0007044","53477979",NA,"CCCCCCCC/C=C\CCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\CCCC","1"
"DG(16:1(9Z)/16:1(9Z)/0:0)","DG(16:1(9Z)/16:1(9Z)/0:0)","HMDB0007128","9543679","C00165","CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"DG(18:1(11Z)/14:1(9Z)/0:0)","DG(18:1(11Z)/14:1(9Z)/0:0)","HMDB0007183","53478058",NA,"CCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCC","1"
"DG(18:1(9Z)/14:1(9Z)/0:0)","DG(18:1(9Z)/14:1(9Z)/0:0)","HMDB0007212","53478087",NA,"CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCC","1"
"DG(18:2(9Z,12Z)/14:0/0:0)","DG(18:2(9Z,12Z)/14:0/0:0)","HMDB0007240","53478098",NA,"CCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"LPA(0:0/18:1(9Z))","LysoPA(0:0/18:1(9Z))","HMDB0007851","56947016","C00416","CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](CO)COP(=O)(O)O","1"
"LPA(18:1(9Z)/0:0)","LysoPA(18:1(9Z)/0:0)","HMDB0007855","5497152","C00416","CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)O)O","1"
"DHAP(18:0)","DHAP(18:0)","HMDB0011133","440127","C03805","CCCCCCCCCCCCCCCCCC(=O)OCC(=O)COP(=O)(O)O","1"
"PC(20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC(20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0008288","24779053","C00157","CCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(20:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))","PC(20:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0008319","53478903","C00157","CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PC(20:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))","PC(20:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))","HMDB0008320","53478905","C00157","CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(20:2(11Z,14Z)/22:4(7Z,10Z,13Z,16Z))","PC(20:2(11Z,14Z)/22:4(7Z,10Z,13Z,16Z))","HMDB0008351","52923207","C00157","CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PC(20:4(5Z,8Z,11Z,14Z)/22:2(13Z,16Z))","PC(20:4(5Z,8Z,11Z,14Z)/22:2(13Z,16Z))","HMDB0008448","52923323","C00157","CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z))","PC(20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z))","HMDB0008481","53479101","C00157","CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:1(13Z))","PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:1(13Z))","HMDB0008513","53479131","C00157","CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C","1"
