"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Glycerophospholipid metabolism",36,0.69677,4,0.0043699,2.3595,0.36707,0.28905,0.41975
"Sphingolipid metabolism",21,0.40645,3,0.0068821,2.1623,0.57121,0.28905,0.1785
"Glycerolipid metabolism",16,0.30968,2,0.036734,1.4349,1,0.77142,0.05607
"Histidine metabolism",16,0.30968,2,0.036734,1.4349,1,0.77142,0.09016
"Linoleic acid metabolism",5,0.096774,1,0.093216,1.0305,1,1,0
"Amino sugar and nucleotide sugar metabolism",37,0.71613,2,0.15912,0.79827,1,1,0.04254
"alpha-Linolenic acid metabolism",13,0.25161,1,0.22514,0.64754,1,1,0
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",14,0.27097,1,0.24027,0.6193,1,1,0.00399
"Pantothenate and CoA biosynthesis",19,0.36774,1,0.31171,0.50625,1,1,0.00714
"beta-Alanine metabolism",21,0.40645,1,0.33843,0.47054,1,1,0.05597
"Folate biosynthesis",27,0.52258,1,0.4127,0.38436,1,1,0
"Phosphatidylinositol signaling system",28,0.54194,1,0.42427,0.37236,1,1,0.00152
"Glycine, serine and threonine metabolism",33,0.63871,1,0.47889,0.31977,1,1,0
"Cysteine and methionine metabolism",33,0.63871,1,0.47889,0.31977,1,1,0.17854
"Arachidonic acid metabolism",36,0.69677,1,0.50922,0.2931,1,1,0
"Pyrimidine metabolism",39,0.75484,1,0.53784,0.26935,1,1,0.03727
"Tryptophan metabolism",41,0.79355,1,0.55601,0.25492,1,1,0
"Purine metabolism",65,1.2581,1,0.72683,0.13857,1,1,0.13277
