,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
5,GO:BP,GO:0021896,forebrain astrocyte differentiation,0.003264484621422967,True,"""The process in which a relatively unspecialized cell acquires the specialized features of an astrocyte residing in the forebrain. An astrocyte is the most abundant type of glial cell. Astrocytes provide support for neurons and regulate the environment in which they function."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, PMID:16226447]",2,25,2,18117,0.08,1.0,query_1,"['GO:0030900', 'GO:0048708']"
6,GO:BP,GO:0021897,forebrain astrocyte development,0.003264484621422967,True,"""The process aimed at the progression of an astrocyte that resides in the forebrain, from initial commitment of the cell to its fate, to the fully functional differentiated cell. An astrocyte is the most abundant type of glial cell. Astrocytes provide support for neurons and regulate the environment in which they function."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]",2,25,2,18117,0.08,1.0,query_1,"['GO:0014002', 'GO:0021896']"
7,GO:BP,GO:0009314,response to radiation,0.0038080269354762966,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."" [GOC:jl, Wikipedia:Electromagnetic_radiation]",461,25,7,18117,0.28,0.015184381778741865,query_1,['GO:0009628']
10,GO:BP,GO:0009416,response to light stimulus,0.007956960921488317,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light."" [GOC:go_curators, ISBN:0582227089]",328,25,6,18117,0.24,0.018292682926829267,query_1,['GO:0009314']
12,GO:BP,GO:0043409,negative regulation of MAPK cascade,0.009628990935013595,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction mediated by the MAPKKK cascade."" [GOC:go_curators]",190,25,5,18117,0.2,0.02631578947368421,query_1,"['GO:0000165', 'GO:0043408', 'GO:1902532']"
13,GO:BP,GO:1902532,negative regulation of intracellular signal transduction,0.01205501515592119,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]",549,25,7,18117,0.28,0.012750455373406194,query_1,"['GO:0009968', 'GO:0035556', 'GO:1902531']"
14,GO:BP,GO:0048585,negative regulation of response to stimulus,0.01330708710133081,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",1733,25,11,18117,0.44,0.006347374495095211,query_1,"['GO:0048519', 'GO:0048583', 'GO:0050896']"
28,KEGG,KEGG:05225,Hepatocellular carcinoma,0.033850120650161145,True,Hepatocellular carcinoma,166,19,4,8001,1.2105263157894737,0.024096385542168676,query_1,['KEGG:00000']
29,KEGG,KEGG:05230,Central carbon metabolism in cancer,0.035044306059462224,True,Central carbon metabolism in cancer,70,19,3,8001,1.1578947368421053,0.04285714285714286,query_1,['KEGG:00000']
35,KEGG,KEGG:01521,EGFR tyrosine kinase inhibitor resistance,0.04994660874856988,True,EGFR tyrosine kinase inhibitor resistance,79,19,3,8001,1.1578947368421053,0.0379746835443038,query_1,['KEGG:00000']
36,KEGG,KEGG:04662,B cell receptor signaling pathway,0.04994660874856988,True,B cell receptor signaling pathway,79,19,3,8001,1.1578947368421053,0.0379746835443038,query_1,['KEGG:00000']
