,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,KEGG,KEGG:05210,Colorectal cancer,9.325737048018587e-06,True,Colorectal cancer,86,24,6,8001,1.25,0.06976744186046512,query_1,['KEGG:00000']
2,GO:BP,GO:0051171,regulation of nitrogen compound metabolic process,0.00012339405385927387,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]",5848,35,27,18117,0.7714285714285715,0.004616963064295486,query_1,"['GO:0006807', 'GO:0019222']"
3,GO:BP,GO:0043525,positive regulation of neuron apoptotic process,0.00017844417218238618,True,"""Any process that activates or increases the frequency, rate or extent of cell death of neurons by apoptotic process."" [GOC:go_curators, GOC:mtg_apoptosis]",59,35,5,18117,0.14285714285714285,0.0847457627118644,query_1,"['GO:0043065', 'GO:0043523', 'GO:0051402', 'GO:1901216']"
4,GO:BP,GO:0080090,regulation of primary metabolic process,0.0002760914354941506,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]",6053,35,27,18117,0.7714285714285715,0.004460598050553445,query_1,"['GO:0019222', 'GO:0044238']"
9,GO:BP,GO:0060255,regulation of macromolecule metabolic process,0.002044910954673079,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",6603,35,27,18117,0.7714285714285715,0.00408905043162199,query_1,"['GO:0019222', 'GO:0043170']"
10,GO:BP,GO:1901216,positive regulation of neuron death,0.0022935593956060654,True,"""Any process that activates or increases the frequency, rate or extent of neuron death."" [GOC:rph, GOC:TermGenie]",98,35,5,18117,0.14285714285714285,0.05102040816326531,query_1,"['GO:0010942', 'GO:0070997', 'GO:1901214']"
13,GO:BP,GO:0044260,cellular macromolecule metabolic process,0.002943830137762416,True,"""The chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass, as carried out by individual cells."" [GOC:mah]",8390,35,30,18117,0.8571428571428571,0.003575685339690107,query_1,"['GO:0043170', 'GO:0044237']"
14,GO:BP,GO:0031323,regulation of cellular metabolic process,0.0036436539519501304,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]",6269,35,26,18117,0.7428571428571429,0.0041473919285372465,query_1,"['GO:0019222', 'GO:0044237', 'GO:0050794']"
16,KEGG,KEGG:05212,Pancreatic cancer,0.004328164377982879,True,Pancreatic cancer,76,24,4,8001,1.1666666666666667,0.05263157894736842,query_1,['KEGG:00000']
17,KEGG,KEGG:05220,Chronic myeloid leukemia,0.004328164377982879,True,Chronic myeloid leukemia,76,24,4,8001,1.1666666666666667,0.05263157894736842,query_1,['KEGG:00000']
20,GO:BP,GO:0031324,negative regulation of cellular metabolic process,0.005460832019185609,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]",2719,35,17,18117,0.4857142857142857,0.00625229863920559,query_1,"['GO:0009892', 'GO:0031323', 'GO:0044237', 'GO:0048523']"
22,GO:BP,GO:0051173,positive regulation of nitrogen compound metabolic process,0.006219659946926515,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]",3083,35,18,18117,0.5142857142857142,0.005838469023678235,query_1,"['GO:0006807', 'GO:0009893', 'GO:0051171']"
23,KEGG,KEGG:05161,Hepatitis B,0.0062305363037683205,True,Hepatitis B,162,24,5,8001,1.2083333333333333,0.030864197530864196,query_1,['KEGG:00000']
