Pathway,Pleural epithelioid mesothelioma,Pancreatic carcinoma,Colon carcinoma,Adenosquamous lung carcinoma,Papillary renal cell carcinoma,Prostate carcinoma,Gliosarcoma,Small cell lung carcinoma,Clear cell renal cell carcinoma,Ductal breast carcinoma,Melanoma,Squamous cell lung carcinoma,Bladder squamous cell carcinoma,Renal cell carcinoma,Recurrent bladder carcinoma,"Chronic myelogenous leukemia, BCR-ABL1 positive",Childhood T acute lymphoblastic leukemia,Ovarian endometrioid adenocarcinoma,Pancreatic adenocarcinoma,Pancreatic ductal adenocarcinoma,Breast adenocarcinoma,High grade ovarian serous adenocarcinoma,Breast carcinoma,Colon adenocarcinoma,Bladder carcinoma,Plasma cell myeloma,"Invasive ductal carcinoma, not otherwise specified",Non-small cell lung carcinoma,Lung mucoepidermoid carcinoma,Minimally invasive lung adenocarcinoma,Large cell lung carcinoma,Glioblastoma,"Squamous cell breast carcinoma, acantholytic variant",Adult acute myeloid leukemia,Inflammatory breast carcinoma,Cutaneous melanoma,Lung carcinoid tumor,Astrocytoma,Amelanotic melanoma,Lung adenocarcinoma,Papillary lung adenocarcinoma,Bronchogenic carcinoma,Adult T acute lymphoblastic leukemia
Purine Metabolism,1,1,1,-1,1,0,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,1,0,-1,-1,1,0,-1,-1,-1,-1,1,0,-1,1,0,0,-1,1,-1,1,0,1,1,-1
Warburg Effect,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,-1,1,0,0,0,-1,-1,1,0,-1,-1,-1,0,0,-1,0,0,-1,1,-1,1,-1,1,0,1,0,-1
Glycine and Serine Metabolism,-1,0,1,-1,1,0,-1,0,0,1,-1,0,0,-1,0,-1,-1,1,1,0,0,-1,-1,1,0,-1,-1,0,-1,0,0,-1,1,-1,-1,-1,1,-1,0,0,1,0,-1
beta-Alanine Metabolism,0,0,1,-1,1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,1,0,0,-1,-1,1,0,-1,-1,-1,-1,0,0,-1,1,-1,0,-1,0,-1,0,0,0,1,-1
Glutamate Metabolism,0,0,1,-1,0,0,-1,0,-1,0,0,0,0,-1,0,-1,-1,0,0,0,-1,-1,-1,1,-1,-1,-1,0,-1,1,0,-1,1,-1,0,-1,1,-1,0,0,1,0,-1
Pyrimidine Metabolism,0,1,1,-1,-1,0,-1,0,-1,0,0,0,0,-1,0,-1,-1,0,0,0,1,-1,-1,1,0,-1,-1,0,-1,0,0,-1,1,-1,0,0,1,-1,0,0,0,1,-1
"Valine, Leucine, and Isoleucine Degradation",0,0,1,-1,1,-1,-1,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,-1,-1,1,0,-1,-1,-1,-1,1,0,-1,0,-1,0,-1,1,-1,0,0,1,0,-1
Citric Acid Cycle,0,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,1,-1,0,0,1,0,-1
Pyruvate Metabolism,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,-1,1,1,0,-1,-1,-1,1,0,-1,-1,-1,-1,0,0,-1,1,-1,0,-1,1,-1,0,0,1,0,-1
Arginine and Proline Metabolism,0,0,1,-1,1,-1,-1,-1,-1,0,0,0,0,-1,0,-1,-1,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,1,0,0,-1,1,-1,0,-1,0,0,0,0,0,0,-1
