,Glycolysis,index
NR2F2,0.00476814833713796,0
E2F3,0.056398550222974485,1
TAL1,0.08165786525716376,2
YY1,0.0958922207624633,3
E2F2,0.13136863611157193,4
FOXM1,0.16461560940894904,5
E2F4,0.17939328263462972,6
ARNTL,0.1887727909592076,7
ATF1,0.2439185559662431,8
MYC,0.24891528777053115,9
E2F1,0.2739710629707276,10
ETV4,0.3306202504045952,11
PAX6,0.3323609121736164,12
PAX8,0.3415927077932185,13
WT1,0.3602621788467658,14
SRF,0.4165871792003883,15
CTCF,0.4233334204398079,16
ELK1,0.4279688067503187,17
TCF7L2,0.4532412150388618,18
PRDM14,0.5103184439932413,19
NFKB2,0.5231469733231938,20
SOX2,0.5525392113925922,21
HIF1A,0.5595701206718032,22
GATA1,0.5595701206718032,23
FOXP1,0.5955916979558356,24
ETS1,0.6856988966918139,25
FOSL2,0.7018143013195561,26
CEBPA,0.7219532753657059,27
REL,0.7219532753657059,28
STAT1,0.7458441541608757,29
STAT5B,0.7642308041587592,30
SP3,0.7685333283113815,31
LEF1,0.7868124610129693,32
NFE2L2,0.7901597690701927,33
ESR1,0.8090319396040717,34
STAT6,0.8160411895069571,35
NFATC2,0.8162327869100594,36
IRF9,0.8344426664525645,37
RELB,0.8474694005489041,38
IRF1,0.8524824322313821,39
STAT5A,0.8548175048042914,40
SP1,0.8677005961943898,41
BACH1,0.8677005961943898,42
TP63,0.8742176126962006,43
ERG,0.8793610903922284,44
EGR1,0.907152477098094,45
POU2F1,0.9290052586349541,46
RFX5,0.9478009245291944,47
AR,0.978169095774807,48
SPI1,0.9848545710557071,49
JUN,0.999599511812314,50
FOXO3,1.017987752691054,51
TFAP2A,1.0464668804981476,52
ETS2,1.0652620937491537,53
MYCN,1.0668572188410188,54
GLI2,1.0668572188410188,55
STAT2,1.0722746148552689,56
PPARG,1.114794111800255,57
FOXL2,1.1751574335126669,58
FOS,1.1916762191040065,59
SMAD3,1.1945461172174137,60
EPAS1,1.1945461172174137,61
USF1,1.2047427128522898,62
TWIST1,1.2160168014472956,63
FOSL1,1.257913931291866,64
USF2,1.361937349519772,65
SMAD4,1.3870509071179011,66
SOX10,1.3965936904298524,67
RELA,1.4315230188109909,68
PPARA,1.4438791297774256,69
CREB1,1.5370956004760723,70
STAT3,1.609104375202441,71
NFKB1,1.6423782957952715,72
CEBPB,1.7818006225916627,73
KLF4,1.834432697883036,74
CEBPD,1.8801859619495083,75
CDX2,1.945879785725916,76
KMT2A,2.11756275209552,77
TP53,2.1632121791423358,78
ATF2,2.3182915166491083,79
ATF4,2.38445376486434,80
RARA,2.4818429770490553,81
JUND,2.50580237127578,82
ESR2,2.5409151448269043,83
PGR,2.5851847119472726,84
MITF,2.5887222796771714,85
FLI1,2.752492632038729,86
ZNF263,2.97237036490192,87
SOX9,3.09894048797927,88
NR5A1,3.2092571772222955,89
HNF1A,3.3796416048374187,90
VDR,3.4891851413515207,91
GATA2,3.511439144764036,92
SREBF2,3.806708162525864,93
GATA3,3.8078002946849754,94
TFAP2C,3.930630416994236,95
HNF4A,4.0333582261378345,96
REST,4.141377700973089,97
FOXA1,4.194854823113909,98
FOXO4,4.226197559440039,99
RUNX1,4.357744890414926,100
NFIC,4.362336465992579,101
FOXO1,4.576658157929229,102
SREBF1,4.6787141836798405,103
MYB,4.7558630284647725,104
RXRA,6.743874920774507,105
