,Pentose Phosphate Pathway,index
E2F3,0.04264679279068361,0
WT1,0.057108391399504625,1
E2F4,0.057108391399504625,2
NR2F2,0.0615297524004583,3
TAL1,0.07481844072718857,4
E2F2,0.10150722923626024,5
PAX8,0.14580874218912254,6
FOXM1,0.14632257986655325,7
E2F1,0.14632257986655325,8
MYCN,0.16398772554062171,9
PRDM14,0.16660316996066865,10
PAX6,0.18248004338045776,11
MYC,0.241039825367702,12
NFKB2,0.2787163418701097,13
GATA1,0.2910713341605227,14
RELB,0.3804342460816072,15
SPI1,0.38877912917892665,16
JUN,0.4204037197944563,17
PPARG,0.42850362635977546,18
FLI1,0.4338335656205035,19
SOX2,0.4868686637488805,20
GLI2,0.4968521087036922,21
SRF,0.5279784046808773,22
ETS1,0.5602096750354855,23
HIF1A,0.5732022189849413,24
IRF1,0.5964295448374434,25
BACH1,0.6101320265183088,26
CREB1,0.6473442648002894,27
SP3,0.6478864035273425,28
FOS,0.653417823171834,29
CEBPA,0.6687518523471759,30
RELA,0.6769210766473943,31
FOXL2,0.6769210766473943,32
POU2F1,0.6883752198441707,33
REL,0.6888972057273718,34
STAT5A,0.7027801142558101,35
SMAD3,0.7074316225047569,36
STAT2,0.7120951045941518,37
ARNTL,0.7386408329625156,38
ETV4,0.7451635125552212,39
NFE2L2,0.7562456463341586,40
TFAP2A,0.7656230473162782,41
ERG,0.7707516515222678,42
IRF9,0.7715460994893216,43
EGR1,0.7738737430775969,44
EPAS1,0.8119511561991216,45
STAT6,0.8128363747461208,46
FOXO3,0.8679780415896868,47
STAT3,0.8715058058966856,48
SP1,0.8770412057456448,49
TCF7L2,0.8792332330546608,50
CTCF,0.879744113395545,51
ESR1,0.8881738976041653,52
ELK1,0.9166346244248534,53
FOSL2,0.9214563702381348,54
NFKB1,0.9303163100597504,55
AR,0.9877694581243666,56
YY1,1.005742014015747,57
SREBF2,1.011695581104149,58
STAT1,1.0344663666543767,59
ATF1,1.0804197200028005,60
ETS2,1.0995847154772096,61
CEBPD,1.1171807254753092,62
FOSL1,1.1423256130124828,63
NR5A1,1.1835339584260602,64
USF2,1.2394372037788208,65
CEBPB,1.2844457718085414,66
SOX10,1.3335489465816033,67
NFATC2,1.3805775278794687,68
STAT5B,1.3910398286716028,69
JUND,1.4280819418265511,70
TWIST1,1.4581275971628618,71
PPARA,1.51526570427865,72
TP53,1.517213307369376,73
SMAD4,1.5239447653712337,74
KMT2A,1.602126713751558,75
LEF1,1.6153379481885541,76
MITF,1.621937295791795,77
MYB,1.6413631188222444,78
TP63,1.6912022636846848,79
USF1,1.7241439368265148,80
HNF4A,1.943451063604205,81
RXRA,2.0485066636895186,82
CDX2,2.0913126253694414,83
ESR2,2.121724826747594,84
RARA,2.146541006968833,85
RFX5,2.237877660468948,86
GATA2,2.24720590052369,87
GATA3,2.3837272309021302,88
ATF4,2.4288672736919104,89
HNF1A,2.497414774894433,90
PGR,2.5447158484238583,91
RUNX1,2.5810289016393453,92
FOXP1,2.589780771679268,93
SREBF1,2.6205930561606974,94
FOXO4,2.646962599411422,95
FOXO1,2.684972406322349,96
NFIC,2.8219794373069984,97
ZNF263,2.881377199890018,98
VDR,2.8861871574314684,99
ATF2,3.109812794097072,100
TFAP2C,3.2890835848657347,101
KLF4,3.5650591523970623,102
FOXA1,3.7148858245224035,103
SOX9,4.050284531812299,104
REST,5.879622867272543,105
