,Citric Acid Cycle,index
TAL1,0.011471274954837752,0
E2F4,0.04313102583238386,1
YY1,0.05461516576712445,2
E2F3,0.07201782174158454,3
FOXM1,0.08809615116544316,4
STAT1,0.1010117597803159,5
PRDM14,0.1082770785407948,6
NR2F2,0.11491939849891696,7
EGR1,0.15861274036419712,8
ARNTL,0.2032455955116096,9
HIF1A,0.21359225385635489,10
SOX2,0.21748442466360368,11
ETV4,0.23957125528604145,12
E2F2,0.240220897545802,13
ELK1,0.28804362216483564,14
CTCF,0.31799619351307395,15
E2F1,0.31799619351307395,16
PAX8,0.3346267698375448,17
CEBPA,0.3367310364656581,18
ETS1,0.3824468504532697,19
PAX6,0.4196834293444206,20
FOS,0.4581209658051513,21
AR,0.4749774581092328,22
SRF,0.496655575277393,23
SP3,0.5118204088174112,24
ERG,0.5118204088174112,25
MYCN,0.5210050256920811,26
RELB,0.5633466390638489,27
SPI1,0.5691310225065158,28
TFAP2A,0.572506802170647,29
TCF7L2,0.5868952847475241,30
SOX10,0.5878904501917767,31
FOXO3,0.5969943972614621,32
JUND,0.6159335083123304,33
GATA1,0.6206881459293562,34
USF2,0.6492102427578633,35
ESR1,0.6545548129273095,36
SMAD3,0.660107426721603,37
EPAS1,0.6695838822733965,38
TP63,0.7079799016620306,39
FOXL2,0.7307757964622875,40
JUN,0.7833293076779163,41
IRF1,0.7885118490657015,42
STAT5B,0.8031365480945123,43
STAT5A,0.8049474808278217,44
WT1,0.8152965154696538,45
USF1,0.8152965154696538,46
IRF9,0.8298083250379552,47
NFKB2,0.8841191926864848,48
ATF1,0.8841191926864848,49
GATA3,0.93574072491434,50
MYC,0.9517454442735622,51
GLI2,0.9551066854928104,52
SP1,0.9684402918600384,53
FOSL1,0.9806373596434484,54
REL,1.0197622724119588,55
STAT2,1.0249165221111254,56
BACH1,1.0528351122968185,57
STAT6,1.0640653971349414,58
TP53,1.0861435595425268,59
TWIST1,1.1173477227912454,60
MITF,1.1243391316341889,61
SMAD4,1.1397158924386297,62
POU2F1,1.149668568238667,63
NFKB1,1.1851491883505214,64
STAT3,1.191669576387277,65
PPARA,1.1965538028578069,66
CEBPB,1.2290407785008102,67
RELA,1.2745256366826796,68
NFE2L2,1.274856136569098,69
FOSL2,1.2797273471043933,70
ATF4,1.5027527165701322,71
PPARG,1.6513484858903318,72
MYB,2.1831066363496525,73
RARA,2.2024057501119447,74
FLI1,2.2860846582855707,75
LEF1,2.340290350447804,76
SREBF1,2.414789086223984,77
SREBF2,2.565325991647029,78
KMT2A,2.668384674308716,79
GATA2,2.7186589979410343,80
ETS2,2.779118711955037,81
PGR,2.8204822676814594,82
KLF4,2.8650001176775666,83
ESR2,2.9063975854301862,84
RUNX1,3.070229556263833,85
ATF2,3.087490717644437,86
NFATC2,3.141179735368207,87
RXRA,3.2594367462514398,88
CREB1,3.428996799581442,89
SOX9,3.86867954075768,90
REST,3.8770534325591353,91
CEBPD,3.9871008345586674,92
FOXO4,4.098711498431617,93
FOXP1,4.291456673662773,94
FOXO1,4.517781430254631,95
ZNF263,4.691832134033708,96
RFX5,4.742266201458898,97
TFAP2C,4.826804855849116,98
FOXA1,4.8849654454967455,99
HNF4A,4.8863658666869165,100
HNF1A,5.11857740315212,101
VDR,5.664899437245494,102
CDX2,5.799510733612447,103
NR5A1,7.200350130482577,104
NFIC,7.7197847176482925,105
