Pathway,Score_AR,Score_ARNTL,Score_ATF1,Score_ATF2,Score_ATF4,Score_BACH1,Score_CDX2,Score_CEBPA,Score_CEBPB,Score_CEBPD,Score_CREB1,Score_CTCF,Score_E2F1,Score_E2F2,Score_E2F3,Score_E2F4,Score_EGR1,Score_ELK1,Score_EPAS1,Score_ERG,Score_ESR1,Score_ESR2,Score_ETS1,Score_ETS2,Score_ETV4,Score_FLI1,Score_FOS,Score_FOSL1,Score_FOSL2,Score_FOXA1,Score_FOXL2,Score_FOXM1,Score_FOXO1,Score_FOXO3,Score_FOXO4,Score_FOXP1,Score_GATA1,Score_GATA2,Score_GATA3,Score_GLI2,Score_HIF1A,Score_HNF1A,Score_HNF4A,Score_IRF1,Score_IRF9,Score_JUN,Score_JUND,Score_KLF4,Score_KMT2A,Score_LEF1,Score_MITF,Score_MYB,Score_MYC,Score_MYCN,Score_NFATC2,Score_NFE2L2,Score_NFIC,Score_NFKB1,Score_NFKB2,Score_NR2F2,Score_NR5A1,Score_PAX6,Score_PAX8,Score_PGR,Score_POU2F1,Score_PPARA,Score_PPARG,Score_PRDM14,Score_RARA,Score_REL,Score_RELA,Score_RELB,Score_REST,Score_RFX5,Score_RUNX1,Score_RXRA,Score_SMAD3,Score_SMAD4,Score_SOX10,Score_SOX2,Score_SOX9,Score_SP1,Score_SP3,Score_SPI1,Score_SREBF1,Score_SREBF2,Score_SRF,Score_STAT1,Score_STAT2,Score_STAT3,Score_STAT5A,Score_STAT5B,Score_STAT6,Score_TAL1,Score_TCF7L2,Score_TFAP2A,Score_TFAP2C,Score_TP53,Score_TP63,Score_TWIST1,Score_USF1,Score_USF2,Score_VDR,Score_WT1,Score_YY1,Score_ZNF263
Alanine Metabolism,-1.3772677618820353,-0.37274444040652777,-0.9426793543992746,-2.6856047185681837,-0.6123758160554523,-0.5749724341909094,-1.2581162281433709,-0.6414854411945807,-0.6934076795391868,-1.8379815188391446,-0.7492162751295123,-0.8588084178814869,-0.5552033983765088,-0.45671172791893366,-0.2509393977956398,-0.5019680563963905,-0.8658626176508564,-0.6266155382086854,-0.9828826983395348,-0.4187570945645638,-0.5019680563962918,-1.1781580027674465,-0.946841840104698,-0.9600327914830995,-0.4121056947112558,-1.023288777140484,-0.6918337003407193,-0.6543126620525738,-1.119584405898917,-1.6444335020689593,-0.7511184114260384,-0.548906140081902,-2.331447198556976,-0.823052894016793,-1.773382443697098,-0.6490176845938235,-0.8156701737069497,-0.9032726934075137,-1.3019588499904942,-1.0154892496415509,-0.811683668470475,-1.3578051258683808,-1.1661956773055475,-0.706012802852515,-0.6202727032266698,-0.8864699086454167,-0.7782564413436897,-1.4472996829575264,-1.282840201850638,-1.5564090806826403,-0.9087290211664232,-0.5902671325236463,-0.7867143940617269,-0.733629947336357,-0.4083876652111354,-0.45716587936143943,-2.432706540918113,-1.5289980450897112,-0.5457532616657563,-0.03289007744312573,-2.2941189879401627,-0.29268545659094397,-0.05109078497705031,-1.5154177919871483,-1.3988217259644338,-1.2784542004087123,-0.5453567315083522,-0.2505945668143192,-0.9949043857418652,-0.9000873274384281,-1.6031893717487562,-0.7725899335558652,-2.3277223005322347,-2.693276459444816,-1.3406130741331008,-2.5011668678143653,-0.6212035139836198,-1.3361073856204744,-0.9945611749209422,-0.43049244947286003,-1.3178913884990622,-1.4581920294888466,-0.9225899598966439,-0.3281942611529561,-0.973957754246204,-1.3165192453056833,-0.727178716520589,-0.3940127484159271,-0.4858918729382685,-0.6234928260895692,-0.6123758160554523,-0.3565854032334554,-1.7092731319705181,-0.0839923350127714,-1.0624842053918218,-0.9601881634000117,-1.182651584177711,-0.823052894016793,-0.20518834748155576,-0.6077161354915076,-1.0685233880704677,-0.5059541755389165,-1.2568943165997541,-0.5717105375443253,-0.24994444236413896,-1.3978960130268736
Alpha Linolenic Acid and Linoleic Acid Metabolism,-0.5641825522355378,-0.5525116778525274,-0.3868205041656464,-0.07977974479856717,-0.21821905953363516,-0.2964740155510549,-0.04783242057362512,-0.1452965923730224,-0.013900671421924776,-0.06021114364583557,-0.015045902065378574,-0.5189159747151172,-1.5721065123647593,-3.3066209835584224,-2.746322941892394,-1.6840193495524953,-0.2228575760153113,-0.15803256178199657,-0.03400381323152574,-0.20732369220541783,-0.11169473857098529,-0.03677564982822538,-0.18157763516316477,-0.0059465377967817205,-0.34001960956667887,-1.311656791985524,-0.09922689731587032,-0.07655346915719777,-0.05614470759441066,-0.006451713705178516,-0.03793939778736412,-1.0753928252984948,-0.08170185279013402,-0.37973574242863223,-0.3805345496449097,-0.08894171673197372,-0.5009434207235189,-0.6293187694210582,-0.05208587238824696,-1.1738663144556634,-0.553939710370477,-0.024535741599455464,-0.19482371665866385,-0.2515607897621014,-0.21628729315922457,-0.08889143589577646,-0.012355920419145959,-0.015462100714398855,-0.6963396862853178,-0.023884487085293483,-0.8643350525198398,-0.15803256178199657,-1.045747517663459,-1.5534268918374847,-0.1012999059390661,-0.2582388379989357,-0.42982146707591495,-0.043990891227412794,-3.1295016579866113,-0.4507396299175451,-0.45573808670007315,-0.5361301804287618,-3.4954461236302388,-0.3238747224880481,-0.029896884399062747,-0.03793939778736412,-0.9345489677281295,-1.4011155911365145,-0.0158937657041878,-0.03995468902282071,-0.07450393971871205,-0.15803256178199657,-0.009919962592527837,-0.07977974479856717,-0.0059465377967817205,-0.3714163345503264,-0.05614470759441066,-0.05817697373568396,-0.5387503038745521,-1.6630975023932364,-0.1772776799619224,-0.08271368972253192,-0.08477098623641181,-0.1452965923730224,-0.4129975377516121,-0.6082618403891505,-0.4419188677307904,-1.4226017819328456,-0.19669488859722573,-0.04803460966756304,-0.027890901701094293,-0.011909404834144027,-0.06836693253292642,-2.6783126849260808,-0.05614470759441066,-0.2694147608208128,-0.2053808071885346,-0.0158937657041878,-0.17298622273549044,-0.42749620998074217,-0.7046688499489145,-0.9295053720322455,-0.3199475015845995,-2.094510808704085,-0.9541580777430423,-0.18222490084175208
Amino Sugar Metabolism,-0.7306406088752283,-0.4697315913991055,-0.36444865569176554,-3.3875610783028223,-0.8936538359236282,-0.18592134219498818,-3.8561532268026166,-0.5476453944188259,-1.1270936038222128,-1.4494877592138258,-2.58677880981034,-0.3173424911064579,-0.21806137000226491,-0.33318569622437455,-0.20980082811466647,-0.3083681033173418,-0.34173984842337796,-0.34771122910470936,-0.5032282770429435,-0.6407925704565473,-0.5314890576750343,-2.3635504492466595,-0.4915369035603954,-1.4052057408526588,-0.60794040198475,-2.5265100519161687,-0.5277862161118309,-0.6710317648177002,-0.9408269183245542,-4.703417848867837,-0.8274806291142974,-0.10426696454299687,-5.678763234240396,-0.5881933752088985,-3.9258083587971235,-3.269574485629901,-0.4564886371482113,-2.901982257589586,-2.917657611301905,-1.5316778513963945,-0.3798548101304623,-5.298976707559785,-5.878867004804506,-0.8618557210550585,-0.6538381006209116,-0.3377637979392267,-0.7359175345936787,-4.099033502566623,-3.2708679008227746,-0.5897698201943501,-2.597728327390362,-1.6015094907669263,-0.3249052836738478,-0.518675909350063,-2.326432369730669,-0.26863707589910213,-5.153503453262573,-0.4959319683671993,-0.8026503144842988,-0.028942110779586267,-4.699480987473,-0.33318569622437455,-0.03567277590627282,-2.6377004672107365,-0.39479535595099974,-1.0297226650915057,-1.5847044540784965,-0.17684639820198636,-2.417910743263582,-0.8187155590143197,-0.55209780467722,-0.2572120204358246,-3.1050091692612893,-3.5693075669473293,-4.518759706999807,-7.293270501627008,-0.5125376727355926,-0.7054999861875919,-2.072586121732067,-0.16905899073528524,-5.395192452278907,-0.7487819766393712,-0.5086417228093233,-0.22628416678102098,-4.322298091748717,-4.613664581822514,-0.5277528687399644,-0.5512948240111899,-0.8631221631004938,-0.7802372822047667,-0.7347467589817024,-0.8302499445463752,-0.7784837671514799,-0.064016022652774,-0.18798153108997512,-0.5023514317091826,-4.405554644129876,-1.6972721542984899,-0.49273028944233066,-2.0359165624008977,-1.1261589138582069,-1.4427116078323763,-4.397158556397177,-0.45082825446855496,-0.1318292153742745,-3.19097357177969
Ammonia Recycling,-0.3342941286318219,-0.3011769663350127,-0.6919321973922047,-3.0258165495543397,-1.3238168626924904,-1.6293442531420712,-4.584280783249372,-0.5066165899817988,-1.7073722329078658,-1.7132263847259988,-2.1371912136951257,-0.30851486748576545,-0.11846074615092994,-0.12250277710882133,-0.17566888693041835,-0.17598403169774549,-0.325127245271614,-0.5150408998748435,-0.420270384759508,-0.47561426182223565,-0.5354804130697339,-1.8193588546264663,-0.39614825608148124,-1.6628329065697085,-0.21086844361192955,-1.2299015355179905,-1.002406789156247,-1.7332562876816953,-0.9663774199344634,-5.7431256583216195,-0.8840123013732843,-0.16825399609858602,-4.695500874786393,-0.830805846408311,-3.8014938425543088,-1.9526097211879634,-0.5277862161118371,-2.6308129775488007,-2.004638922243562,-1.0898164585062304,-0.16923060759966557,-4.6980966772270865,-4.144925392860466,-0.9638648518497881,-1.7974528242015047,-0.6981555867975578,-0.7607832530259345,-3.6025808095177414,-1.5373735969264888,-0.6636736214756656,-1.3077901060206352,-1.4569864059715514,-0.2147432087652715,-0.2507813869992568,-1.625930363254786,-1.5312669550134566,-3.5457698215864815,-1.077525488586013,-0.6946358549971319,-0.510020852269183,-4.919445812418812,-0.34725441877396296,-0.208183694808213,-1.683606901685608,-0.7772441554948014,-3.136452355322976,-1.125749169856795,-0.14959135521912287,-1.8527365034281185,-0.6255795867469574,-1.160235773911605,-0.9524922545624422,-2.622731424964868,-4.082347788826631,-4.445817029303263,-5.389242500568726,-0.9826013239896297,-0.9376218181618954,-1.4612102350170542,-0.12202524223013296,-3.5804410655757217,-0.7108137410850109,-1.1209530675105028,-0.4932332766298903,-1.762244091470922,-1.8046239781887232,-0.5195352866831616,-0.7441966239000898,-1.4521406936571566,-0.8490457636530617,-0.637188700902143,-0.9309870299596263,-0.6354840632374302,-0.06078705252269027,-0.4440851792262054,-0.7071171134464161,-3.786769370310984,-1.3417025233464435,-1.1779335237157025,-1.076997342547055,-0.8312317530914751,-0.23133179353693697,-3.6126447106910096,-0.5121907787202313,-0.0713187912672513,-2.173898967190176
Androgen and Estrogen Metabolism,-0.3219880257195666,-0.2101025881935587,-0.4675664635727999,-0.7698628587775767,-1.8298115759736797,-2.484957432642633,-1.131642016008733,-0.5747531275718016,-2.0202507158316108,-0.7602057052740764,-1.950602014388557,-0.781711934840017,-0.02865870002560649,-0.10150722923626024,-0.04386880767438707,-0.046737112917854456,-0.353362936609407,-0.6067964123997647,-0.8193278590857856,-0.8142818564677017,-0.6391653496789516,-3.19738373819749,-0.36234343046556283,-0.24642168775318748,-0.7451635125552212,-0.7176642874222428,-0.5185253099217081,-1.8015600522013822,-1.0645859470341354,-1.8964193646408773,-2.156970795809302,-0.1622285827471463,-0.5925710015110196,-0.4809069022212997,-0.48252378540739504,-2.215608271197778,-0.7872222296187104,-0.20843752141299446,-0.5969626222791679,-0.12834595816780817,-0.974370130530099,-3.312459969022356,-2.283117215162899,-1.000440427728389,-0.8119799108241812,-1.3805775278794687,-0.9182016646212414,-0.7063999873045191,-1.1423256130124828,-0.5212306583459133,-1.8720726713618712,-3.108013250620289,-0.20601473244843127,-0.0394637544175532,-1.103773525763325,-2.808882218129177,-1.311329467569723,-1.1687771484750227,-0.5747068938904415,-0.6315024739970534,-1.8796079496993134,-0.6867525808348706,-0.3796797190644589,-1.166372490361949,-0.664190507678962,-1.970594206598721,-1.3989791409269887,-0.372208269782963,-1.6513072634147923,-1.314366546661137,-0.7597850938034468,-0.6351018401953157,-1.7065360998237589,-0.9355178281221974,-3.2644379739829392,-0.6888972057273718,-1.4133749697990186,-0.6785388166091044,-0.7166745743129078,-0.07580177896203073,-0.9798141300213048,-0.8974595405014245,-1.1891772593192118,-1.4414923987577144,-0.5111066076283202,-0.29726892569964314,-0.39315816658044433,-0.37622282040450156,-0.7773351291805565,-1.1888486735776997,-1.0039383336405991,-1.0298417248490377,-0.6474534019302312,-0.19995204482298495,-0.9309963611230304,-0.7542112911030675,-2.4652175233295726,-0.7730737430589474,-1.3913837846324397,-0.4560575523616122,-0.734668846725887,-0.7045054512362908,-1.0802852866912926,-0.5839958849078165,-0.2160612081170285,-1.5922409967991955
Androstenedione Metabolism,-0.27180879406784053,-0.27180879406784053,-0.6426628560591191,-1.1448597352463903,-2.2632108049583075,-3.1071744548299383,-1.5973532529957797,-0.6270009324420965,-2.3063103056835295,-1.2486890285069143,-2.3875961350598467,-0.4837324664498959,-0.2517198203255478,-0.13722034253017695,-0.07747194771520333,-0.3401434852854198,-0.5411316213526661,-0.5440191781927349,-0.8275664901831977,-0.7244834509065614,-0.7978435042163121,-1.4243578805995072,-0.504267865549258,-0.3735839428613024,-0.5896468024729775,-0.5970219320879664,-0.504267865549258,-2.234060447774245,-0.7032463241722551,-2.494118603944862,-1.7115456184792923,-0.24328493823278668,-0.589387364516351,-0.4021067179510194,-0.5990592304938995,-2.063448292883202,-0.7007270633828444,-0.28766099080953456,-0.7587190711763271,-0.12265660276507423,-0.8074424830099639,-3.956062116463734,-2.284275351587816,-0.41283838098904296,-0.5896468024729775,-1.6224897268384726,-0.7542495635258248,-0.818326253071325,-1.0537629089654146,-0.9854054229985559,-1.2354718691681283,-3.565658162742264,-0.7101938274411563,-0.04572826877098558,-0.6285356670994594,-3.2629387110726165,-0.9590088324623453,-0.7930715273748896,-0.4173586794482274,-0.6958095814790052,-1.8968149735115452,-0.6446045412698121,-0.21588925315885815,-0.7711805363027875,-0.8238818143632832,-1.5268409368470608,-0.9264869844044162,-0.2703103103988074,-1.8678602992084343,-0.8972595806400862,-0.5079366897493187,-0.59015838693681,-1.30275664517707,-1.2376574278719437,-3.5568472207733866,-0.5522674535639167,-2.153115247386647,-0.8171154658691725,-0.5442981558686822,-0.12355585338263053,-0.9332157598318351,-0.974760755137775,-0.7896897316152093,-0.988145568211761,-0.37117510162743955,-0.21588925315885815,-0.6656340339803369,-0.41606818737308054,-0.6762689538091395,-1.4929456953437608,-0.89922220792462,-0.758088792693104,-0.806389594897353,-0.1157470162564371,-0.7354731413520953,-0.6053115485619013,-2.9138887414737322,-0.4781226237181166,-1.3590890223873946,-0.5709530601938971,-0.4315462537312432,-0.5116093922449864,-1.2220671894597077,-0.2939517870427693,-0.44969539505004563,-1.0541860654226596
Arachidonic Acid Metabolism,-0.6906522251405043,-0.65263750014497,-0.6787606001573447,-1.1502356168876697,-0.8287384101927545,-1.7168075078216947,-0.6202238480927547,-0.3759986085899928,-0.641096122487262,-0.4718336534955314,-0.8160411895070313,-0.8077951018894257,-0.4656278469317492,-0.4558887699622625,-0.3083730090357514,-0.6106389549836277,-0.41139407559099894,-1.3468001197489612,-0.9660021698667404,-1.0185425692391814,-1.2913998014680657,-0.5595701206718032,-1.012033167345705,-0.13872471002713874,-1.2670321655307215,-0.14497700340787523,-0.6513080349317331,-2.082862867538598,-1.1607282625542152,-0.6252555251356509,-0.42171917995838154,-0.19161337938582312,-0.49988330029222566,-0.3831552941799522,-0.48418485039594333,-0.581224649004998,-0.7073701204330262,-0.46322538508909283,-1.0021179941775724,-0.18432850031003864,-0.9854258216109885,-1.0383105585160195,-0.6664678610489676,-0.5600464625051399,-0.6111569928388114,-0.6704416054820127,-0.7030651948525989,-0.6344424151332584,-1.3713908224267504,-0.19052982992198803,-0.28498319504580966,-0.7901597690701927,-0.5155773718066665,-0.12935308104034904,-0.7672593188904336,-2.50580237127578,-0.24514555356091852,-0.8575602444822858,-1.5930608016405963,-0.8315600987637755,-1.041051119815734,-1.2950581091577622,-0.7950578898218302,-0.1177028823212143,-0.7304083959067562,-0.7901597690701927,-0.23393944193745797,-0.29890495863823324,-0.3083730090357514,-0.6393458272157195,-0.7463415821063999,-0.7358942938847237,-1.630254088959654,-0.6188146791392236,-1.1880246379739376,-1.214962812297565,-1.382581944658238,-0.8480260005520347,-0.2890625551201263,-0.3522093983814415,-0.4684369814119226,-0.5844307849601855,-0.8862394705159046,-1.0675956347277038,-0.18431157007297755,-0.46103582893970185,-1.1290872089939576,-0.7525296690240635,-0.7249282666395016,-0.6099258306689399,-0.7962307093600721,-0.8430543060966883,-0.6987381266527625,-0.6034039835728336,-0.3244469252629658,-0.908886359298059,-0.6006429156808931,-0.5792747897862641,-0.906494617699438,-0.5237569978941253,-0.2890625551201263,-0.7652179354790926,-0.6973885051960128,-0.5366663124395145,-1.1805828204778024,-0.8238822814511507
Arginine and Proline Metabolism,-0.42051745601215096,-0.19348115301004543,-0.898795794627712,-3.056650180412687,-2.58048275910054,-1.9134714117111085,-5.438139818110709,-0.5583145681445721,-1.2186525313596674,-3.5129604547955795,-2.575642013514174,-0.23375158205587376,-0.6817357010652136,-0.23023136880268585,-0.3688050302812459,-0.12535343975816074,-0.21697096049647716,-0.13512225014162782,-0.2267968036188805,-0.5859428380345036,-0.44555456426174755,-1.1959687264373893,-0.2797447430061892,-1.6178394707630073,-0.30090260318556794,-2.5206445361390117,-0.6373167115005065,-2.171219828386786,-0.6580030126393761,-2.973289008487729,-1.3595215742778748,-0.2448756612051105,-1.7783641795065286,-0.30115742552341823,-2.4107134222974733,-2.9791038274320596,-0.4443005937896531,-2.364099206223817,-1.0002514645455272,-4.170156127218956,-0.13181957379283007,-3.8110545334921726,-1.9506867560905046,-0.3686397986917091,-0.46182444075386136,-1.2459343014033795,-0.5792966747070327,-2.2673478659764323,-1.5618422676091828,-3.085561124726343,-2.977993587793549,-1.0407253086556039,-0.9717130736882349,-0.5759299555577299,-1.7730312929285015,-2.1514952701388306,-7.936227257428429,-0.907286121673145,-1.2224716308470076,-0.41054279022490764,-4.845639279682393,-0.16393030705390602,-0.2521196861775635,-2.5162440463230547,-0.9423153100604896,-2.121479429149927,-1.2791769035772576,-0.3310872664774788,-1.2885976515446296,-1.0875434871356968,-0.8987957946278169,-0.4287118144353626,-1.6607864507122339,-3.437933911164901,-1.621155920702678,-2.0552011023530423,-0.7085798187405504,-0.833575250933994,-0.895434092084971,-0.9425605689310889,-4.1494103567424165,-0.9946718403761311,-0.46280890158486765,-0.2652413403333766,-1.800609844029272,-2.223825317163711,-0.3964937269600763,-0.14719121275667224,-0.3679979152665002,-0.7045465334023246,-0.8705142908023431,-1.0271156126557281,-0.8116636146075378,-0.26444218865121577,-0.6928173634439628,-0.6283652274826669,-2.818661423093208,-0.870898554211842,-1.0024390833556696,-1.547240733698437,-0.6935063999559227,-0.3455446487914562,-3.6655948976062094,-0.2595501226636697,-0.14477310254844517,-3.705444200187679
Aspartate Metabolism,-0.7247489097379769,-0.5512948240111899,-1.010243346906479,-3.055234058152267,-1.7478979503666747,-0.6655152150056706,-4.348782098884065,-0.8735591084605283,-0.8331203127382917,-2.414397737595341,-1.9126825952786541,-0.2859684029381244,-0.6109645135878,-0.42187984414530894,-0.4647956135356768,-0.6452464360136001,-0.9675695460357762,-0.3721061894018877,-0.39598360219554846,-0.3642677379241749,-0.49024561560701047,-1.0128848643923314,-0.46531937044796595,-2.6202257809689273,-0.2113754553941195,-1.3312038767049936,-0.49293238644875825,-1.0127039761830186,-0.8185708974462066,-3.353072309839258,-1.0437903250405347,-0.8418156726419446,-2.188788080748947,-0.3107959030292378,-2.4425418888604558,-2.7259774748423347,-0.5091225944494276,-2.225982200181543,-1.0984964285933796,-2.3774704743978217,-0.17381987793269263,-3.328091433042176,-2.7245697206789328,-0.6280958179730152,-0.6538381006209116,-0.7171275229895298,-0.8062484131559046,-2.9772851625738177,-1.8034877131504077,-3.259104188006919,-1.6689397983291252,-0.9928985279810962,-0.6657975961104607,-0.8450373498434411,-1.4751932625988293,-1.2703855120642706,-5.506626063750908,-1.1908435119122556,-0.7933741476978242,-0.06135395758181014,-2.390416734347851,-0.1853327998776247,-0.5830755054168794,-2.2769661300821,-1.0524643272316159,-1.6564583351191688,-0.7186032436869193,-0.3421843784100625,-1.3582532972926695,-1.2611187997903262,-1.1142236010907154,-1.111352619236013,-1.4588451788401953,-3.0011002275594882,-1.2580200290389245,-3.1404387889781287,-0.7179653181400902,-1.1499236963319612,-1.2963722409656455,-0.19034321394235157,-2.9631572949852862,-1.0539126406743142,-0.8962997111097958,-0.32119037388061455,-2.192438108328121,-2.7490633834836267,-0.580081158511748,-0.801211910082069,-0.44129328032850024,-0.883333734909121,-0.5880749597686501,-0.8594883236238534,-1.7286641286605662,-0.064016022652774,-0.8569937146521475,-0.7566608025310572,-2.246042196393577,-0.8489769949090615,-0.8686548923980933,-1.4327825446816356,-0.9511295250355056,-0.7663100807822757,-3.6978319993111453,-0.801211910082069,-0.10665385945130039,-3.1616568722379195
Beta Oxidation of Very Long Chain Fatty Acids,-0.38612439685723565,-0.8305082961362543,-0.17574425846408548,-1.2866646714595016,-0.9214015848293318,-0.23547901411324323,-2.4082927399081613,-0.25636358481212596,-0.32437223176543306,-0.5649380425932935,-1.5584218684453368,-1.0611683815221769,-0.3003872829857489,-0.9070175049708722,-0.6204122160794422,-0.3313472538217463,-0.6425043845174933,-1.2511525650400381,-0.5213702875294527,-0.8582928545233496,-0.25636358481212596,-0.706012802852515,-0.6184592239847464,-0.9214015848293318,-0.6302701885910019,-1.2061737940877642,-0.5482644452224797,-0.24994444236413896,-0.5407635644675695,-0.9412317778396999,-1.074785165325818,-0.4788932674576191,-0.52985598104044,-0.6425043845174933,-1.402554396461341,-2.2055662788839783,-0.6365127614626607,-1.120445297668807,-0.8407795935440068,-1.8405499529454485,-0.9327641183334974,-1.3768800839602047,-1.3091883142714007,-0.4225415171832206,-0.3564792561942855,-0.311009665996531,-0.5591769929353464,-0.9799801514420748,-1.7299784237499582,-0.4701451378256717,-0.45716587936143943,-0.5160483217042277,-0.5467186442172797,-0.6808870067795029,-1.6452743044359506,-0.06968856887884915,-1.1007555574683672,-0.6453488454175466,-0.7424166452081195,-0.20518834748155576,-1.6128029906748316,-0.22404354368026366,-0.9569258081816733,-1.0148467388600475,-0.7259419603190775,-0.43579580790045125,-0.48993603080829357,-0.8582928545233496,-0.8349038950841546,-0.7862270912106091,-0.5177934493374192,-0.300885765626041,-1.364790555379068,-1.34469023083338,-0.7265788318726315,-1.821528763705249,-0.5740787049158272,-0.5957005227714361,-0.24039629019813785,-0.9611552919875935,-1.5109655132110262,-0.4140288220208567,-0.5552033983765088,-0.33042733517862566,-1.1841866389696665,-2.343987786840472,-0.8582928545233496,-0.3680406739596601,-0.5165371204104728,-0.3311612908529736,-0.3739637033481767,-0.7775917531082873,-0.4323873739669828,-0.2903601921336961,-0.5023100640690566,-0.5457532616657563,-1.2568943165997541,-0.594165467166264,-0.22346842395232727,-1.2310128041471275,-0.3946684756554075,-0.6962751214486084,-2.4391182345638907,-0.3175000327561363,-0.20518834748155576,-1.9380615130579226
