Pathway,Score_AR,Score_ARNTL,Score_ATF1,Score_ATF2,Score_ATF4,Score_BACH1,Score_CDX2,Score_CEBPA,Score_CEBPB,Score_CEBPD,Score_CREB1,Score_CTCF,Score_E2F1,Score_E2F2,Score_E2F3,Score_E2F4,Score_EGR1,Score_ELK1,Score_EPAS1,Score_ERG,Score_ESR1,Score_ESR2,Score_ETS1,Score_ETS2,Score_ETV4,Score_FLI1,Score_FOS,Score_FOSL1,Score_FOSL2,Score_FOXA1,Score_FOXL2,Score_FOXM1,Score_FOXO1,Score_FOXO3,Score_FOXO4,Score_FOXP1,Score_GATA1,Score_GATA2,Score_GATA3,Score_GLI2,Score_HIF1A,Score_HNF1A,Score_HNF4A,Score_IRF1,Score_IRF9,Score_JUN,Score_JUND,Score_KLF4,Score_KMT2A,Score_LEF1,Score_MITF,Score_MYB,Score_MYC,Score_MYCN,Score_NFATC2,Score_NFE2L2,Score_NFIC,Score_NFKB1,Score_NFKB2,Score_NR2F2,Score_NR5A1,Score_PAX6,Score_PAX8,Score_PGR,Score_POU2F1,Score_PPARA,Score_PPARG,Score_PRDM14,Score_RARA,Score_REL,Score_RELA,Score_RELB,Score_REST,Score_RFX5,Score_RUNX1,Score_RXRA,Score_SMAD3,Score_SMAD4,Score_SOX10,Score_SOX2,Score_SOX9,Score_SP1,Score_SP3,Score_SPI1,Score_SREBF1,Score_SREBF2,Score_SRF,Score_STAT1,Score_STAT2,Score_STAT3,Score_STAT5A,Score_STAT5B,Score_STAT6,Score_TAL1,Score_TCF7L2,Score_TFAP2A,Score_TFAP2C,Score_TP53,Score_TP63,Score_TWIST1,Score_USF1,Score_USF2,Score_VDR,Score_WT1,Score_YY1,Score_ZNF263
Alanine Metabolism,-0.3515863129759137,-1.408937552353879,-0.5989981512597188,-0.2019165363935123,-0.6123758160553783,-0.9899905802075758,-0.9611552919875935,-0.6414854411946548,-0.6934076795391868,-0.13435683660769265,-0.7492162751295123,-0.8588084178812739,-0.55520339837666,-1.193824143374635,-1.5496548506532872,-0.5019680563962918,-0.911996393074646,-0.6266155382086669,-0.9699469109565972,-0.41875709456450205,-0.5019680563963905,-0.3449491525801514,-0.9468418401046239,-0.156638403279844,-0.5279712166893779,-1.0232887771405579,-0.7332014891799652,-0.7725899335558652,-0.5189737902441169,-0.15607524353620966,-0.3900665826116879,-0.9793622540788434,-0.11587148951267927,-0.7960467142121275,-0.21649054681296329,-0.3699668527771828,-1.0436602351693987,-0.5749724341909094,-0.5457532616657563,-0.28737088144398554,-1.4039457515363676,-0.09511723775064708,-0.286711587225087,-0.7060128028523021,-0.6202727032266884,-0.886469908645676,-0.795890443033697,-0.3671971919396059,-0.49430320176842124,-0.2271781349517215,-0.33042733517862566,-0.5902671325235722,-0.6007406526402151,-0.5512931165199132,-0.33115713889503234,-1.1884173249065175,-0.04848512575040875,-0.584894516334235,-0.5457532616659075,-2.826215718826524,-0.4642333601538302,-0.8068759934631532,-1.94368424247007,-0.05782677516586007,-0.4802630238815495,-0.3783541894578274,-0.5453567315083522,-2.979994180466348,-0.18041318021080063,-0.4493888969384242,-0.49753801518544155,-0.594165467166264,-0.1048398867263146,-0.1528726160312395,-0.8542259182467831,-0.0975863547174611,-0.4982598948746729,-0.42572632718863856,-0.3093105060772531,-1.3074451737422603,-0.5960078231174636,-0.5433457661313117,-0.9225899598963849,-0.9070704044866734,-0.6820392704609027,-1.316519245305532,-0.6918337003407193,-0.4737551663160668,-0.4858918729382685,-0.6234928260897821,-0.6123758160553783,-0.34077802231373683,-0.8277667134404545,-3.9152382361536215,-0.8176297253195816,-0.9601881633997524,-0.7265788318726315,-0.25734064681748275,-0.40091192611645116,-0.6356121134564081,-0.3197085077267231,-0.5059541755389783,-0.23267801199124524,-0.5717105375443253,-1.7497166911076807,-0.17894295371648694
Alpha Linolenic Acid and Linoleic Acid Metabolism,-0.8022866450981764,-0.5525116778526555,-1.7889435918245122,-2.468681562866174,-1.0930893966501773,-0.6683201835004391,-2.9753676756667065,-3.247979888989877,-4.621442100115018,-4.171244601223795,-3.137535649677419,-0.4860361899007442,-0.03978150385023951,-0.007932341356658199,-0.018750106913594817,-0.06836693253292642,-1.614732608770243,-1.3568873817812899,-2.1327071502423887,-1.558356134168508,-2.3540095401557735,-3.8525090120910477,-2.185892031260379,-5.467914062947233,-0.5073961596408931,-0.13053176079166529,-1.5534268918374847,-4.94409710017724,-4.922046959434188,-4.7446871261285475,-3.7606438485155795,-0.23385241906575815,-1.7407888393921538,-1.3622726515487031,-3.4819186501806048,-2.242625537201574,-1.2140454082757437,-1.1474662142933367,-2.5880371689240445,-0.2557834786286658,-0.7279024743095773,-3.1517731816394052,-4.592224429129366,-1.6436220871522125,-1.0613025863614312,-2.775623844942099,-2.1327071502423887,-5.12192057041718,-0.32267536358934434,-2.609025118129227,-0.5917495543051666,-1.4269842054149666,-0.09095459645914575,-0.08235604906103022,-1.549019253533193,-1.6208274652358248,-0.5953223541332128,-3.773531870867643,-0.20755772644292753,-0.4507396299173938,-0.4557380866999451,-0.5361301804287618,-0.007932341356658199,-1.3964913689232252,-2.805002217760915,-6.2793954991223835,-0.20320606813258307,-0.1772776799619224,-2.716156012758514,-4.034167812868893,-3.990877391825376,-3.2889541057389877,-2.5362437090180983,-2.35792674476932,-4.398285403881419,-1.1349347812985748,-2.528944470276606,-2.320652303505473,-1.4298539408087394,-0.10545186968722282,-0.7342704605357575,-3.187932800370397,-1.5956842998159968,-1.5257053399733302,-0.6013126494409338,-0.6082618403891505,-1.5721065123647593,-0.5059353267092244,-1.5165429139759383,-2.8930328290427108,-3.137535649677419,-5.8696318326526615,-3.786496848032053,-0.025886770401264823,-2.0686717771361116,-1.3158207211206365,-1.2634395390722244,-2.8326777158838303,-1.0569340175907453,-0.6373886675335202,-1.2140454082757437,-1.3241726101511826,-0.6782938340755058,-0.1923649236004696,-0.16016250465786216,-0.8658700017735266
Amino Sugar Metabolism,-0.7306406088755307,-1.481696342846073,-1.8409631047230013,-0.2836212201462957,-0.704542773588267,-2.0615043251538014,-0.03194903409824119,-1.3318505487645727,-0.6058541210905432,-0.30011130553528814,-0.6195223172231134,-2.1417657929737537,-3.055234058152267,-2.8607470707523404,-3.9012730236919406,-3.7315746422514318,-1.0343753268367888,-1.765467754932561,-0.5032282770430485,-1.832135079309423,-0.8481731733089216,-0.8099593252706913,-1.5023747975825175,-0.381417112327873,-2.028273905938062,-0.29186234943840705,-1.8907534052199737,-0.5233271941016575,-0.9693555164002894,-0.1285073697583091,-0.8274806291142974,-4.078721371482803,-0.19348115301004543,-1.092102815444968,-0.04348673422576531,-0.15281561593674656,-1.9332198708326027,-0.7422707325950827,-0.3282816048496042,-0.5343213640910801,-2.728703095927568,-0.10426696454299687,-0.03995468902282071,-1.1180074423553894,-0.6538381006209116,-0.7263443692078267,-1.2693109959092992,-0.24253245785306524,-0.16882344230612648,-0.5345510561925108,-0.3798548101304623,-1.6015094907673089,-1.4767174836180297,-1.1908513607520557,-0.26716238265898007,-1.677850250117865,-0.05598816964098877,-0.49593196836730424,-0.5691844535764605,-4.112009759568785,-0.17719208388635627,-4.46154590359642,-2.1620358378177182,-1.112737874771355,-0.9044960216314176,-0.26716238265898007,-0.48359909902058007,-2.0554047154181485,-0.09318000336870955,-0.8187155590143197,-0.5520978046769857,-1.083090461205565,-0.24045923083491047,-0.3414740104114331,-0.160933506159401,-0.03194903409824119,-0.6163514282697143,-0.7054999861878266,-0.3663865139590451,-3.580438644188211,-0.160933506159401,-0.8974425940307783,-0.6857535302867501,-2.97514726876769,-0.22315793404441217,-0.3497702413295102,-1.2018536171238139,-1.4240954438412692,-0.8631221631006541,-0.7802372822049272,-0.7347467589813691,-0.5893926534045603,-0.5372876177518859,-6.180809339733576,-1.6783547134068777,-1.0168681516114744,-0.09008784715862186,-0.3282816048496042,-0.6904863447906547,-0.6882899994883209,-0.704542773588267,-2.350651869834716,-0.1366025618607929,-2.031305512159677,-2.1419779299396198,-0.2676975983400229
Ammonia Recycling,-1.360834901828248,-1.0095065396524208,-1.025848677531201,-0.2693137551062977,-1.0389717562841736,-2.4859857855752447,-0.030337549941771257,-1.8905948224730444,-0.3954185360856285,-1.0775254885858587,-0.37162662007408087,-1.8308844285714456,-3.688879741038062,-2.4288203039528686,-3.574861791447012,-3.9761670947550707,-1.2303180349011162,-1.0588651606466857,-0.7008576697183907,-0.47561426182210614,-1.0138346373056877,-0.38748027259760254,-0.7897016949703389,-0.5801387388208644,-1.0945629432678108,-0.4512012519085572,-1.47112211720066,-0.3321252422315539,-1.316271281110822,-0.06078705252269027,-0.8840123013731361,-4.249049916360583,-0.0531641361200274,-0.8308058464084097,-0.4512012519085572,-0.06841701775399887,-2.541284612686186,-0.23755650510500517,-0.7607832530259345,-0.4588963436964301,-3.5293294883946094,-0.1374060671442601,-0.19177292162032708,-0.7562456463341586,-0.7562456463341586,-0.9912340374410578,-0.7607832530259345,-0.2302980014362628,-0.1356640640688353,-0.6636736214757889,-0.7846307148405609,-0.5745794114717208,-2.417759138018141,-1.4719706216765582,-0.6508543107214538,-2.547788834664471,-0.3263120572812632,-1.0775254885858587,-0.6946358549971319,-3.174430309836094,-0.32424760843660433,-1.752315377913694,-4.130462610129843,-0.8152881598546319,-0.8477111223494098,-0.2652619515202432,-0.9482419749807819,-1.357347866801321,-0.40882116964581955,-0.6255795867468031,-0.9384764817231578,-0.9524922545624794,-0.10667303430849395,-0.07675399968782132,-0.18372131572115483,-0.16053119535582036,-0.9826013239898335,-0.9912340374410578,-0.16484429952278065,-3.3283850688877052,-0.17598403169774549,-0.8698542889502358,-1.0018876653823718,-0.6447255468192544,-1.762244091470768,-0.278990872473642,-0.9049764884132575,-1.1232331103593327,-0.5880469226659909,-0.8490457636530988,-0.637188700902143,-0.47902466285957623,-0.6354840632372759,-3.901673103558368,-1.3347112982062197,-0.7853241746580906,-0.06841701775399887,-1.292264033105039,-1.1779335237157025,-1.076997342547246,-0.8312317530915122,-0.7014669732207636,-0.5037563094776742,-1.4701194130360697,-2.86140604251234,-0.30851486748576545
Androgen and Estrogen Metabolism,-1.2530633265661475,-1.6776650140937197,-1.0648739294885172,-0.28471230161517364,-1.4411807106805372,-0.42414448027865964,-0.5325375832819016,-1.825290999980616,-0.2936898772986376,-0.3045578563059085,-0.8006479528055779,-1.0068185060750852,-2.214249057288063,-2.552645096567075,-2.2602191917276397,-2.187362807324677,-1.0483666536344929,-1.033662177543285,-0.5501449384224791,-0.5944477909283323,-0.6391653496789516,-0.12386235260030079,-0.843138143895678,-0.7380534577363089,-0.7451635125552212,-0.6733133698316603,-0.5185253099218777,-0.18790899093466668,-0.8119799108241812,-1.5012829576010374,-0.3021691953237679,-2.085942621514269,-0.5925710015113806,-1.2844457718085414,-1.4880690633195974,-0.04612901746233312,-0.5792011377874298,-1.277414382651275,-0.5969626222789982,-2.4776973121565833,-0.7136625763401842,-0.918080867311198,-1.1103516571792644,-0.6768624326821782,-0.8119799108241812,-0.7810254071741324,-0.6591749776034493,-0.7063999873044265,-0.4637113554135648,-0.40257074780773866,-1.0973760445363672,-0.42405451038217157,-0.7403287446562777,-2.808882218129177,-0.3575549990520274,-0.06595520922233733,-1.6953106142640335,-0.6391653496789516,-0.8447912364512354,-0.5804711965663454,-1.3085527235744552,-0.7934603678690197,-1.0645859470341354,-1.1663724903615882,-0.664190507678962,-0.16006740834001815,-3.504206334600092,-2.0593495337266146,-0.2006619208950426,-0.6893474499192342,-0.6994474382136403,-0.6351018401954854,-0.27871634187010974,-0.6893474499192342,-0.04797384423339255,-0.6280069434673902,-0.5354681545243882,-0.664190507678962,-0.7166745743132689,-1.9355952085575043,-0.8394153693532465,-1.0413950778866743,-1.1386228067605186,-0.8171585513725975,-1.9275214878599871,-1.4394636144253752,-0.4207272061819625,-1.6985750116013874,-0.777335129180649,-0.5697843895674766,-0.4464245217033321,-0.26023552971547126,-0.5013966680242926,-3.4736247003238407,-0.9309963611233205,-0.7542112911032373,-1.426004917307356,-0.7730737430593084,-1.7694028680679605,-1.2254162856076514,-0.7346688467255259,-0.7045054512362908,-0.3679895996197951,-1.7423014417256235,-1.109942840308505,-0.2143438858745477
Androstenedione Metabolism,-0.6928933023569641,-1.0784962643022986,-0.6426628560591191,-0.45861660915341335,-0.7701280979417676,-0.064016022652774,-0.6804078238974713,-1.242709312027542,-0.1530307159067076,-0.1648099897721505,-0.3731706101001103,-0.648629754678127,-2.4152128493625606,-1.5268409368470608,-2.2931015572172204,-2.4208435312218564,-0.73673080109738,-0.5440191781923708,-0.3995230392384237,-0.4316934094744733,-0.6656340339803369,-0.08995638948615253,-0.5298008900600011,-0.9310082123320642,-0.5896468024729775,-0.5970219320883305,-0.504267865549258,-0.1772777850393669,-0.5896468024729775,-0.9584345807515855,-0.1742022449026741,-2.5265308229460204,-0.5893873645162646,-0.806389594897353,-1.3588390077891557,-0.10320728721886435,-0.7007270633830697,-0.41318047388078055,-0.3173303095834762,-1.8388887683805404,-0.4605415295808843,-0.7896483925207868,-1.2445102162606436,-0.41283838098943165,-0.5896468024729775,-0.5671709695306236,-0.47869400437362697,-0.5800597404711669,-0.38527196977966927,-0.14023207529325554,-0.6297361083396851,-0.12786182456396378,-0.738057633854077,-3.2629387110726165,-0.4649563082581715,-0.04790109788295095,-0.9131563074276284,-0.46416444512119337,-0.4173586794482274,-0.6249003721385465,-1.444480151967206,-0.6446045412696455,-1.0828783614220137,-0.5411316213526661,-0.49538671748488494,-0.2115982276654293,-0.9264869844043297,-2.0397052795552972,-0.14573126625532204,-0.7433204154232922,-0.5079366897493187,-0.5901583869369766,-0.20241614660421006,-0.5894241005449556,-0.345435792562834,-0.6195726280273453,-0.38886543908530297,-0.4823359081635842,-0.9488571466816544,-1.8575539338009666,-0.7280870894732329,-0.974760755137775,-0.7896897316150426,-0.7393945628652306,-1.1468218570071862,-1.4046914892465023,-0.8769573390531733,-1.8368777097676703,-0.6789695233333213,-0.45405096004710527,-0.43256367568545456,-0.3186674198771525,-0.45692238795374795,-2.4753720913048163,-0.7354731413520953,-0.6053115485618149,-0.35627569070188797,-0.47812262371789127,-0.7464598438406503,-1.3625289644025032,-0.5033230541444842,-0.5116093922449864,-0.20914616898061125,-1.2029356208568378,-0.9579583624857441,-0.15566751449038646
Arachidonic Acid Metabolism,-1.3505890690884461,-0.652637500144896,-0.7251463181310783,-1.6578887874811417,-0.605711747745277,-1.0739431496133756,-0.6202238480926653,-1.9387319715234899,-0.434359488015551,-0.6086135272037223,-0.8160411895069571,-0.8077951018895676,-1.1147941118002547,-1.210710821253616,-0.9956068702575078,-1.1147941118002547,-1.7405357908285208,-1.346800119749103,-0.8580685566860686,-1.5642927371779947,-1.2913998014680657,-1.261974791457878,-1.3625809571029825,-2.990966522526962,-1.2670321655307215,-2.4627370130218216,-0.6513080349318751,-0.17694798051773708,-0.903215404093159,-0.625255525135509,-0.8036054834319961,-1.2085916298417745,-1.3498075399096754,-1.7405357908285208,-0.8343637440785465,-0.3409146830861222,-0.35496878675770754,-1.8228321841354451,-1.002117994177409,-2.511083622903057,-1.483123463892574,-1.038310558516069,-0.6664678610488257,-0.6706475845630052,-0.7692015568501963,-0.6704416054820127,-0.7030651948525989,-0.6344424151335453,-1.3713908224267504,-2.6447740418300705,-1.8934489400824668,-1.1514704850701392,-0.5892547852516153,-2.137548743261495,-1.1880246379739376,-1.366292089413135,-1.8112562198890387,-0.8575602444822118,-1.5930608016405963,-0.3754164580516866,-1.041051119815734,-1.2950581091579259,-0.7950578898219722,-1.609104375202441,-0.7304083959067562,-1.3765313475372878,-1.9395152199152297,-1.073844232629052,-0.6037440335165996,-0.4237196222142065,-0.7463415821063104,-0.7358942938847237,-0.17491126596008325,-0.6188146791391742,-0.7483235083870546,-1.0266309663345137,-1.3825819446581145,-0.84802600055197,-1.8564519946648756,-1.5031305482658757,-0.4684369814119226,-0.5844307849601855,-1.0507585202209648,-1.0675956347276296,-2.210147091929852,-2.410939325795387,-1.1290872089939576,-0.7525296690241283,-1.632913102539679,-0.6099258306688659,-0.796230709359998,-0.4259749697187161,-0.6987381266530587,-0.6034039835726916,-1.5099975665390155,-0.908886359298059,-0.6006429156808192,-0.5792747897865109,-1.3098722027424086,-3.70103337857452,-1.6699488062633774,-1.5438815898197065,-0.6973885051958707,-1.1842098364901104,-0.19916225706367263,-0.43252409988398915
Arginine and Proline Metabolism,-1.243403743438386,-1.6662432611427502,-0.8987957946278169,-0.6311577614963367,-1.042798961293886,-1.9134714117109788,-0.5730423256492587,-1.6014476176247476,-0.627359201445497,-1.2051916205685629,-1.0724038871035997,-4.3867122873826805,-2.5930735103385145,-1.525853076891124,-1.7380978369736466,-2.4713209172776978,-1.3134099016223455,-1.9592394202619632,-2.4050858034191425,-1.5506436588143613,-1.6484339332306002,-1.195968726437451,-0.8641409365489026,-0.15449651948620213,-1.6851379437285507,-0.7952227499390053,-2.0234921945249735,-0.8578979618576017,-1.258994770478738,-0.18372131572115483,-1.359521574278035,-1.8827591842730191,-0.1155994085081588,-2.0561497806074365,-0.3707393136013875,-0.5018643629078796,-2.247945912399,-0.3707393136013875,-2.5469800217558083,-0.4380572572476817,-1.4320130664398434,-0.173970609075608,-0.24695980160072592,-0.9144908207718593,-0.9041616249045817,-1.3506592309297063,-0.8264051591042723,-0.22281562014679318,-0.19004055665418548,-0.4241489224497398,-0.9126167168342031,-0.41560996287352775,-0.5057528223556426,-0.8641409365489026,-0.8429214907906276,-2.1514952701387626,-0.019187286923313295,-1.4320130664398434,-0.47194163024411107,-2.7466785445577186,-0.41054279022490764,-2.1030999436080458,-2.4534425158086908,-0.12781806113300692,-0.9423153100604896,-1.2155208164358404,-0.8483145511460853,-2.718866083355051,-0.8391100419897931,-1.0875434871358574,-0.898795794627712,-1.4629199847505023,-1.660786450711987,-0.9800260057049931,-0.690008507245432,-0.5510643505207624,-1.3506592309297063,-0.8917669653484469,-0.8954340920849216,-3.722262805406075,-0.26444218865121577,-1.4320130664398434,-1.2969670192246163,-1.9385799382257174,-0.817168423161755,-0.9053633226930501,-0.9720146064025147,-3.4391812907933734,-1.258994770478738,-2.129036284856652,-0.7014524162126138,-1.0271156126555985,-0.8116636146075995,-5.101181527632807,-0.9680003621058254,-1.4161772761037261,-0.3688050302812459,-0.8917669653484469,-1.775709073473028,-0.3310872664774788,-0.6935063999559227,-1.197071257738757,-0.5915638238424752,-1.610125454791323,-1.9561759227813118,-0.480566751453089
Aspartate Metabolism,-0.7247489097381373,-2.070368481261275,-0.6517566666668395,-0.5476453944188259,-0.7163155302574856,-1.5518375060302916,-0.6422111691729256,-1.2036093393132998,-0.8331203127383411,-1.4517267261405749,-0.39137067826995775,-1.9628243006837724,-1.5550457889096945,-1.4961866181051298,-1.7885675748606893,-1.3403261348146553,-2.2151069616659833,-1.5786380795360642,-1.380715322026413,-1.4298718450196082,-1.213355061419034,-0.7359175345936787,-2.150218655072745,-0.5893926534045603,-1.3947508040043286,-0.9255543792173683,-1.0573413633062285,-0.7711840341329688,-0.818570897446509,-0.1285073697583091,-1.7861413033863798,-2.4396667445278664,-0.19034321394235157,-0.9245272222141427,-0.48359909902058007,-0.15281561593674656,-2.535824284066988,-0.30195063327500443,-1.098496428593614,-0.03995468902282071,-2.452517068733104,-0.17176888076871363,-0.1629470460314978,-0.9294996981919498,-0.6538381006209116,-1.1385323714333757,-0.8062484131555713,-0.1853327998776247,-0.5243347155237938,-0.8156701737069497,-0.6176758441684062,-0.9928985279812012,-0.6657975961101275,-0.8450373498434411,-0.44155564663571556,-2.0618561511525093,-0.08009402266439537,-1.1908435119125393,-0.39833463194394175,-3.2338799216476346,-0.5768173694137413,-2.404028160046841,-2.6652440508090054,-0.10249180571405041,-1.0524643272318996,-1.2703855120642706,-0.7142189011156318,-2.1025854587417063,-0.991516340454636,-1.26111879979061,-1.1142236010910733,-1.1113526192362597,-0.4915369035603954,-0.638611419412016,-0.23805826309178,-0.35792230650278456,-1.1385323714333757,-1.3610469380807981,-0.5577205555191587,-3.91988837480831,-0.3191658517813789,-1.1235686056430014,-1.3610469380807981,-2.75699286058834,-0.5768173694137413,-0.9805982839981855,-1.2414246212930082,-2.267773407622841,-0.54400735417946,-1.1442352345285616,-0.5880749597685452,-0.44994807169103673,-1.7286641286606463,-3.691464597631834,-1.3610469380807981,-1.5972894989879403,-0.430138579304913,-0.5277862161118309,-0.8686548923981736,-0.6882899994883209,-0.9511295250355056,-1.4001937270380835,-0.4920322665574287,-1.4750623707930124,-1.9012932361943586,-0.7142189011156318
Beta Oxidation of Very Long Chain Fatty Acids,-1.2962597830563563,-0.8305082961362729,-1.374076743886764,-0.16870107907570792,-0.3456201631624839,-2.53249398086781,-0.3731564185347985,-1.7783505227208076,-1.67109823397954,-0.879876662131169,-0.9327641183334974,-2.6437815254444987,-0.7265078176431721,-0.9070175049709462,-0.6204122160791828,-0.8990769048146097,-1.4416329153273688,-1.5380815222918192,-2.086034907267922,-1.701384769660912,-1.886441037950215,-0.7060128028523021,-0.7784164456706201,-0.3940127484159271,-1.4862802097736334,-0.2124324128735014,-2.898944207918719,-1.0980555226596442,-1.311772995010699,-0.41200408851865095,-1.074785165326031,-1.197061467212112,-0.29425115496908566,-1.768201016493371,-0.3154328312310462,-0.4435220712119579,-1.94368424247007,-0.22448679272020153,-1.5446499018438014,-0.239193464989103,-2.64746902178734,-0.28892421480526087,-0.9327641183334974,-1.7713683076514362,-1.1329814811867007,-1.5749542437460151,-0.5591769929353279,-0.4065688130420368,-0.17177148922627028,-0.47287627446415853,-0.9087290211664232,-0.5160483217042462,-0.5890549809626596,-0.680887006779762,-0.551105960035293,-1.8204492673613046,-0.17894295371648694,-1.0410366827212498,-0.3891262990085605,-4.263477649693739,-1.6128029906746804,-2.093122639620767,-1.785725187320287,-0.21649054681296329,-1.0930893966501742,-0.7579393006963845,-0.5220192168633763,-1.0627986254430262,-0.8349038950842165,-0.9890828887411428,-0.6163113543449781,-1.0331566803375674,-1.115666909288162,-1.344690230833306,-0.7265788318727828,-0.09202790071649923,-2.2457719743247915,-2.2457719743247915,-0.7239249266586301,-2.111658624785035,-0.15334945250998852,-1.7011096227229903,-1.3462716294925583,-1.2104698668614942,-0.5152716924907993,-0.171476525260513,-1.2593429004823307,-1.1478547055959263,-1.6090585714921972,-1.4846324718429746,-0.6902771261829272,-0.7775917531082687,-0.9140991064945122,-1.8624592815276855,-2.912683349261883,-1.4526828245802124,-0.4714734329923444,-0.9901184946536982,-1.628073693703571,-0.5924243094437546,-1.189838109264085,-1.76198937960107,-0.4642333601538302,-0.739137821756205,-0.8726024211245466,-0.7596667018915056
