Pathway,Correlation_AR,Correlation_ARNTL,Correlation_ATF1,Correlation_ATF2,Correlation_ATF4,Correlation_BACH1,Correlation_CDX2,Correlation_CEBPA,Correlation_CEBPB,Correlation_CEBPD,Correlation_CREB1,Correlation_CTCF,Correlation_E2F1,Correlation_E2F2,Correlation_E2F3,Correlation_E2F4,Correlation_EGR1,Correlation_ELK1,Correlation_EPAS1,Correlation_ERG,Correlation_ESR1,Correlation_ESR2,Correlation_ETS1,Correlation_ETS2,Correlation_ETV4,Correlation_FLI1,Correlation_FOS,Correlation_FOSL1,Correlation_FOSL2,Correlation_FOXA1,Correlation_FOXL2,Correlation_FOXM1,Correlation_FOXO1,Correlation_FOXO3,Correlation_FOXO4,Correlation_FOXP1,Correlation_GATA1,Correlation_GATA2,Correlation_GATA3,Correlation_GLI2,Correlation_HIF1A,Correlation_HNF1A,Correlation_HNF4A,Correlation_IRF1,Correlation_IRF9,Correlation_JUN,Correlation_JUND,Correlation_KLF4,Correlation_KMT2A,Correlation_LEF1,Correlation_MITF,Correlation_MYB,Correlation_MYC,Correlation_MYCN,Correlation_NFATC2,Correlation_NFE2L2,Correlation_NFIC,Correlation_NFKB1,Correlation_NFKB2,Correlation_NR2F2,Correlation_NR5A1,Correlation_PAX6,Correlation_PAX8,Correlation_PGR,Correlation_POU2F1,Correlation_PPARA,Correlation_PPARG,Correlation_PRDM14,Correlation_RARA,Correlation_REL,Correlation_RELA,Correlation_RELB,Correlation_REST,Correlation_RFX5,Correlation_RUNX1,Correlation_RXRA,Correlation_SMAD3,Correlation_SMAD4,Correlation_SOX10,Correlation_SOX2,Correlation_SOX9,Correlation_SP1,Correlation_SP3,Correlation_SPI1,Correlation_SREBF1,Correlation_SREBF2,Correlation_SRF,Correlation_STAT1,Correlation_STAT2,Correlation_STAT3,Correlation_STAT5A,Correlation_STAT5B,Correlation_STAT6,Correlation_TAL1,Correlation_TCF7L2,Correlation_TFAP2A,Correlation_TFAP2C,Correlation_TP53,Correlation_TP63,Correlation_TWIST1,Correlation_USF1,Correlation_USF2,Correlation_VDR,Correlation_WT1,Correlation_YY1,Correlation_ZNF263
Alanine Metabolism,0.015013489895897804,-0.022630907590491293,-0.006052176603577369,0.04446951745809532,0.0165410744342739,-0.032890142862903385,0.1141078674258893,-0.02220873299067919,-0.012660289372729658,0.05073885233870004,0.0010042327951220067,-0.037973497727757315,-0.009981190707550564,-0.026930791236911614,-0.053821061785400075,-0.023273418635269834,-0.016526554565928463,-0.028532037954962636,0.0001260425964768145,-0.0443362915474981,-0.01735685198626793,-0.013636434133301085,-0.034867639569924794,0.019579579899387405,-0.06587249555935791,0.016506624234715887,-0.03785417346391125,-0.03431606185906024,-0.017501875844747047,0.10345817196497532,0.023007703679055715,-0.03306035824893347,0.06760194837977113,-0.013134734516549541,0.05844794270665928,0.007410499090129613,-0.033131116451089904,0.024766526622218128,0.02254122820433906,0.04623168470102269,-0.07656208950833814,0.10387483422264247,0.0625379817079351,-0.03264496673056727,-0.04318569818249494,-0.03045534338317324,-0.06719719630129806,0.05400637298536702,0.0362697173323726,0.012866100410917881,0.01589531104259469,-0.022366351247488498,0.01428924530000584,0.011675355360341068,-0.00033500897620376374,-0.05884872429733127,0.10409021670116822,-0.008241156485389,0.035935057218956484,-0.10791074950560561,0.08005101027080802,-0.05847901879486476,-0.08620470109648727,0.044461627043753435,-0.013667546192818989,0.005868674972846518,0.019910432885696366,-0.06097969486719331,0.022489123444745924,0.012781519378114555,0.01947947574571712,-0.016878603744787907,0.07976362881885272,0.05951844642278312,0.01667304156477739,0.0865047692617614,-0.02008318291420527,-0.0026269610446515157,0.019662103620443967,-0.020144965401327968,0.07835754706431818,0.0011318607609217576,-0.044828355909193644,-0.09422570795944678,0.025360746044981685,0.05945478495678011,-0.015307505842681162,-0.04672390910456787,-0.04817988391970469,-0.03751113137451984,-0.04845092432250165,-0.021809137525646706,-0.030693128553010405,-0.09004565706479563,0.00027612107828039404,-0.01879412362880001,0.08277364318048705,0.006847778483809513,-0.045599994621903756,-0.0021797264376613615,-0.011148622934333398,-0.02969449852332052,0.04883811632363434,-0.013330106173860986,-0.05102221963688578,0.07350570504486323
Alpha Linolenic Acid and Linoleic Acid Metabolism,-0.053939144025917186,-0.0014502896984953189,-0.10141624162966507,-0.14791274465993004,-0.03202600789294192,-0.04781414847866744,-0.19559750802798198,-0.15330768106393683,-0.17397819902395026,-0.18053083761640637,-0.13055856033317562,-0.020633304478210622,0.12040203964572457,0.1512673013760068,0.11700019851271595,0.11015994874216435,-0.13720715553064014,-0.09374841558288378,-0.14296123538485955,-0.14352571368736328,-0.196347524447418,-0.19973368679565304,-0.16515980808410835,-0.14236093006837275,-0.09630524279356609,0.07423881333773398,-0.14246616637378218,-0.2227015623225621,-0.22717600146381595,-0.22049373553017534,-0.1437183904309987,0.06161996713954807,-0.08421355468936674,-0.08530667770870884,-0.09117395185905608,-0.12190436973011105,-0.03941710801589417,-0.046238141947745726,-0.14309844444915898,0.07112400127834964,-0.08190772157849739,-0.1834989356568494,-0.17819891540194344,-0.11839692991642004,-0.11746191301917744,-0.20598398201774343,-0.1749119222992132,-0.1890682327619434,0.03920968515825192,-0.15361292109581823,0.010260875672886877,-0.08465092428645596,0.05385889848891218,0.07386502434604729,-0.09019968589228114,-0.10271890649759656,-0.030731831866711024,-0.21164777077610566,0.19177858722921273,0.002583382493031805,0.017137016485676157,-0.019244782861272493,0.22857297199896554,-0.0671883705426971,-0.15453063623852295,-0.21320894520229686,0.07060258730119662,0.07991610888552031,-0.20121647422283218,-0.21084338313410642,-0.21049054973908105,-0.1942974851226726,-0.13858129731057828,-0.08432425471400859,-0.2661569385565462,-0.038152248331494075,-0.20536565491756792,-0.19252621217672566,-0.032080309318158494,0.13010741066595938,-0.08839953035681797,-0.20511451662286406,-0.17397757646200102,-0.1477314482116232,-0.012463648215281288,0.04699658602834696,-0.12400242201687299,0.04871754925440465,-0.13016771484227632,-0.21783443888679108,-0.1957998433383618,-0.2273640982244391,-0.21043745592095497,0.15055766458252506,-0.16288589362096953,-0.13784868402152847,-0.15003919648311506,-0.1576928512414276,-0.0864718041668822,-0.017447296517360444,-0.08627289499261351,-0.068123123055866,-0.052007423583744314,0.08720348043616893,0.04327317146295385,-0.06264668100484554
Amino Sugar Metabolism,-0.025046540921797707,-0.016927755107481467,-0.0789270757071098,0.05245576760721721,0.028413237364863834,-0.054772262456378826,0.1758726815364294,-0.04387719381624006,0.004357419393425552,0.007991407454389868,0.051857155929208164,-0.07134093939009471,-0.08325973217286266,-0.05471177008844933,-0.0672249295691444,-0.09016301856210093,-0.05259155346385404,-0.04824843424656135,-0.018664137208633337,-0.07912178406499372,-0.05154930046285332,-0.013477812275496843,-0.08507607723717833,0.017262991883468057,-0.12222660462946477,0.060096254674750604,-0.07262291528152455,-0.01685364083848715,-0.05426241181962736,0.14614016289138426,0.003551364460631639,-0.10278377743887876,0.09344357570496345,-0.035827323980434464,0.07493540178521312,0.04364090730018041,-0.021904797672269372,0.055070822507918685,0.06031147498159793,0.0375246357242144,-0.12718820289754754,0.16493763224055866,0.1411302630346844,-0.05022276831286101,-0.04693352663956161,-0.07140531335988139,-0.06700550752040182,0.07697164959137702,0.0614121961465416,-0.028646435205352948,0.03477115268607172,-0.004690486074714395,-0.04712134632731156,-0.02492154872784368,0.021919611197269092,-0.056496249570526756,0.1028094974294345,-0.043174711362925625,0.05445701709274675,-0.08571035231558254,0.11773268992965105,-0.08514968074425021,-0.053436694574594504,0.006040972455695624,-0.054950328994272976,0.000970365773985725,0.05240407496283348,-0.03660739094435095,0.023572532520538265,-0.002873804244257461,-0.024027757820822775,-0.06432310320020404,0.08132179001768683,0.03742636606932638,0.07761989270404127,0.13457715461858752,-0.04599657641752385,-0.03034447570584803,0.03468838548958246,-0.0779322740913222,0.14092920287143137,-0.05823498492457548,-0.05238513765120325,-0.097498169823418,0.0624911708102129,0.11140408514729264,-0.057256076792111574,-0.06973989401232053,-0.05094300343118661,-0.038237494530867576,-0.04658550572497544,-0.016789007941681422,-0.04758317938436536,-0.09574776705615053,-0.07630890964013522,-0.07973795066206454,0.16306174087382386,-0.0006376106382036034,-0.02813168775372435,0.03121470250607004,-0.03303939288868992,-0.06496964694862092,0.09593650943915813,-0.04394598470344149,-0.05466272823859114,0.07005509276660493
Ammonia Recycling,-0.04556008924692284,-0.015478424887357648,-0.04159693979691772,0.046970638860803715,0.03273697644883476,-0.024027517343501368,0.1769114822414036,-0.04884650025690675,0.011897102344823132,0.016939436791202477,0.05473854843396555,-0.08063934039301612,-0.0849093108833041,-0.05888481033321286,-0.07144298530667142,-0.09610286616309398,-0.06460718344389847,-0.03929501196729024,-0.029173216665723044,-0.04689867190149525,-0.0424591926833851,-0.004859581916882817,-0.06725523589896976,0.01577389378564684,-0.09664273571369122,0.03923992459559385,-0.04205047810454923,0.02094732618898405,-0.0462736684479149,0.15003991229475377,0.016667736886656032,-0.09269860595581225,0.07707676174590644,-0.02189611219210866,0.05422877438506828,0.04408070446923698,-0.05073002546660112,0.06517021485691825,0.024387896487275528,0.02409298344486295,-0.1245822739537929,0.16452214554932082,0.10934208237296264,-0.01955733031893994,-0.012483238487630567,-0.046514384771675375,-0.05984936310243554,0.07723956454863097,0.042842976098127906,-0.0391042049310619,0.003911797062872697,-0.0006934129350465928,-0.05854010082553285,-0.03257054876530693,0.005309238121205546,-0.017535271595415416,0.07295794966157039,-0.024515018443838753,0.05490140019771973,-0.06196600729880361,0.103399265190723,-0.04308602211119818,-0.08135251062159904,0.0042457743358857184,-0.04408488520323334,0.02628734485584928,0.028527249616742988,-0.036497431420665395,0.014051007321849227,0.009417059469426307,-0.005238719449511552,-0.02813460878877201,0.07647243307625434,0.07776552473564416,0.06215837945336222,0.10250312509736943,-0.03505789100223868,-0.022248715736647183,0.031185366894450173,-0.06985161678165094,0.09497527751323659,-0.04829526962817906,-0.03493603227401433,-0.060617851828206955,0.024479419994323192,0.07139899739265806,-0.05991602995090747,-0.05267852005417963,-0.01554714247334204,-0.03984577573505612,-0.0405813387572808,-0.01142697018181918,-0.04612189790294543,-0.08620633022038895,-0.06760519555561247,-0.06067594365990529,0.16436623459041683,-0.010325573849626834,-0.015760642165911245,0.019773112887176446,-0.05039836496231639,-0.05995083657185087,0.06758102881456575,-0.04853329045255528,-0.06797158969692778,0.06198475794848526
Androgen and Estrogen Metabolism,-0.06351740936229074,-0.027990327828059883,-0.054902417992520054,0.010128375084680553,0.037346690897764226,0.05258848042657745,0.07389383390687052,-0.05545489316122985,0.035156800880960064,0.005053234245992456,0.05762958411442711,-0.04024493287810742,-0.09225080327522135,-0.06937458334217336,-0.08270106219163666,-0.10598758465094989,-0.07602115393307375,-0.02779825178392253,-0.0018445237804570317,0.0031248201822523954,-0.02940091992089313,0.025931653991066596,-0.0710367384408299,-0.02786985621383099,-0.03254774433000722,0.030404152697128636,-0.03414826805291502,0.03518124683296944,-0.03499901249257835,0.0469972943820337,0.04682687270187,-0.08009276075721293,-0.008610812222170893,-0.06459021287048423,-0.025198152328344756,0.06908331031988912,0.010780236250533952,-0.05311183308427691,0.009291369976437695,-0.06969869950817696,-0.03543199599001942,0.09421865958983848,0.05539647230087425,-0.009335565703802139,-0.04373467880588113,-0.0014496414931292863,-0.0455419982526697,-0.009386481938525747,0.02173529895781032,-0.01570231212986852,0.025185923210917407,0.021070139433135373,-0.0349077956454293,-0.08350420830171076,0.02784286552727527,0.11151794545063419,0.003323809831763068,-0.015404687646652258,0.023869909197205896,0.007711117556432493,0.05165404687703184,-0.008467993744939619,-0.0133260366005048,-0.018189727431185642,-0.03940202769859666,0.03240235295098265,0.012715705380607534,-0.06355419633248983,0.021412150902420372,0.0380871690037678,-0.006271251146507188,-0.017410480110009015,0.055079847949522254,0.021714181198293516,0.070320472504822,0.022837500191771262,0.01738154065901212,-0.00518103781338414,0.004226092777681481,-0.06900346855999957,0.006149021835019464,-0.03670962601917078,-0.025957050691988715,-0.020953068217840546,-0.02352410337822061,-0.04027250731782575,-0.04368331325178862,-0.07618993564790456,-0.05552625103422681,-0.009035288802185,-0.015818348205808498,0.004090751819340393,-0.03270229900463197,-0.0884361509685222,-0.035996063665366444,-0.0552064575893632,0.09715930703547801,-0.04433286216522169,-0.04842433748626265,-0.012438020098607682,-0.05632742582975951,-0.04096929013542097,0.03090952885359196,-0.04938611482280566,-0.041450923376499554,0.05865484474849598
Androstenedione Metabolism,-0.05472042057749053,-0.027358751624904677,-0.03942072565482198,0.028746966780522545,0.07287811259569893,0.09773453830548415,0.08658693002760623,-0.04269071756168365,0.06563649054126143,0.03521937437494359,0.08973974757230617,-0.04992568089289744,-0.08971625731080018,-0.06437796558887812,-0.0799431340881103,-0.1076309059711998,-0.06396075984786624,-0.021253443603734587,0.003314041944203084,-0.0050609668135782,-0.011242163519887164,0.033670805989556726,-0.06465665531696155,-0.027563719265654145,-0.0469310974451954,0.023244950974648952,-0.019098932407050885,0.058320529274289434,-0.03354988809125628,0.08250295349260799,0.05991894036794456,-0.07863427479111557,-0.010285790955770122,-0.059433650590375614,-0.019544333492068793,0.06583653253277828,0.001145465407003169,-0.028580091244744796,0.025338342618970503,-0.0767013378973194,-0.01806425721890113,0.1119881167036023,0.07392610892504049,-0.012215533042067586,-0.04778724362547648,0.007662238241470297,-0.03594452429024907,0.013391808397961596,0.027925991199350228,0.01316394433351157,0.02720411239710744,0.054293140232216944,-0.02870080556826675,-0.08909622178588567,0.01025320506928317,0.16338241934134418,0.016039024991805213,-0.008698972650232489,0.03821450795842232,0.013574284984062622,0.06895738125382955,-0.0008207737453494943,-0.03433001683107583,-0.006409633882759454,-0.017472841159548624,0.043074508782258075,0.02978416994549402,-0.06258040095630615,0.03412183830197886,0.0331164648923508,-0.006563084344794223,-0.02049982790632503,0.06658972757569515,0.025863385205855877,0.0935569746485446,-0.0007566778135558883,0.033889860487193904,0.0003419267043346594,-0.011965649939000737,-0.0751149266034834,0.012562215896480093,-0.02685706606450371,-0.03227231276829972,-0.020892573362996016,-0.02536948523987316,-0.049743051653912504,-0.05295012570203157,-0.09280672344692562,-0.05095630003203432,-0.002698203956443407,-0.018380156242022026,-0.005152310402848529,-0.041120417338063986,-0.0781300119917636,-0.017861965110432594,-0.05190322634677361,0.14140578670760154,-0.03961264479557823,-0.0100449888160643,-0.015591375675702727,-0.06652501744246014,-0.05171583486642462,0.058388232264298394,-0.07122590763711201,-0.042089560394692874,0.0556890341618628
Arachidonic Acid Metabolism,-0.035617780175740986,0.004293321872759243,-0.04919432524248377,-0.05842834923050095,0.021639107993483595,0.018737453769793178,0.007136953676337668,-0.06314410959750054,0.007387119270729048,-0.0422415520531571,-0.0030684475666619255,-0.01708674282921102,-0.03564706123326954,-0.020499168387054834,-0.037013328292309626,-0.04124832815451531,-0.07721079046266192,-0.011880343944811309,0.006432560945750698,-0.049077935288384604,-0.016728208748909817,-0.06620959030486075,-0.07087876994601695,-0.06807421778391796,-0.04921811352040086,-0.038812259903756675,-0.01960300528581624,0.034204877224956055,-0.03285546284470169,-0.00559229334084986,-0.004125091789594862,-0.05108652810268329,-0.03316519338193286,-0.07101293804060221,-0.02279093987696532,0.007352698113666521,0.02035027452419359,-0.06266860099311876,0.006183784423717385,-0.06515457187473007,-0.05783665619758004,0.0019527853555043908,-0.007267032198072181,-0.029542171346600837,-0.06411263543602234,-0.035094791430757305,-0.04631975131807411,-0.023290088991271163,-0.0007142049072975815,-0.09698193551616911,-0.048005419125189,-0.03337406199809038,-0.019372224502757256,-0.06367714242033821,-0.02935460594446564,0.055536880782393806,-0.04717740511658724,-0.03744740369494696,0.04157511129477699,0.030519744027712927,0.013023051504027675,0.0006613201043093852,0.017327357245960587,-0.0598787980559476,-0.05197973551407906,-0.06266315774285854,-0.024171316008306493,-0.02589184416298629,-0.06124721082249521,0.005197101821213486,-0.028942310153508566,-0.029671663830954542,0.04854651489678746,-0.008802861871450006,-0.006376061708030507,0.013423053910256645,-0.03499384652820819,-0.0512085258844558,-0.027901475721186675,-0.03191000859147849,-0.03580604175802463,-0.058936679233047747,-0.07168577488741465,-0.0379252288279235,-0.04161385641636505,-0.04192526218159656,-0.04412581124259035,-0.025081876668224774,-0.05604551160926582,-0.0491020207113625,-0.04145185839737146,-0.011232884256810476,-0.052996348759676314,0.01317932414971839,-0.07639657362927331,-0.061048322307756066,-0.009757272861611382,-0.03663363517578542,-0.05975800067934037,-0.0373519460594812,-0.08502484922383857,-0.05330135834008096,0.012446769713617014,-0.04185584058906842,0.034457507119277676,0.02510793754103294
Arginine and Proline Metabolism,-0.04345639344975772,-0.02264467239204519,-0.028937302998504402,0.04287780896772105,0.04321543282081306,-0.010451420337795217,0.14986158693423265,-0.05702309693905553,0.007477569852911747,0.009199869154549593,0.056017599362198495,-0.1100489479991803,-0.04861639822419694,-0.028624144601409513,-0.03641991723022544,-0.06142689915644987,-0.061448124139408096,-0.05585666793643775,-0.054982721549348475,-0.06848781681761718,-0.07114028707174115,-0.02975688574785414,-0.0747274032198179,0.01795920332142173,-0.10137757048850382,0.0461559050313185,-0.058180762860780666,-0.0027600182065234875,-0.05935324318811952,0.09817193635088062,0.009726577912077043,-0.04721418376726531,0.04272940644769893,-0.05743953064603313,0.03932119335247978,0.034655377632179483,-0.04593690296635226,0.0620314269973788,-0.02321698514122535,0.060845723828194,-0.09906136793143944,0.12394932571075806,0.0630619779342583,-0.0482384448260173,-0.06471199538465051,-0.055004948214473805,-0.06160293860035767,0.05176554862146638,0.040128292497007466,0.004680428896631954,0.0074305562607231935,-0.010798594786324575,-0.001376699031491873,-0.012658653477140222,0.017963019913770067,-0.008296165152166248,0.10574171165233127,-0.04534019374943867,0.08612003699322697,-0.04614051856293505,0.09115791846513821,-0.05634586439212472,-0.048766539437986256,0.023337931853879484,-0.03475853651151788,-0.004250670293605032,0.030335922498024238,-0.04121659116964503,-0.01227857949219816,-0.0225703458138717,-0.03130099921772999,-0.05436030409092146,0.01982362766927202,0.040876684491490844,0.00938834199839645,0.056551733722052945,-0.05353099844505005,-0.04526389427026722,0.008359964701067481,-0.04801999233694127,0.08709564737719809,-0.055361321555907284,-0.06940371896594483,-0.09623392496533606,0.026779762951406508,0.07054478275621606,-0.0657448960794829,-0.09310351099772539,-0.07014061991118424,-0.06478658151283752,-0.048040932240962404,-0.03933076342034298,-0.05460353016320043,-0.07075870020093508,-0.042998863494389174,-0.07700624591189802,0.11635049303154643,-0.029751880337302822,-0.027880597776539753,0.03006135425104549,-0.05451101817036027,-0.062352891776849995,0.055274195342321225,-0.04225027316239741,-0.0417781692487334,0.0642090182763967
Aspartate Metabolism,-0.0292190892522801,-0.019800898141135927,-0.031094860845852168,0.04911116688721907,0.03259050769576891,-0.03249656921159942,0.14294420165503605,-0.04864260938221519,0.0021841725374446923,0.015002131007271727,0.05881952149389569,-0.08248025593899537,-0.042285469545210314,-0.028879896185518117,-0.03404912260713113,-0.04925043001457357,-0.04718396630503032,-0.04617259773144713,-0.04265448108428838,-0.07255767254301082,-0.0579153536083747,-0.02656758850596483,-0.06690608078598755,0.016824719915352844,-0.1047090677752891,0.03735121087716832,-0.05575269062099079,-0.02295402418430957,-0.046930273033609596,0.11752302713187668,0.0069945298240391505,-0.04185852718456372,0.04951108326544315,-0.046459020445909174,0.040206683115397504,0.0359514510462045,-0.04189468473547588,0.0613351276932879,-0.015776737193346446,0.07783285806642858,-0.10962985778730965,0.11774022596040964,0.07596271231432346,-0.046928376435226724,-0.05521004392309903,-0.05653258213764232,-0.05926084255096016,0.0588956564802479,0.03583552028878804,-0.0006339015655650468,0.014450403635766221,-0.02226048204596078,0.0006766146460367356,0.005619406075244399,0.012912634066807788,-0.04249100580621179,0.10676820981177378,-0.04013743370243265,0.08017732435350011,-0.06654805599076612,0.07439289673219457,-0.07942069024051417,-0.04463005354704275,0.034473620303364705,-0.03946069176410479,0.0004565603504748855,0.03315925654002417,-0.03603830150001948,-0.005788273790823706,-0.019366724938719625,-0.02658662594813761,-0.05061361335063398,0.02912086446231312,0.0449861935362594,0.015147016382147105,0.07615713096732928,-0.051057977120742025,-0.041518360031268575,0.014389576103068916,-0.05887017031394692,0.10223370864734482,-0.046097765380252044,-0.06699597278519279,-0.10416665578138191,0.03284255128633737,0.07805308186136425,-0.06163846566069311,-0.06652324207921688,-0.05641631961728953,-0.05614197275747103,-0.03694662880959496,-0.025549925677974927,-0.04370926673973094,-0.08459998867936228,-0.044215104394230924,-0.06686297339093963,0.10885761580437361,-0.01457892426656301,-0.026763676774733736,0.02394321605043858,-0.044930971909816916,-0.05913075991223852,0.06388805069488163,-0.04017373236134093,-0.04794968693977649,0.05962542093120804
Beta Oxidation of Very Long Chain Fatty Acids,-0.056632867800385664,-0.0013834868645130006,-0.08442751301032503,0.014715546710840265,0.04856774883750213,-0.06485147781094855,0.13506682377310156,-0.08845675719062207,-0.05321038369143174,-0.05317656396750024,0.031147818898157147,-0.11796890051431062,-0.036266264259149486,-0.0049176741684944176,-0.020532686791594968,-0.04457064742960867,-0.09017382653686659,-0.05787831483840048,-0.06257552417040169,-0.11584418850772717,-0.12124915913230899,-0.05492263595863746,-0.09055405186192396,0.01807624045471949,-0.1345112395564476,0.05347640114488113,-0.10638860020948185,-0.08586111486923559,-0.07767872880893607,0.059558469710225825,0.01191039009542632,-0.05685342371293697,0.01636537720877727,-0.06388041994565058,0.03589432649746331,0.039009777538710044,-0.04215118746018701,0.08056129839595169,-0.0349402781919521,0.09475440238499827,-0.16009656543688647,0.08485542016162154,0.045664739346816606,-0.07891584659806544,-0.08453455924792894,-0.10835814243411812,-0.05666953780449789,0.02272317234548061,0.0736709131166056,-0.04879376501525141,-0.012355509074647227,-0.01767841986468769,-0.02095424803311325,-0.010963057817717062,0.018939779296784535,-0.10124409443397908,0.062436107531085944,-0.06122967747324479,0.09217874683406219,-0.07899021581257742,0.04765853811680901,-0.09222073330742951,0.01871307350925562,0.023582804600103806,-0.0480611329816695,-0.044498483713887774,0.01847678783359462,-0.03360278159316219,-0.03992906551357783,-0.03429872620112364,-0.048677771960957385,-0.08080880794680859,0.014757090112312934,0.004428246667774194,-0.03829354700463663,0.08314880414411939,-0.0994243317940604,-0.09398715833957162,-0.023011128712918716,-0.05632603775690673,0.07724885870449594,-0.10045024765461326,-0.09105832018721252,-0.1063225851641047,0.03051516585827984,0.11012015227119867,-0.09248967379364552,-0.08202844588178114,-0.08553138250890763,-0.11380201663522554,-0.07228698419430798,-0.04722338632379424,-0.08506322030866743,-0.060546514115033805,-0.0927907372170857,-0.12740171821431223,0.07098700957988842,-0.04381277681807543,-0.06187188660606634,0.03443015984723082,-0.09430465979016094,-0.09706210877880739,0.08309273274063929,-0.039430462076286754,-0.04891311826084806,0.0717146541164798
