,Warburg Effect,index
NR2F2,0.02788565380420735,0
E2F4,0.07962704984003424,1
TAL1,0.10626802478646384,2
FOXM1,0.11960710767545893,3
E2F1,0.1537133956537066,4
E2F3,0.15734905972364294,5
CTCF,0.17693567463451884,6
PAX6,0.18790171745032813,7
WT1,0.2089384193054818,8
SOX2,0.280652142811285,9
PRDM14,0.2882979212867111,10
HIF1A,0.3035435242819004,11
E2F2,0.30766981784626074,12
PAX8,0.3099192891764898,13
YY1,0.411039928056598,14
ETV4,0.4384775618617791,15
TCF7L2,0.4700990634540687,16
STAT1,0.4836214140638542,17
ARNTL,0.5046386111970503,18
ELK1,0.5186207106517434,19
MYC,0.5394001993800475,20
SRF,0.5455534182172127,21
MYCN,0.5648484593655266,22
SPI1,0.6412756278102657,23
GATA1,0.6669999943041862,24
EGR1,0.6738134507385379,25
ATF1,0.7119683870920656,26
ERG,0.7516314849265916,27
ETS1,0.7968594215916216,28
GLI2,0.8083927852945655,29
RELB,0.8205297059944887,30
FOS,0.8640095897690842,31
CEBPA,0.959688577743976,32
USF2,0.9969433843949392,33
SMAD3,1.0293690988207247,34
AR,1.0385155082027775,35
IRF1,1.116613025187158,36
FOXL2,1.1429665906500928,37
NFKB2,1.169703329237124,38
PPARG,1.171529596985267,39
TFAP2A,1.266918265481998,40
EPAS1,1.301611123841267,41
USF1,1.3285359907845458,42
ESR1,1.3475908485694654,43
BACH1,1.3535844895596862,44
SP3,1.4146401889185685,45
TP63,1.4437912453990251,46
JUN,1.5228136324628894,47
SMAD4,1.5376131515922804,48
IRF9,1.5550984846471552,49
FOXO3,1.5880011057247976,50
RELA,1.61140673285467,51
KMT2A,1.7117335833446496,52
STAT5A,1.7160223732066395,53
NFE2L2,1.7638052156961073,54
SP1,1.7752040053877465,55
SOX10,1.7800909402990066,56
STAT6,1.7906145133753784,57
FOSL1,1.7967631215070825,58
REL,1.8394531302293404,59
NFKB1,1.9147974988291707,60
STAT3,1.9500402395046592,61
FOSL2,1.9598313191429744,62
POU2F1,1.9972548831794008,63
STAT2,2.005086517334421,64
PPARA,2.019867007826956,65
ETS2,2.1655455311363654,66
MITF,2.2880447012338534,67
STAT5B,2.3017787436867216,68
TWIST1,2.335187248488965,69
JUND,2.4897273572087193,70
TP53,2.723683453322794,71
CEBPB,2.767758050804947,72
FLI1,2.827037411576028,73
CREB1,3.0422329572962834,74
FOXP1,3.047213715997112,75
LEF1,3.235972725873405,76
GATA3,3.356820427583413,77
ATF4,3.394164115313214,78
NFATC2,3.4995175617945287,79
MYB,3.9080776741551935,80
SREBF2,4.189641553033638,81
SREBF1,4.35226927579134,82
CDX2,4.404496939586607,83
ESR2,4.447319807788462,84
RARA,4.526338138469885,85
RFX5,4.778336846883591,86
PGR,5.471022085355592,87
NR5A1,5.4972824615409674,88
CEBPD,5.536358471207771,89
HNF4A,5.704704019913181,90
KLF4,5.9487349749079765,91
GATA2,5.997333545467665,92
RXRA,6.2121705756414904,93
ATF2,6.2780962894950125,94
RUNX1,6.558841219172269,95
ZNF263,6.6677582250030305,96
HNF1A,6.7569884086686125,97
FOXO1,6.7580394447920655,98
FOXO4,6.815666717643107,99
VDR,6.960139044423128,100
REST,8.509331141404658,101
TFAP2C,8.527444183763894,102
SOX9,8.605761714038639,103
FOXA1,8.88299137628536,104
NFIC,10.133823703499026,105
