,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
54,GO:BP,GO:0032768,regulation of monooxygenase activity,0.010888452183477143,True,"""Any process that modulates the activity of a monooxygenase."" [GOC:mah]",67,122,6,18117,0.04918032786885246,0.08955223880597014,query_1,['GO:0051341']
44,GO:BP,GO:0033059,cellular pigmentation,0.0024117288443184165,True,"""The deposition or aggregation of coloring matter in a cell."" [GOC:mtg_MIT_16mar07]",52,122,6,18117,0.04918032786885246,0.11538461538461539,query_1,"['GO:0009987', 'GO:0043473']"
7,GO:BP,GO:0030318,melanocyte differentiation,4.248518018571401e-07,True,"""The process in which a relatively unspecialized cell acquires specialized features of a melanocyte."" [GOC:mah]",25,122,7,18117,0.05737704918032787,0.28,query_1,['GO:0050931']
2,GO:BP,GO:0042438,melanin biosynthetic process,1.8340382747502066e-09,True,"""The chemical reactions and pathways resulting in the formation of melanins, pigments largely of animal origin. High molecular weight polymers of indole quinone, they are irregular polymeric structures and are divided into three groups: allomelanins in the plant kingdom and eumelanins and phaeomelanins in the animal kingdom."" [GOC:curators]",22,122,8,18117,0.06557377049180328,0.36363636363636365,query_1,"['GO:0006582', 'GO:0044550', 'GO:0046148', 'GO:0046189']"
3,GO:BP,GO:0006582,melanin metabolic process,2.7964603793353295e-09,True,"""The chemical reactions and pathways involving melanins, pigments largely of animal origin. High molecular weight polymers of indole quinone, they are irregular polymeric structures and are divided into three groups: allomelanins in the plant kingdom and eumelanins and phaeomelanins in the animal kingdom."" [GOC:go_curators]",23,122,8,18117,0.06557377049180328,0.34782608695652173,query_1,"['GO:0018958', 'GO:0019748', 'GO:0042440']"
4,GO:BP,GO:0044550,secondary metabolite biosynthetic process,4.171225623097517e-09,True,"""The chemical reactions and pathways resulting in the formation of secondary metabolites, the compounds that are not necessarily required for growth and maintenance of cells, and are often unique to a taxon."" [GOC:jl]",24,122,8,18117,0.06557377049180328,0.3333333333333333,query_1,"['GO:0009058', 'GO:0019748']"
6,GO:BP,GO:0050931,pigment cell differentiation,9.735621248500089e-08,True,"""The process in which a relatively unspecialized cell acquires the specialized features of a pigmented cell, such as a melanocyte."" [GOC:dgh]",34,122,8,18117,0.06557377049180328,0.23529411764705882,query_1,"['GO:0030154', 'GO:0048066']"
14,GO:BP,GO:0019748,secondary metabolic process,7.78845384575166e-06,True,"""The chemical reactions and pathways resulting in many of the chemical changes of compounds that are not necessarily required for growth and maintenance of cells, and are often unique to a taxon. In multicellular organisms secondary metabolism is generally carried out in specific cell types, and may be useful for the organism as a whole. In unicellular organisms, secondary metabolism is often used for the production of antibiotics or for the utilization and acquisition of unusual nutrients."" [GOC:go_curators]",57,122,8,18117,0.06557377049180328,0.14035087719298245,query_1,['GO:0008152']
11,GO:BP,GO:0042440,pigment metabolic process,4.296425868010482e-06,True,"""The chemical reactions and pathways involving pigment, any general or particular coloring matter in living organisms, e.g. melanin."" [GOC:jl, ISBN:0198506732]",77,122,9,18117,0.07377049180327869,0.11688311688311688,query_1,['GO:0008152']
5,GO:BP,GO:0046189,phenol-containing compound biosynthetic process,1.8186954133105743e-08,True,"""The chemical reactions and pathways resulting in the formation of a phenol, any compound containing one or more hydroxyl groups directly attached to an aromatic carbon ring."" [GOC:ai]",43,122,9,18117,0.07377049180327869,0.20930232558139536,query_1,"['GO:0018958', 'GO:0019438', 'GO:1901362', 'GO:1901617']"
8,GO:BP,GO:0046148,pigment biosynthetic process,5.878848395070103e-07,True,"""The chemical reactions and pathways resulting in the formation of a pigment, any general or particular coloring matter in living organisms, e.g. melanin."" [ISBN:0198506732]",62,122,9,18117,0.07377049180327869,0.14516129032258066,query_1,['GO:0042440']
12,GO:BP,GO:0018958,phenol-containing compound metabolic process,6.5032555413376515e-06,True,"""The chemical reactions and pathways involving a phenol, any compound containing one or more hydroxyl groups directly attached to an aromatic carbon ring."" [ISBN:0198506732]",110,122,10,18117,0.08196721311475409,0.09090909090909091,query_1,"['GO:0006725', 'GO:1901360', 'GO:1901615']"
1,GO:BP,GO:0048066,developmental pigmentation,9.599551525320203e-12,True,"""The developmental process that results in the deposition of coloring matter in an organism, tissue or cell."" [ISBN:0582227089]",44,122,11,18117,0.09016393442622951,0.25,query_1,['GO:0043473']
30,GO:BP,GO:1901617,organic hydroxy compound biosynthetic process,0.00027331842648513225,True,"""The chemical reactions and pathways resulting in the formation of organic hydroxy compound."" [GOC:pr, GOC:TermGenie]",254,122,12,18117,0.09836065573770492,0.047244094488188976,query_1,"['GO:1901576', 'GO:1901615']"
36,GO:BP,GO:0043062,extracellular structure organization,0.001007002577957642,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of structures in the space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane, and also covers the host cell environment outside an intracellular parasite."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",402,122,14,18117,0.11475409836065574,0.03482587064676617,query_1,['GO:0016043']
0,GO:BP,GO:0043473,pigmentation,4.3940942208446504e-12,True,"""The accumulation of pigment in an organism, tissue or cell, either by increased deposition or by increased number of cells."" [GOC:jl]",95,122,14,18117,0.11475409836065574,0.14736842105263157,query_1,['GO:0008150']
37,GO:BP,GO:0045229,external encapsulating structure organization,0.0010685866081197896,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of external structures that lie outside the plasma membrane and surround the entire cell."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",404,122,14,18117,0.11475409836065574,0.034653465346534656,query_1,['GO:0016043']
34,GO:BP,GO:0030198,extracellular matrix organization,0.00097742336743036,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an extracellular matrix."" [GOC:mah]",401,122,14,18117,0.11475409836065574,0.034912718204488775,query_1,"['GO:0043062', 'GO:0045229']"
69,GO:BP,GO:0098916,anterograde trans-synaptic signaling,0.038151972408337315,True,"""Cell-cell signaling from pre to post-synapse, across the synaptic cleft."" [GOC:dos]",705,122,16,18117,0.13114754098360656,0.02269503546099291,query_1,['GO:0099537']
72,GO:BP,GO:0099537,trans-synaptic signaling,0.04377163262321322,True,"""Cell-cell signaling in either direction across the synaptic cleft."" [GOC:dos]",713,122,16,18117,0.13114754098360656,0.02244039270687237,query_1,['GO:0099536']
70,GO:BP,GO:0007268,chemical synaptic transmission,0.038151972408337315,True,"""The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:jl, MeSH:D009435]",705,122,16,18117,0.13114754098360656,0.02269503546099291,query_1,['GO:0098916']
59,GO:BP,GO:2000026,regulation of multicellular organismal development,0.018616667261868506,True,"""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]",1447,122,25,18117,0.20491803278688525,0.017277125086385625,query_1,"['GO:0007275', 'GO:0050793', 'GO:0051239']"
25,GO:BP,GO:0016477,cell migration,5.0846255004663165e-05,True,"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues. Cell migration is a central process in the development and maintenance of multicellular organisms."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]",1649,122,32,18117,0.26229508196721313,0.019405700424499697,query_1,['GO:0048870']
23,GO:BP,GO:0051674,localization of cell,4.691784017536815e-05,True,"""Any process in which a cell is transported to, and/or maintained in, a specific location."" [GOC:ai]",1828,122,34,18117,0.2786885245901639,0.018599562363238512,query_1,"['GO:0009987', 'GO:0051179']"
22,GO:BP,GO:0048870,cell motility,4.691784017536815e-05,True,"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]",1828,122,34,18117,0.2786885245901639,0.018599562363238512,query_1,"['GO:0006928', 'GO:0040011', 'GO:0051674']"
47,GO:BP,GO:0006928,movement of cell or subcellular component,0.004098324485066327,True,"""The directed, self-propelled movement of a cell or subcellular component without the involvement of an external agent such as a transporter or a pore."" [GOC:dgh, GOC:dph, GOC:jl, GOC:mlg]",2311,122,35,18117,0.28688524590163933,0.015144958892254435,query_1,['GO:0009987']
28,GO:BP,GO:0040011,locomotion,0.0001792993854911994,True,"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]",2028,122,35,18117,0.28688524590163933,0.01725838264299803,query_1,['GO:0008150']
56,GO:BP,GO:0032879,regulation of localization,0.012990229460784281,True,"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]",2872,122,39,18117,0.319672131147541,0.013579387186629526,query_1,"['GO:0050789', 'GO:0051179']"
40,GO:BP,GO:0051239,regulation of multicellular organismal process,0.001629420698314229,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2861,122,41,18117,0.3360655737704918,0.014330653617616217,query_1,"['GO:0032501', 'GO:0050789']"
39,GO:BP,GO:0051179,localization,0.001617265300295601,True,"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]",6901,122,73,18117,0.5983606557377049,0.010578177075786118,query_1,['GO:0008150']
15,REAC,REAC:R-HSA-5662702,Melanin biosynthesis,8.331279084954212e-06,True,Melanin biosynthesis,5,87,4,10543,2.045977011494253,0.8,query_1,['REAC:R-HSA-71291']
