,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
316,GO:BP,GO:0016188,synaptic vesicle maturation,0.04977331670734494,True,"""Steps required to form an initiated synaptic vesicle into a fully formed and transmissible synaptic vesicle."" [GOC:curators, PMID:10099709]",12,581,5,18117,0.008605851979345954,0.4166666666666667,query_1,"['GO:0016050', 'GO:0021700']"
213,GO:BP,GO:1990504,dense core granule exocytosis,0.008580354647562172,True,"""The secretion of molecules (e.g. neuropeptides, insulin-related peptides or neuromodulators such as serotonin and dopamine) contained within a membrane-bounced dense core granule by fusion of the granule with the plasma membrane of a cell in response to increased cytosolic calcium levels."" [GOC:kmv, PMID:17553987, PMID:24653208]",9,581,5,18117,0.008605851979345954,0.5555555555555556,query_1,['GO:0017156']
309,GO:BP,GO:0016082,synaptic vesicle priming,0.04575385308921854,True,"""A process that converts synaptic vesicles to a state of competence for calcium triggered fusion with the active zone membrane by bringing the two membranes into very close proximity. Priming typically (but not always) occurs after docking (Jahn and Fasshauer, 2012). Primed vesicles are also capable of spontaneously fusing with the active zone membrane."" [GOC:mah, PMID:15217342, PMID:23060190]",19,581,6,18117,0.010327022375215147,0.3157894736842105,query_1,"['GO:0016079', 'GO:0034622', 'GO:0140029']"
241,GO:BP,GO:0014047,glutamate secretion,0.016307284450843246,True,"""The controlled release of glutamate by a cell. The glutamate is the most abundant excitatory neurotransmitter in the nervous system."" [GOC:ef]",43,581,9,18117,0.01549053356282272,0.20930232558139536,query_1,"['GO:0006835', 'GO:0015718', 'GO:0015800', 'GO:0015908', 'GO:0032940', 'GO:0140353']"
229,GO:BP,GO:0048663,neuron fate commitment,0.012130646002529508,True,"""The process in which the developmental fate of a cell becomes restricted such that it will develop into a neuron."" [GOC:dph]",64,581,11,18117,0.0189328743545611,0.171875,query_1,"['GO:0030182', 'GO:0045165']"
262,GO:BP,GO:0035249,"synaptic transmission, glutamatergic",0.021022917135565117,True,"""The vesicular release of glutamate from a presynapse, across a chemical synapse, the subsequent activation of glutamate receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:dos]",94,581,13,18117,0.022375215146299483,0.13829787234042554,query_1,['GO:0007268']
57,GO:BP,GO:0017156,calcium-ion regulated exocytosis,2.7674831228818576e-06,True,"""The release of intracellular molecules (e.g. hormones, matrix proteins) contained within a membrane-bounded vesicle by fusion of the vesicle with the plasma membrane of a cell, induced by a rise in cytosolic calcium-ion levels."" [GOC:go_curators]",64,581,15,18117,0.025817555938037865,0.234375,query_1,['GO:0045055']
88,GO:BP,GO:0046928,regulation of neurotransmitter secretion,7.64226118307185e-05,True,"""Any process that modulates the frequency, rate or extent of the regulated release of a neurotransmitter from a cell."" [GOC:ai]",92,581,16,18117,0.027538726333907058,0.17391304347826086,query_1,"['GO:0001505', 'GO:0007269', 'GO:0050804', 'GO:0051588', 'GO:1903530']"
306,GO:BP,GO:0007612,learning,0.04258868306645582,True,"""Any process in an organism in which a relatively long-lasting adaptive behavioral change occurs as the result of experience."" [ISBN:0582227089, ISBN:0721662544]",146,581,16,18117,0.027538726333907058,0.1095890410958904,query_1,['GO:0007611']
300,GO:BP,GO:0009581,detection of external stimulus,0.03905711097404992,True,"""The series of events in which an external stimulus is received by a cell and converted into a molecular signal."" [GOC:hb]",145,581,16,18117,0.027538726333907058,0.1103448275862069,query_1,"['GO:0009605', 'GO:0051606']"
