"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Propyl alcohol","Propyl alcohol","HMDB0000820","1031","C05979","CCCO","1"
"Isopropyl alcohol","Isopropyl alcohol","HMDB0000863","3776","C01845","CC(C)O","1"
"O-Phosphoethanolamine","O-Phosphoethanolamine","HMDB0000224","1015","C00346","C(COP(=O)(O)O)N","1"
"Oenanthic ether","Oenanthic ether","HMDB0000798","7797",NA,"CCCCCCC(=O)OCC","1"
"Pelargonic acid","Pelargonic acid","HMDB0000847","8158","C01601","CCCCCCCCC(=O)O","1"
"N-Nonanoylglycine","N-Nonanoylglycine","HMDB0013279","10176752",NA,"CCCCCCCCC(=O)NCC(=O)O","1"
"Epsilon-(gamma-Glutamyl)-lysine","Epsilon-(gamma-Glutamyl)-lysine","HMDB0003869","7015685",NA,"C(CCNC(=O)CC[C@@H](C(=O)[O-])[NH3+])C[C@@H](C(=O)[O-])[NH3+]","1"
"L-a-glutamyl-L-Lysine","L-a-glutamyl-L-Lysine","HMDB04207","7015703","C04700","C(CC[NH3+])C[C@@H](C(=O)[O-])NC(=O)[C@H](CCC(=O)[O-])[NH3+]","1"
"2-Phenylethanol glucuronide","2-Phenylethanol glucuronide","HMDB0010350","24862077","C03033","C1=CC=C(C=C1)CCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O","1"
"CPA(16:0/0:0)","CPA(16:0/0:0)","HMDB0007003","9801940",NA,"CCCCCCCCCCCCCCCC(=O)OCC1COP(=O)(O1)O","1"
"11-Hydroxyeicosatetraenoate glyceryl ester","11-Hydroxyeicosatetraenoate glyceryl ester","HMDB0012530","53481455",NA,"CCCCC/C=C\C=C\[C@H](C/C=C\C/C=C\CCCC(=O)OC(CO)CO)O","1"
"2-(14,15-Epoxyeicosatrienoyl) Glycerol","2-(14,15-Epoxyeicosatrienoyl) Glycerol ","HMDB0013651","53481916",NA,"CCCCCC1C(O1)C/C=C\C/C=C\C/C=C\CCCC(=O)OC(CO)CO","1"
"CPA(18:0/0:0)","CPA(18:0/0:0)","HMDB0007004","51040919",NA,"CCCCCCCCCCCCCCCCCC(=O)OCC1COP(=O)(O1)O","1"
"LPA(0:0/18:1(9Z))","LysoPA(0:0/18:1(9Z))","HMDB0007851","56947016","C00416","CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](CO)COP(=O)(O)O","1"
"LPA(18:1(9Z)/0:0)","LysoPA(18:1(9Z)/0:0)","HMDB0007855","5497152","C00416","CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)O)O","1"
"DHAP(18:0)","DHAP(18:0)","HMDB0011133","440127","C03805","CCCCCCCCCCCCCCCCCC(=O)OCC(=O)COP(=O)(O)O","1"
"Glucosylgalactosyl hydroxylysine","Glucosylgalactosyl hydroxylysine","HMDB0000585","122304",NA,"C(CC(CN)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O[C@@H]2[C@@H](C([C@@H]([C@H](O2)CO)O)O)O)[C@@H](C(=O)O)N","1"
"DG(14:1(9Z)/15:0/0:0)","DG(14:1(9Z)/15:0/0:0)","HMDB0007039","53477974",NA,"CCCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\CCCC","1"
