"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Pyrrole-2-carboxylic acid","Pyrrole-2-carboxylic acid","HMDB0004230","12473","C05942","C1=CNC(=C1)C(=O)O","1"
"Xanthine","Xanthine","HMDB0000292","1188","C00385","C1=NC2=C(N1)C(=O)NC(=O)N2","1"
"Oxypurinol","Oxypurinol","HMDB0000786","4644","C07599","C1=C2C(=NC(=O)NC2=O)NN1","1"
"6,8-Dihydroxypurine","6,8-Dihydroxypurine","HMDB0001182","83252",NA,"C1=NC(=O)C2=C(N1)NC(=O)N2","1"
"2-Aminomuconic acid","2-Aminomuconic acid","HMDB0001241","5280499","C02220","C(=C\C(=O)O)\C=C(/C(=O)O)\N","1"
"N-Acetyl-L-glutamate 5-semialdehyde","N-Acetyl-L-glutamate 5-semialdehyde","HMDB0006488","192878","C01250","CC(=O)N[C@@H](CCC=O)C(=O)O","1"
"Phosphohydroxypyruvic acid","Phosphohydroxypyruvic acid","HMDB0001024","105","C03232","C(C(=O)C(=O)O)OP(=O)(O)O","1"
"5-L-Glutamyl-taurine","5-L-Glutamyl-taurine","HMDB0004195","68759","C05844","C(CC(=O)NCCS(=O)(=O)O)[C@@H](C(=O)O)N","1"
"Daidzein","Daidzein","HMDB0003312","5281708","C10208","C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O","1"
"Argininosuccinic acid","Argininosuccinic acid","HMDB0000052","16950","C03406","C(C[C@@H](C(=O)O)N)CN=C(N)N[C@@H](CC(=O)O)C(=O)O","1"
"D-4'-Phosphopantothenate","D-4'-Phosphopantothenate","HMDB0001016","131","C03492","CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)O)O","1"
"Beta-Citryl-L-glutamic acid","Beta-Citryl-L-glutamic acid","HMDB0013220","21125622",NA,"C(CC(=O)O)C(C(=O)O)NC(=O)C(CC(=O)O)(CC(=O)O)O","1"
"Famotidine","Famotidine","HMDB0001919","3325",NA,"C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N","1"
"Nervonic acid","Nervonic acid","HMDB0002368","5281120","C08323","CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O","1"
"Tetracosanoic acid","Tetracosanoic acid","HMDB0002003","11197","C08320","CCCCCCCCCCCCCCCCCCCCCCCC(=O)O","1"
"Sphingosine 1-phosphate","Sphingosine 1-phosphate","HMDB0000277","5353956","C06124","CCCCCCCCCCCCC/C=C/C(C(COP(=O)(O)O)N)O","1"
"CPA(16:0/0:0)","CPA(16:0/0:0)","HMDB0007003","9801940",NA,"CCCCCCCCCCCCCCCC(=O)OCC1COP(=O)(O1)O","1"
"CPA(18:0/0:0)","CPA(18:0/0:0)","HMDB0007004","51040919",NA,"CCCCCCCCCCCCCCCCCC(=O)OCC1COP(=O)(O1)O","1"
"PE(P-16:0e/0:0)","PE(P-16:0e/0:0)","HMDB0011152","42607469",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)O","1"
"LysoPE(0:0/22:1(13Z))","LysoPE(0:0/22:1(13Z))","HMDB0011491","53480940",NA,"CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN","1"
"LysoPE(22:1(13Z)/0:0)","LysoPE(22:1(13Z)/0:0)","HMDB0011521","53480953",NA,"CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O","1"
"DG(14:0/16:1(9Z)/0:0)","DG(14:0/16:1(9Z)/0:0)","HMDB0007012","53477950",NA,"CCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"DG(14:1(9Z)/16:0/0:0)","DG(14:1(9Z)/16:0/0:0)","HMDB0007040","53477975",NA,"CCCCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\CCCC","1"
"DG(16:0/14:1(9Z)/0:0)","DG(16:0/14:1(9Z)/0:0)","HMDB0007096","53478025",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCC","1"
"DG(16:1(9Z)/14:0/0:0)","DG(16:1(9Z)/14:0/0:0)","HMDB0007124","53478033",NA,"CCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\CCCCCC","1"
"DG(14:0/18:1(11Z)/0:0)","DG(14:0/18:1(11Z)/0:0)","HMDB0007014","53477952",NA,"CCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCC/C=C\CCCCCC","1"
