"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Sphingolipid metabolism",21,1.531,7,0.00044943,3.3473,0.037752,0.037752,0.52536
"Citrate cycle (TCA cycle)",20,1.4581,6,0.0021888,2.6598,0.18167,0.083384,0.32524
"Alanine, aspartate and glutamate metabolism",28,2.0413,7,0.002978,2.5261,0.2442,0.083384,0.11057
"Arachidonic acid metabolism",36,2.6245,7,0.012887,1.8899,1,0.27062,0.13147
"Pentose and glucuronate interconversions",18,1.3123,4,0.036905,1.4329,1,0.59043,0.34374
"Glycerophospholipid metabolism",36,2.6245,6,0.042173,1.375,1,0.59043,0.42742
"Pyruvate metabolism",22,1.6039,4,0.070524,1.1517,1,0.79898,0.24157
"Arginine biosynthesis",14,1.0206,3,0.076093,1.1187,1,0.79898,0.11675
"Ascorbate and aldarate metabolism",8,0.58323,2,0.1105,0.95664,1,1,0.5
"Glyoxylate and dicarboxylate metabolism",32,2.3329,4,0.20035,0.69822,1,1,0.05556
"Linoleic acid metabolism",5,0.36452,1,0.31545,0.50107,1,1,0
"Histidine metabolism",16,1.1665,2,0.32758,0.48468,1,1,0.18032
"Pantothenate and CoA biosynthesis",19,1.3852,2,0.40874,0.38855,1,1,0.19643
"Glycine, serine and threonine metabolism",33,2.4058,3,0.43675,0.35976,1,1,0.0242
"Taurine and hypotaurine metabolism",8,0.58323,1,0.45502,0.34197,1,1,0
"Pentose phosphate pathway",22,1.6039,2,0.48497,0.31429,1,1,0.16667
"Galactose metabolism",27,1.9684,2,0.5977,0.22352,1,1,0
"Tyrosine metabolism",42,3.0619,3,0.60247,0.22006,1,1,0.05177
"alpha-Linolenic acid metabolism",13,0.94774,1,0.6277,0.20225,1,1,0
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",14,1.0206,1,0.65507,0.18371,1,1,0.00399
"Glycerolipid metabolism",16,1.1665,1,0.70397,0.15245,1,1,0.01246
"Cysteine and methionine metabolism",33,2.4058,2,0.70752,0.15026,1,1,0.17949
"Purine metabolism",65,4.7387,4,0.71227,0.14736,1,1,0.11563
"Arginine and proline metabolism",38,2.7703,2,0.77905,0.10843,1,1,0.08131
"Fructose and mannose metabolism",20,1.4581,1,0.78209,0.10674,1,1,0.03313
"Ether lipid metabolism",20,1.4581,1,0.78209,0.10674,1,1,0.14458
"beta-Alanine metabolism",21,1.531,1,0.79818,0.097897,1,1,0.05597
"Tryptophan metabolism",41,2.989,2,0.81428,0.089224,1,1,0.0139
"Lysine degradation",25,1.8226,1,0.8516,0.069766,1,1,0.04695
"Glycolysis / Gluconeogenesis",26,1.8955,1,0.86259,0.064194,1,1,0.08802
"Folate biosynthesis",27,1.9684,1,0.87278,0.059094,1,1,0
"Phosphatidylinositol signaling system",28,2.0413,1,0.88222,0.054423,1,1,0.00152
"Inositol phosphate metabolism",30,2.1871,1,0.89907,0.046209,1,1,0
"Pyrimidine metabolism",39,2.8432,1,0.94974,0.022398,1,1,0.0256
"Fatty acid degradation",39,2.8432,1,0.94974,0.022398,1,1,0.12404
"Steroid biosynthesis",42,3.0619,1,0.9602,0.01764,1,1,0
