"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Xanthine","Xanthine","HMDB0000292","1188","C00385","C1=NC2=C(N1)C(=O)NC(=O)N2","1"
"Oxypurinol","Oxypurinol","HMDB0000786","4644","C07599","C1=C2C(=NC(=O)NC2=O)NN1","1"
"6,8-Dihydroxypurine","6,8-Dihydroxypurine","HMDB0001182","83252",NA,"C1=NC(=O)C2=C(N1)NC(=O)N2","1"
"Oenanthic ether","Oenanthic ether","HMDB0000798","7797",NA,"CCCCCCC(=O)OCC","1"
"Pelargonic acid","Pelargonic acid","HMDB0000847","8158","C01601","CCCCCCCCC(=O)O","1"
"N-Nonanoylglycine","N-Nonanoylglycine","HMDB0013279","10176752",NA,"CCCCCCCCC(=O)NCC(=O)O","1"
"L-Cystathionine","L-Cystathionine","HMDB0000099","439258","C02291","C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N","1"
"Allocystathionine","Allocystathionine","HMDB0000455","10104953","C00542","C(CSCC(C(=O)O)N)[C@@H](C(=O)O)N","1"
"Flavone","Flavone","HMDB0003075","10680","C15608","C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2","1"
"5-L-Glutamyl-taurine","5-L-Glutamyl-taurine","HMDB0004195","68759","C05844","C(CC(=O)NCCS(=O)(=O)O)[C@@H](C(=O)O)N","1"
"Daidzein","Daidzein","HMDB0003312","5281708","C10208","C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O","1"
"Mannitol 1-phosphate","Mannitol 1-phosphate","HMDB0001530","130418","C00644","C([C@H]([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O)O","1"
"Sorbitol-6-phosphate","Sorbitol-6-phosphate","HMDB0005831","618","C02810","C(C(C(C(C(COP(=O)(O)O)O)O)O)O)O","1"
"L-beta-aspartyl-L-glutamic acid","L-beta-aspartyl-L-glutamic acid","HMDB0011164","25207301",NA,"C(CC(=O)O)C(C(=O)O)NC(=O)CC(C(=O)O)N","1"
"Epsilon-(gamma-Glutamyl)-lysine","Epsilon-(gamma-Glutamyl)-lysine","HMDB0003869","7015685",NA,"C(CCNC(=O)CC[C@@H](C(=O)[O-])[NH3+])C[C@@H](C(=O)[O-])[NH3+]","1"
"L-a-glutamyl-L-Lysine","L-a-glutamyl-L-Lysine","HMDB04207","7015703","C04700","C(CC[NH3+])C[C@@H](C(=O)[O-])NC(=O)[C@H](CCC(=O)[O-])[NH3+]","1"
"2-Phenylethanol glucuronide","2-Phenylethanol glucuronide","HMDB0010350","24862077","C03033","C1=CC=C(C=C1)CCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O","1"
"Hesperetin","Hesperetin","HMDB0005782","72281","C01709","COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O","1"
"Tetracosatetraenoic acid (24:4n-6)","Tetracosatetraenoic acid (24:4n-6)","HMDB0006246","52921800",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O","1"
"Nervonic acid","Nervonic acid","HMDB0002368","5281120","C08323","CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O","1"
"CPA(16:0/0:0)","CPA(16:0/0:0)","HMDB0007003","9801940",NA,"CCCCCCCCCCCCCCCC(=O)OCC1COP(=O)(O1)O","1"
"LPA(0:0/18:1(9Z))","LysoPA(0:0/18:1(9Z))","HMDB0007851","56947016","C00416","CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](CO)COP(=O)(O)O","1"
"LPA(18:1(9Z)/0:0)","LysoPA(18:1(9Z)/0:0)","HMDB0007855","5497152","C00416","CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)O)O","1"
"DHAP(18:0)","DHAP(18:0)","HMDB0011133","440127","C03805","CCCCCCCCCCCCCCCCCC(=O)OCC(=O)COP(=O)(O)O","1"
"PE(P-16:0e/0:0)","PE(P-16:0e/0:0)","HMDB0011152","42607469",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)O","1"
"O-6-deoxy-a-L-galactopyranosyl-(1->2)-O-b-D-galactopyranosyl-(1->3)-2-(acetylamino)-1,5-anhydro-2-deoxy-D-arabino-Hex-1-enitol","O-6-deoxy-a-L-galactopyranosyl-(1->2)-O-b-D-galactopyranosyl-(1->3)-2-(acetylamino)-1,5-anhydro-2-deoxy-D-arabino-Hex-1-enitol","HMDB0002235","22833589",NA,"C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O[C@H]3[C@@H]([C@H](OC=C3NC(=O)C)CO)O)CO)O)O)O)O)O","1"
"O-6-deoxy-a-L-galactopyranosyl-(1->2)-O-b-D-galactopyranosyl-(1->4)-2-(acetylamino)-1,5-anhydro-2-deoxy-D-arabino-Hex-1-enitol","O-6-deoxy-a-L-galactopyranosyl-(1->2)-O-b-D-galactopyranosyl-(1->4)-2-(acetylamino)-1,5-anhydro-2-deoxy-D-arabino-Hex-1-enitol","HMDB0002276","22833591",NA,"C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O[C@@H]3[C@H](OC=C([C@H]3O)NC(=O)C)CO)CO)O)O)O)O)O","1"
