"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Linoleic acid metabolism",5,0.067742,1,0.066014,1.1804,1,1,0
"Glycerophospholipid metabolism",36,0.48774,2,0.083573,1.0779,1,1,0.23433
"Taurine and hypotaurine metabolism",8,0.10839,1,0.10361,0.98461,1,1,0
"alpha-Linolenic acid metabolism",13,0.17613,1,0.16308,0.7876,1,1,0
"Glycerolipid metabolism",16,0.21677,1,0.19694,0.70566,1,1,0.01246
"Pentose and glucuronate interconversions",18,0.24387,1,0.21878,0.65998,1,1,0.14062
"Sphingolipid metabolism",21,0.28452,1,0.25049,0.60121,1,1,0
"Phosphatidylinositol signaling system",28,0.37935,1,0.31978,0.49515,1,1,0.00152
"Glycine, serine and threonine metabolism",33,0.4471,1,0.36549,0.43713,1,1,0
"Cysteine and methionine metabolism",33,0.4471,1,0.36549,0.43713,1,1,0.17854
"Arachidonic acid metabolism",36,0.48774,1,0.39149,0.40728,1,1,0
"Steroid biosynthesis",42,0.56903,1,0.44049,0.35607,1,1,0
"Purine metabolism",65,0.88065,1,0.59571,0.22496,1,1,0.01217
