"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Aniline","Aniline","HMDB0003012","6115","C00292","C1=CC=C(C=C1)N","1"
"Pyrrole-2-carboxylic acid","Pyrrole-2-carboxylic acid","HMDB0004230","12473","C05942","C1=CNC(=C1)C(=O)O","1"
"1-Pyrroline-5-carboxylic acid","1-Pyrroline-5-carboxylic acid","HMDB0001301","6642","C03912","C1CC(N=C1)C(=O)O","1"
"1-Pyrroline-2-carboxylic acid","1-Pyrroline-2-carboxylic acid","HMDB0006875","440046","C03564","C1CC(=NC1)C(=O)O","1"
"2-Aminomuconic acid","2-Aminomuconic acid","HMDB0001241","5280499","C02220","C(=C\C(=O)O)\C=C(/C(=O)O)\N","1"
"N-Acetyl-L-glutamate 5-semialdehyde","N-Acetyl-L-glutamate 5-semialdehyde","HMDB0006488","192878","C01250","CC(=O)N[C@@H](CCC=O)C(=O)O","1"
"N-Acetyl-L-aspartic acid","N-Acetyl-L-aspartic acid","HMDB0000812","65065","C01042","CC(=O)N[C@@H](CC(=O)O)C(=O)O","1"
"N-Formyl-L-glutamic acid","N-Formyl-L-glutamic acid","HMDB0003470","439376","C01045","C(CC(=O)O)[C@@H](C(=O)O)NC=O","1"
"Phosphohydroxypyruvic acid","Phosphohydroxypyruvic acid","HMDB0001024","105","C03232","C(C(=O)C(=O)O)OP(=O)(O)O","1"
"Argininosuccinic acid","Argininosuccinic acid","HMDB0000052","16950","C03406","C(C[C@@H](C(=O)O)N)CN=C(N)N[C@@H](CC(=O)O)C(=O)O","1"
"2-Phenylethanol glucuronide","2-Phenylethanol glucuronide","HMDB0010350","24862077","C03033","C1=CC=C(C=C1)CCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O","1"
"Beta-Citryl-L-glutamic acid","Beta-Citryl-L-glutamic acid","HMDB0013220","21125622",NA,"C(CC(=O)O)C(C(=O)O)NC(=O)C(CC(=O)O)(CC(=O)O)O","1"
"Hesperetin","Hesperetin","HMDB0005782","72281","C01709","COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O","1"
"Sphingosine 1-phosphate","Sphingosine 1-phosphate","HMDB0000277","5353956","C06124","CCCCCCCCCCCCC/C=C/C(C(COP(=O)(O)O)N)O","1"
"CPA(18:1(11Z)/0:0)","CPA(18:1(11Z)/0:0)","HMDB0007005","53477946",NA,"CCCCCC/C=C\CCCCCCCCCC(=O)OCC1COP(=O)(O1)O","1"
"CPA(18:1(9Z)/0:0)","CPA(18:1(9Z)/0:0)","HMDB0007006","11962187",NA,"CCCCCCCC/C=C\CCCCCCCC(=O)OCC1COP(=O)(O1)O","1"
"Alpha-Tocopherol","Alpha-Tocopherol","HMDB0001893","14985","C02477","CC1=C(C(=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)O","1"
"DG(14:1(9Z)/15:0/0:0)","DG(14:1(9Z)/15:0/0:0)","HMDB0007039","53477974",NA,"CCCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\CCCC","1"
"DG(15:0/14:1(9Z)/0:0)","DG(15:0/14:1(9Z)/0:0)","HMDB0007067","53478002",NA,"CCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCC","1"
"PG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))","PG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0010595","52927164",NA,"CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PG(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))","PG(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))","HMDB0010651","52926616",NA,"CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"PG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))","PG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))","HMDB0010652","52926617",NA,"CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC","1"
"PG(18:3(6Z,9Z,12Z)/18:2(9Z,12Z))","PG(18:3(6Z,9Z,12Z)/18:2(9Z,12Z))","HMDB0010665","52926644",NA,"CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(O)OC[C@H](CO)O","1"
"PG(18:3(9Z,12Z,15Z)/18:2(9Z,12Z))","PG(18:3(9Z,12Z,15Z)/18:2(9Z,12Z))","HMDB0010680","52926673",NA,"CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OC[C@H](CO)O","1"
"PG(16:0/22:5(4Z,7Z,10Z,13Z,16Z))","PG(16:0/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0010582","53480604",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PG(16:0/22:5(7Z,10Z,13Z,16Z,19Z))","PG(16:0/22:5(7Z,10Z,13Z,16Z,19Z))","HMDB0010583","53480605",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z))","PG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z))","HMDB0010596","52926490",NA,"CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))","PG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0010625","53480624",NA,"CCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","PG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0010640","52927144",NA,"CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PG(18:2(9Z,12Z)/20:3(5Z,8Z,11Z))","PG(18:2(9Z,12Z)/20:3(5Z,8Z,11Z))","HMDB0010653","53480634",NA,"CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COP(=O)(O)OC[C@H](CO)O","1"
"PG(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))","PG(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))","HMDB0010654","52926624",NA,"CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"PG(16:0/22:4(7Z,10Z,13Z,16Z))","PG(16:0/22:4(7Z,10Z,13Z,16Z))","HMDB0010581","52927231",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PG(18:0/20:4(5Z,8Z,11Z,14Z))","PG(18:0/20:4(5Z,8Z,11Z,14Z))","HMDB0010610","24779553",NA,"CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"PG(18:1(11Z)/20:3(5Z,8Z,11Z))","PG(18:1(11Z)/20:3(5Z,8Z,11Z))","HMDB0010623","53480622",NA,"CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COP(=O)(O)OC[C@H](CO)O","1"
"PG(18:1(11Z)/20:3(8Z,11Z,14Z))","PG(18:1(11Z)/20:3(8Z,11Z,14Z))","HMDB0010624","53480623",NA,"CCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"PG(18:1(9Z)/20:3(5Z,8Z,11Z))","PG(18:1(9Z)/20:3(5Z,8Z,11Z))","HMDB0010638","53480630",NA,"CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC","1"
"PG(18:1(9Z)/20:3(8Z,11Z,14Z))","PG(18:1(9Z)/20:3(8Z,11Z,14Z))","HMDB0010639","52926600",NA,"CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"PI(16:0/16:1(9Z))","PI(16:0/16:1(9Z))","HMDB0009779",NA,"C00626","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCC\C=C/CCCCCC","1"
"PI(16:1(9Z)/16:0)","PI(16:1(9Z)/16:0)","HMDB0009797",NA,"C00626","[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCCCCCCCCCC","1"
"PI(16:0/16:0)","PI(16:0/16:0)","HMDB0009778","24779556","C00626","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCCCCCCCCCC","1"
"PG(18:3(6Z,9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PG(18:3(6Z,9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0010674","52926661",NA,"CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](CO)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
