"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Glycine","Glycine","HMDB0000123","750","C00037","C(C(=O)O)N","1"
"Beta-Alanine","Beta-Alanine","HMDB0000056","239","C00099","C(CN)C(=O)O","1"
"L-Alanine","L-Alanine","HMDB0000161","5950","C00041","C[C@@H](C(=O)O)N","1"
"Sarcosine","Sarcosine","HMDB0000271","1088","C00213","CNCC(=O)O","1"
"D-Alanine","D-Alanine","HMDB0001310","71080","C00133","C[C@H](C(=O)O)N","1"
"L-Serine","L-Serine","HMDB0000187","5951","C00065","C([C@@H](C(=O)O)N)O","1"
"D-Serine","D-Serine","HMDB0003406","71077","C00740","C([C@H](C(=O)O)N)O","1"
"1-Pyrroline-5-carboxylic acid","1-Pyrroline-5-carboxylic acid","HMDB0001301","6642","C03912","C1CC(N=C1)C(=O)O","1"
"1-Pyrroline-2-carboxylic acid","1-Pyrroline-2-carboxylic acid","HMDB0006875","440046","C03564","C1CC(=NC1)C(=O)O","1"
"Dihydrouracil","Dihydrouracil","HMDB0000076","649","C00429","C1CNC(=O)NC1=O","1"
"N-Methylhydantoin","N-Methylhydantoin","HMDB0003646","69217","C02565","CN1CC(=O)NC1=O","1"
"Caproic acid","Caproic acid","HMDB0000535","8892","C01585","CCCCCC(=O)O","1"
"Isocaproic acid","Isocaproic acid","HMDB0000689","12587",NA,"CC(C)CCC(=O)O","1"
"L-Threonine","L-Threonine","HMDB0000167","6288","C00188","C[C@H]([C@@H](C(=O)O)N)O","1"
"L-Homoserine","L-Homoserine","HMDB0000719","12647","C00263","C(CO)[C@@H](C(=O)O)N","1"
"L-Allothreonine","L-Allothreonine","HMDB0004041","99289","C05519","C[C@@H]([C@@H](C(=O)O)N)O","1"
"Benzoic acid","Benzoic acid","HMDB0001870","243","C00539","C1=CC=C(C=C1)C(=O)O","1"
"4-Hydroxybenzaldehyde","4-Hydroxybenzaldehyde","HMDB0011718","126","C00633","C1=CC(=CC=C1C=O)O","1"
"Hydroxyproline","4-Hydroxyproline","HMDB0000725","5810","C01157","C1[C@H](CN[C@@H]1C(=O)O)O","1"
"N-Acetyl-L-alanine","N-Acetyl-L-alanine","HMDB0000766","88064",NA,"C[C@@H](C(=O)O)NC(=O)C","1"
"Propionylglycine","Propionylglycine","HMDB0000783","98681",NA,"CCC(=O)NCC(=O)O","1"
"5-Aminolevulinic acid","5-Aminolevulinic acid","HMDB0001149","137","C00430","C(CC(=O)O)C(=O)CN","1"
"L-Glutamic-gamma-semialdehyde","L-Glutamic gamma-semialdehyde","HMDB0002104","193305","C01165","C(C[C@@H](C(=O)O)N)C=O","1"
"3-Hydroxy-L-proline","3-Hydroxy-L-proline","HMDB0002113","11137200","C04397","C1CN[C@H]([C@H]1O)C(=O)O","1"
"4-Hydroxy-L-proline","4-Hydroxy-L-proline","HMDB0006055","69248","C01015","C1[C@H](NCC1O)C(=O)O","1"
"5-Amino-2-oxopentanoic acid","5-Amino-2-oxopentanoic acid","HMDB0006272","439402","C01110","C(CC(=O)C(=O)O)CN","1"
"Ureidopropionic acid","Ureidopropionic acid","HMDB0000026","111","C02642","C(CNC(=O)N)C(=O)O","1"
"L-Asparagine","L-Asparagine","HMDB0000168","6267","C00152","C([C@@H](C(=O)O)N)C(=O)N","1"
"Glycyl-glycine","Glycyl-glycine","HMDB0011733","11163","C02037","C(C(=O)NCC(=O)O)N","1"
"N-Carbamoylsarcosine","N-Carbamoylsarcosine","HMDB0012265","439375","C01043","CN(CC(=O)O)C(=O)N","1"
"4-Nitrophenol","4-Nitrophenol","HMDB0001232","980","C00870","C1=CC(=CC=C1[N+](=O)[O-])O","1"
"6-Hydroxynicotinic acid","6-Hydroxynicotinic acid","HMDB0002658","72924","C01020","C1=CC(=O)NC=C1C(=O)O","1"
"3-Hydroxypicolinic acid","3-Hydroxypicolinic acid","HMDB0013188","13401","C18620","C1=CC(=C(N=C1)C(=O)O)O","1"
"Isobutyrylglycine","Isobutyrylglycine","HMDB0000730","10855600",NA,"CC(C)C(=O)NCC(=O)O","1"
"N-Butyrylglycine","N-Butyrylglycine","HMDB0000808","88412",NA,"CCCC(=O)NCC(=O)O","1"
"Allysine","Allysine","HMDB0001263","207","C04076","C(CC=O)CC(C(=O)O)N","1"
"4-Acetamidobutanoic acid","4-Acetamidobutanoic acid","HMDB0003681","18189","C02946","CC(=O)NCCCC(=O)O","1"
"(S)-5-Amino-3-oxohexanoate","(S)-5-Amino-3-oxohexanoate","HMDB0012131","440077","C03656","C[C@@H](CC(=O)CC(=O)O)N","1"
"2-Keto-6-aminocaproate","2-Keto-6-aminocaproate","HMDB0012151","439954","C03239","C(CCN)CC(=O)C(=O)O","1"
"Oxoglutaric acid","Oxoglutaric acid","HMDB0000208","51","C00026","C(CC(=O)O)C(=O)C(=O)O","1"
"Coumarin","Coumarin","HMDB0001218","323","C05851","C1=CC=C2C(=C1)C=CC(=O)O2","1"
"Phenylpropiolic acid","Phenylpropiolic acid","HMDB0002359","69475",NA,"C1=CC=C(C=C1)C#CC(=O)O","1"
"Hydrocinnamic acid","Hydrocinnamic acid","HMDB0000764","107","C05629","C1=CC=C(C=C1)CCC(=O)O","1"
"4-Ethylbenzoic acid","4-Ethylbenzoic acid","HMDB0002097","12086",NA,"CCC1=CC=C(C=C1)C(=O)O","1"
"3-Methylphenylacetic acid","3-Methylphenylacetic acid","HMDB0002222","12121",NA,"CC1=CC(=CC=C1)CC(=O)O","1"
"3,4-Dimethylbenzoic acid","3,4-Dimethylbenzoic acid","HMDB0002237","12073",NA,"CC1=C(C=C(C=C1)C(=O)O)C","1"
"4-Coumaryl alcohol","4-Coumaryl alcohol","HMDB0003654","54682930","C02646","C1=CC(=CC=C1/C=C/CO)O","1"
"2-Phenylpropionate","2-Phenylpropionate","HMDB0011743","2724622",NA,"CC(C1=CC=CC=C1)C(=O)O","1"
"Xanthine","Xanthine","HMDB0000292","1188","C00385","C1=NC2=C(N1)C(=O)NC(=O)N2","1"
"Oxypurinol","Oxypurinol","HMDB0000786","4644","C07599","C1=C2C(=NC(=O)NC2=O)NN1","1"
"6,8-Dihydroxypurine","6,8-Dihydroxypurine","HMDB0001182","83252",NA,"C1=NC(=O)C2=C(N1)NC(=O)N2","1"
"Dopamine","Dopamine","HMDB0000073","681","C03758","C1=CC(=C(C=C1CCN)O)O","1"
"p-Octopamine","p-Octopamine","HMDB0004825","440266","C04227","C1=CC(=CC=C1[C@H](CN)O)O","1"
"Vanillylamine","Vanillylamine","HMDB0012309","70966","C16666","COC1=C(C=CC(=C1)CN)O","1"
"Oenanthic ether","Oenanthic ether","HMDB0000798","7797",NA,"CCCCCCC(=O)OCC","1"
"Pelargonic acid","Pelargonic acid","HMDB0000847","8158","C01601","CCCCCCCCC(=O)O","1"
"N(6)-Methyllysine","N(6)-Methyllysine","HMDB0002038","164795","C02728","CNCCCC[C@@H](C(=O)O)N","1"
"Isoputreanine","Isoputreanine","HMDB0006009","171763",NA,"C(CC(=O)O)CNCCCN","1"
"Pyridoxal","Pyridoxal","HMDB0001545","1050","C00250","CC1=NC=C(C(=C1O)C=O)CO","1"
"Isopyridoxal","Isopyridoxal","HMDB0004290","440899","C06051","CC1=NC=C(C(=C1O)CO)C=O","1"
"Homogentisic acid","Homogentisic acid","HMDB0000130","780","C00544","C1=CC(=C(C=C1O)CC(=O)O)O","1"
"Vanillic acid","Vanillic acid","HMDB0000484","8468","C06672","COC1=C(C=CC(=C1)C(=O)O)O","1"
"3-Hydroxymandelic acid","3-Hydroxymandelic acid","HMDB0000750","86957",NA,"C1=CC(=CC(=C1)O)C(C(=O)O)O","1"
"p-Hydroxymandelic acid","p-Hydroxymandelic acid","HMDB0000822","7721","C11527","C1=CC(=CC=C1C(C(=O)O)O)O","1"
"3,4-Dihydroxybenzeneacetic acid","3,4-Dihydroxybenzeneacetic acid","HMDB0001336","547","C01161","C1=CC(=C(C=C1CC(=O)O)O)O","1"
