"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Amino sugar and nucleotide sugar metabolism",37,3.6045,11,0.00047742,3.3211,0.040103,0.040103,0.52226
"Glycine, serine and threonine metabolism",33,3.2148,8,0.011268,1.9481,0.93526,0.34123,0.57997
"Sphingolipid metabolism",21,2.0458,6,0.012187,1.9141,0.99932,0.34123,0.48682
"Pentose and glucuronate interconversions",18,1.7535,5,0.024705,1.6072,1,0.51881,0.32812
"Ascorbate and aldarate metabolism",8,0.77935,3,0.035172,1.4538,1,0.5909,1
"Riboflavin metabolism",4,0.38968,2,0.049599,1.3045,1,0.69439,0
"Starch and sucrose metabolism",18,1.7535,4,0.089929,1.0461,1,1,0.30137
"Pantothenate and CoA biosynthesis",19,1.851,4,0.10565,0.97612,1,1,0.24643
"Galactose metabolism",27,2.6303,5,0.11468,0.94051,1,1,0.07838
"Fructose and mannose metabolism",20,1.9484,4,0.12253,0.91175,1,1,0.48792
"beta-Alanine metabolism",21,2.0458,4,0.14048,0.85238,1,1,0.61567
"Inositol phosphate metabolism",30,2.9226,5,0.1606,0.79425,1,1,0.12365
"Neomycin, kanamycin and gentamicin biosynthesis",2,0.19484,1,0.1854,0.73188,1,1,0
"Glycerophospholipid metabolism",36,3.5071,5,0.26943,0.56955,1,1,0.40319
"Alanine, aspartate and glutamate metabolism",28,2.7277,4,0.28787,0.54081,1,1,0.04808
"Phosphatidylinositol signaling system",28,2.7277,4,0.28787,0.54081,1,1,0.05631
"Arginine and proline metabolism",38,3.7019,5,0.30894,0.51013,1,1,0.23612
"D-Arginine and D-ornithine metabolism",4,0.38968,1,0.33662,0.47286,1,1,0
"Linoleic acid metabolism",5,0.4871,1,0.40141,0.39641,1,1,0
"Synthesis and degradation of ketone bodies",5,0.4871,1,0.40141,0.39641,1,1,0.26667
"Arginine biosynthesis",14,1.3639,2,0.4025,0.39524,1,1,0
"Cysteine and methionine metabolism",33,3.2148,4,0.4034,0.39426,1,1,0.22792
"Butanoate metabolism",15,1.4613,2,0.43774,0.35878,1,1,0.02116
"D-Glutamine and D-glutamate metabolism",6,0.58452,1,0.45992,0.33732,1,1,0
"Glycolysis / Gluconeogenesis",26,2.5329,3,0.47252,0.32558,1,1,0.07686
"Aminoacyl-tRNA biosynthesis",48,4.6761,5,0.50919,0.29312,1,1,0.16667
"Glutathione metabolism",28,2.7277,3,0.52371,0.28091,1,1,0.40149
"Pyrimidine metabolism",39,3.7994,4,0.53672,0.27025,1,1,0.14568
"Valine, leucine and isoleucine biosynthesis",8,0.77935,1,0.56042,0.25149,1,1,0
"Lipoic acid metabolism",8,0.77935,1,0.56042,0.25149,1,1,0
"Porphyrin and chlorophyll metabolism",30,2.9226,3,0.57209,0.24253,1,1,0.08087
"Tyrosine metabolism",42,4.0916,4,0.59769,0.22353,1,1,0.24135
"Ubiquinone and other terpenoid-quinone biosynthesis",9,0.87677,1,0.60347,0.21935,1,1,0
"Vitamin B6 metabolism",9,0.87677,1,0.60347,0.21935,1,1,0.4902
"Pentose phosphate pathway",22,2.1432,2,0.64805,0.18839,1,1,0.11117
"alpha-Linolenic acid metabolism",13,1.2665,1,0.73761,0.13217,1,1,0
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",14,1.3639,1,0.76339,0.11725,1,1,0.00399
"Glycerolipid metabolism",16,1.5587,1,0.80764,0.092784,1,1,0.01246
"Histidine metabolism",16,1.5587,1,0.80764,0.092784,1,1,0.09016
"Glyoxylate and dicarboxylate metabolism",32,3.1174,2,0.83532,0.078147,1,1,0.14815
"Terpenoid backbone biosynthesis",18,1.7535,1,0.84365,0.073835,1,1,0.08254
"Selenocompound metabolism",20,1.9484,1,0.87297,0.059003,1,1,0
"Citrate cycle (TCA cycle)",20,1.9484,1,0.87297,0.059003,1,1,0.05856
"Biosynthesis of unsaturated fatty acids",36,3.5071,2,0.88092,0.055062,1,1,0
"Arachidonic acid metabolism",36,3.5071,2,0.88092,0.055062,1,1,0.11124
"Purine metabolism",65,6.3323,4,0.89366,0.048828,1,1,0.0914
"Pyruvate metabolism",22,2.1432,1,0.89681,0.0473,1,1,0
"Propanoate metabolism",23,2.2406,1,0.90701,0.042389,1,1,0
"Lysine degradation",25,2.4355,1,0.92449,0.034095,1,1,0.15023
"Folate biosynthesis",27,2.6303,1,0.93871,0.027468,1,1,0
"Fatty acid degradation",39,3.7994,1,0.98258,0.0076338,1,1,0.12404
"Valine, leucine and isoleucine degradation",40,3.8968,1,0.98432,0.0068649,1,1,0.03167
"N-Glycan biosynthesis",41,3.9942,1,0.98589,0.0061735,1,1,0.00676
"Primary bile acid biosynthesis",46,4.4813,1,0.99167,0.0036307,1,1,0.00758
"Fatty acid biosynthesis",47,4.5787,1,0.99251,0.0032648,1,1,0
"Steroid hormone biosynthesis",85,8.2806,3,0.9927,0.0031839,1,1,0.01324
