"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Acrylamide","Acrylamide","HMDB0004296","6579","C01659","C=CC(=O)N","1"
"Glycine","Glycine","HMDB0000123","750","C00037","C(C(=O)O)N","1"
"2-Pyrrolidinone","2-Pyrrolidinone","HMDB0002039","12025","C11118","C1CC(=O)NC1","1"
"Beta-Alanine","Beta-Alanine","HMDB0000056","239","C00099","C(CN)C(=O)O","1"
"L-Alanine","L-Alanine","HMDB0000161","5950","C00041","C[C@@H](C(=O)O)N","1"
"Sarcosine","Sarcosine","HMDB0000271","1088","C00213","CNCC(=O)O","1"
"D-Alanine","D-Alanine","HMDB0001310","71080","C00133","C[C@H](C(=O)O)N","1"
"L-Serine","L-Serine","HMDB0000187","5951","C00065","C([C@@H](C(=O)O)N)O","1"
"D-Serine","D-Serine","HMDB0003406","71077","C00740","C([C@H](C(=O)O)N)O","1"
"Imidazole-4-acetaldehyde","Imidazole-4-acetaldehyde","HMDB0003905","150841","C05130","C1=C(NC=N1)CC=O","1"
"Histamine","Histamine","HMDB0000870","774","C00388","C1=C(NC=N1)CCN","1"
"Creatinine","Creatinine","HMDB0000562","588","C00791","CN1CC(=O)N=C1N","1"
"Dihydrouracil","Dihydrouracil","HMDB0000076","649","C00429","C1CNC(=O)NC1=O","1"
"N-Methylhydantoin","N-Methylhydantoin","HMDB0003646","69217","C02565","CN1CC(=O)NC1=O","1"
"Caproic acid","Caproic acid","HMDB0000535","8892","C01585","CCCCCC(=O)O","1"
"Isocaproic acid","Isocaproic acid","HMDB0000689","12587",NA,"CC(C)CCC(=O)O","1"
"Betaine","Betaine","HMDB0000043","247","C00719","C[N+](C)(C)CC(=O)[O-]","1"
"L-Valine","L-Valine","HMDB0000883","6287","C00183","CC(C)[C@@H](C(=O)O)N","1"
"Vaporole","Vaporole","HMDB0001382","8053","C07457","CC(C)CCON=O","1"
"N-Methyl-a-aminoisobutyric acid","N-Methyl-a-aminoisobutyric acid","HMDB0002141","75725",NA,"CC(C)(C(=O)[O-])[NH2+]C","1"
"5-Aminopentanoic acid","5-Aminopentanoic acid","HMDB0003355","138","C00431","C(CCN)CC(=O)O","1"
"3-Hydroxy-2-methyl-[R-(R,S)]-butanoic acid","3-Hydroxy-2-methyl-[R-(R,S)]-butanoic acid","HMDB0000351","12313370",NA,"C[C@@H]([C@@H](C)O)C(=O)O","1"
"2-Methyl-3-hydroxybutyric acid","2-Methyl-3-hydroxybutyric acid","HMDB0000354","160471",NA,"CC(C(C)O)C(=O)O","1"
"2-Ethylhydracrylic acid","2-Ethylhydracrylic acid","HMDB0000396","188979",NA,"CCC(CO)C(=O)O","1"
"2-Hydroxy-3-methylbutyric acid","2-Hydroxy-3-methylbutyric acid","HMDB0000407","99823",NA,"CC(C)C(C(=O)O)O","1"
"3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid","3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid","HMDB0000410","12313369",NA,"C[C@H]([C@@H](C)O)C(=O)O","1"
"3-Hydroxyvaleric acid","3-Hydroxyvaleric acid","HMDB0000531","107802",NA,"CCC(CC(=O)O)O","1"
"Erythronilic acid","Erythronilic acid","HMDB0000642","12313370",NA,"C[C@H]([C@H](C)O)C(=O)O","1"
"3-Hydroxyisovaleric acid","3-Hydroxyisovaleric acid","HMDB0000754","69362","C20827","CC(C)(CC(=O)O)O","1"
